tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,7,5,0.0180,0.0038,0.37,0.0029
2024-06-30:23,8,5,0.0157,0.0042,0.38,0.0028
2024-06-30:22,8,6,0.0190,0.0046,0.38,0.0028
2024-06-30:21,9,8,0.0220,0.0037,0.39,0.0029
2024-06-30:20,11,9,0.0260,0.0036,0.42,0.0031
2024-06-30:19,10,6,0.0299,0.0031,0.36,0.0031
2024-06-30:18,8,7,0.0309,0.0031,0.35,0.0032
2024-06-30:17,9,8,0.0319,0.0032,0.36,0.0032
2024-06-30:16,10,7,0.0314,0.0032,0.35,0.0031
2024-06-30:15,9,5,0.0319,0.0030,0.35,0.0030
2024-06-30:14,7,6,0.0325,0.0032,0.36,0.0030
2024-06-30:13,6,6,0.0314,0.0034,0.34,0.0030
2024-06-30:12,3,2,0.0264,0.0030,0.33,0.0030
2024-06-30:11,1,,0.0204,0.0026,0.30,0.0028
2024-06-30:10,4,3,0.0217,0.0025,0.30,0.0028
2024-06-30:09,,2,0.0218,0.0026,0.30,0.0028
2024-06-30:08,,1,0.0226,0.0025,0.29,0.0027
2024-06-30:07,,2,0.0227,0.0023,0.29,0.0027
2024-06-30:06,2,2,0.0240,0.0024,0.29,0.0027
2024-06-30:05,6,5,0.0254,0.0023,0.30,0.0028
2024-06-30:04,8,6,0.0248,0.0024,0.29,0.0027
2024-06-30:03,14,7,0.0242,0.0022,0.27,0.0028
2024-06-30:02,12,11,0.0241,0.0024,0.27,0.0027
2024-06-30:01,13,8,0.0247,0.0023,0.27,0.0028
2024-06-29:24,17,10,0.0246,0.0024,0.28,0.0027
2024-06-29:23,11,6,0.0244,0.0026,0.29,0.0027
2024-06-29:22,4,4,0.0132,0.0060,0.29,0.0027
2024-06-29:21,0,,0.0144,0.0068,0.29,0.0027
2024-06-29:20,4,4,0.0171,0.0062,0.30,0.0027
2024-06-29:19,3,2,0.0205,0.0033,0.27,0.0027
2024-06-29:18,2,0,0.0222,0.0032,0.27,0.0027
2024-06-29:17,5,,0.0314,0.0040,0.33,0.0027
2024-06-29:16,6,1,0.0356,0.0040,0.35,0.0027
2024-06-29:15,7,6,0.0408,0.0040,0.38,0.0026
2024-06-29:14,9,9,0.0441,0.0039,0.42,0.0026
2024-06-29:13,16,,0.0479,0.0039,0.37,0.0028
2024-06-29:12,17,11,0.0498,0.0036,0.35,0.0026
2024-06-29:11,14,9,0.0494,0.0034,0.33,0.0026
2024-06-29:10,10,6,0.0476,0.0037,0.32,0.0028
2024-06-29:09,11,9,0.0430,0.0042,0.28,0.0029
2024-06-29:08,11,11,0.0347,0.0041,0.28,0.0028
2024-06-29:07,11,,0.0214,0.0038,0.26,0.0027
2024-06-29:06,10,,0.0161,0.0039,0.25,0.0026
2024-06-29:05,7,7,0.0213,0.0042,0.25,0.0026
2024-06-29:04,10,6,0.0289,0.0035,0.26,0.0026
2024-06-29:03,7,5,0.0308,0.0038,0.26,0.0026
2024-06-29:02,9,4,0.0309,0.0042,0.27,0.0026
2024-06-29:01,7,,0.0344,0.0036,0.26,0.0026
2024-06-28:24,8,,0.0363,0.0036,0.26,0.0026
2024-06-28:23,7,5,0.0427,0.0036,0.26,0.0027
2024-06-28:22,5,5,0.0471,0.0033,0.26,0.0027
2024-06-28:21,6,3,0.0499,0.0033,0.27,0.0026
2024-06-28:20,8,4,0.0557,0.0034,0.29,0.0025
2024-06-28:19,6,6,0.0577,0.0037,0.32,0.0027
2024-06-28:18,16,8,0.0612,0.0045,0.33,0.0028
