tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,20,2,0.0090,0.0079,0.36,0.0025
2024-06-30:23,14,6,0.0121,0.0069,0.36,0.0026
2024-06-30:22,13,10,0.0162,0.0062,0.37,0.0026
2024-06-30:21,13,5,0.0193,0.0065,0.38,0.0026
2024-06-30:20,10,3,0.0280,0.0036,0.35,0.0026
2024-06-30:19,5,2,0.0311,0.0037,0.36,0.0026
2024-06-30:18,5,,0.0305,0.0034,0.33,0.0026
2024-06-30:17,4,,0.0327,0.0029,0.32,0.0026
2024-06-30:16,6,3,0.0353,0.0030,0.30,0.0026
2024-06-30:15,6,6,0.0364,0.0031,0.30,0.0026
2024-06-30:14,4,,0.0370,0.0029,0.32,0.0026
2024-06-30:13,4,,0.0357,0.0032,0.32,0.0026
2024-06-30:12,4,1,0.0337,0.0032,0.29,0.0026
2024-06-30:11,4,,0.0322,0.0028,0.28,0.0026
2024-06-30:10,5,0,0.0316,0.0026,0.28,0.0026
2024-06-30:09,5,,0.0300,0.0027,0.28,0.0025
2024-06-30:08,6,,0.0295,0.0027,0.27,0.0026
2024-06-30:07,7,,0.0228,0.0036,0.28,0.0026
2024-06-30:06,8,,0.0221,0.0038,0.29,0.0026
2024-06-30:05,11,2,0.0195,0.0040,0.30,0.0026
2024-06-30:04,11,0,0.0163,0.0046,0.30,0.0026
2024-06-30:03,10,,0.0151,0.0044,0.28,0.0026
2024-06-30:02,5,0,0.0148,0.0046,0.27,0.0026
2024-06-30:01,5,1,0.0142,0.0045,0.27,0.0025
2024-06-29:24,3,1,0.0171,0.0041,0.28,0.0025
2024-06-29:23,3,1,0.0198,0.0033,0.27,0.0025
2024-06-29:22,4,3,0.0209,0.0037,0.26,0.0025
2024-06-29:21,3,,0.0234,0.0068,0.36,0.0026
2024-06-29:20,6,5,0.0246,0.0107,0.40,0.0026
2024-06-29:19,9,5,0.0284,0.0114,0.40,0.0025
2024-06-29:18,6,5,0.0307,0.0108,0.38,0.0025
2024-06-29:17,9,6,0.0345,0.0087,0.37,0.0025
2024-06-29:16,12,10,0.0378,0.0086,0.37,0.0025
2024-06-29:15,23,13,0.0446,0.0074,0.39,0.0025
2024-06-29:14,41,27,0.0506,0.0081,0.54,0.0027
2024-06-29:13,35,25,0.0491,0.0068,0.50,0.0027
2024-06-29:12,21,21,0.0428,0.0062,0.37,0.0025
2024-06-29:11,19,6,0.0393,0.0068,0.33,0.0024
2024-06-29:10,22,20,0.0364,0.0066,0.31,0.0024
2024-06-29:09,20,14,0.0324,0.0077,0.32,0.0025
2024-06-29:08,21,20,0.0289,0.0061,0.34,0.0025
2024-06-29:07,17,14,0.0183,0.0070,0.36,0.0025
2024-06-29:06,20,14,0.0117,0.0085,0.39,0.0024
2024-06-29:05,17,8,0.0166,0.0075,0.38,0.0025
2024-06-29:04,19,11,0.0236,0.0070,0.39,0.0025
2024-06-29:03,16,9,0.0352,0.0064,0.40,0.0028
2024-06-29:02,17,,0.0351,0.0083,0.46,0.0028
2024-06-29:01,23,12,0.0464,0.0067,0.45,0.0031
2024-06-28:24,19,13,0.0601,0.0070,0.50,0.0036
2024-06-28:23,25,21,0.0705,0.0073,0.58,0.0037
2024-06-28:22,30,22,0.0827,0.0088,0.64,0.0043
2024-06-28:21,30,17,0.0810,0.0093,0.63,0.0046
2024-06-28:20,25,23,0.0810,0.0073,0.61,0.0045
2024-06-28:19,20,12,0.0716,0.0069,0.51,0.0042
2024-06-28:18,10,,0.0601,0.0043,0.31,0.0029
2024-06-28:17,7,6,0.0606,0.0035,0.22,0.0024
2024-06-28:16,10,6,0.0591,0.0043,0.23,0.0025
2024-06-28:15,13,1,0.0597,0.0037,0.24,0.0025
2024-06-28:14,4,4,0.0611,0.0037,0.23,0.0025
2024-06-28:13,1,1,0.0615,0.0043,0.22,0.0025
2024-06-28:12,17,,0.0457,0.0065,0.28,0.0025
2024-06-28:11,18,8,0.0367,0.0079,0.29,0.0025
2024-06-28:10,18,8,0.0254,0.0079,0.30,0.0025
2024-06-28:09,21,13,0.0196,0.0097,0.31,0.0024
2024-06-28:08,23,17,0.0199,0.0086,0.29,0.0023
2024-06-28:07,21,12,0.0207,0.0075,0.29,0.0024
2024-06-28:06,23,15,0.0234,0.0056,0.28,0.0023
2024-06-28:05,22,13,0.0257,0.0051,0.28,0.0024
2024-06-28:04,20,18,0.0289,0.0041,0.28,0.0024
2024-06-28:03,19,4,0.0293,0.0042,0.28,0.0024
2024-06-28:02,15,8,0.0289,0.0045,0.28,0.0023
2024-06-28:01,20,10,0.0363,0.0047,0.28,0.0023
2024-06-27:24,15,13,0.0371,0.0056,0.27,0.0024
2024-06-27:23,14,11,0.0445,0.0053,0.28,0.0022
2024-06-27:22,10,9,0.0485,0.0050,0.27,0.0023
2024-06-27:21,15,9,0.0504,0.0061,0.27,0.0024
2024-06-27:20,15,11,0.0455,0.0080,0.28,0.0024
2024-06-27:19,12,6,0.0522,0.0042,0.24,0.0024
2024-06-27:18,20,9,0.0576,0.0046,0.28,0.0028
2024-06-27:17,28,13,0.0528,0.0120,0.37,0.0032
2024-06-27:16,27,19,0.0523,0.0116,0.38,0.0029
2024-06-27:15,,,,,,
