tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,23,11,0.0310,0.0071,0.34,0.0021
2024-02-29:23,10,10,0.0330,0.0061,0.29,0.0022
2024-02-29:22,9,8,0.0310,0.0065,0.30,0.0021
2024-02-29:21,9,8,0.0280,0.0085,0.30,0.0021
2024-02-29:20,6,6,0.0290,0.0093,0.33,0.0021
2024-02-29:19,2,,0.0300,0.0093,0.38,0.0020
2024-02-29:18,2,,0.0300,0.0094,0.40,0.0021
2024-02-29:17,3,,0.0310,0.0091,0.39,0.0021
2024-02-29:16,3,,0.0360,0.0064,0.37,0.0021
2024-02-29:15,9,,0.0350,0.0063,0.41,0.0022
2024-02-29:14,7,,0.0320,0.0081,0.40,0.0022
2024-02-29:13,15,14,0.0340,0.0072,0.31,0.0022
2024-02-29:12,,,,,,
2024-02-29:11,20,10,0.0320,0.0116,0.29,0.0023
2024-02-29:10,20,10,0.0310,0.0129,0.33,0.0024
2024-02-29:09,19,12,0.0340,0.0106,0.33,0.0023
2024-02-29:08,17,14,0.0330,0.0099,0.33,0.0026
2024-02-29:07,24,16,0.0370,0.0066,0.33,0.0029
2024-02-29:06,29,14,0.0360,0.0077,0.37,0.0040
2024-02-29:05,22,10,0.0370,0.0070,0.34,0.0032
2024-02-29:04,23,10,0.0380,0.0067,0.33,0.0028
2024-02-29:03,22,10,0.0390,0.0068,0.31,0.0026
2024-02-29:02,25,10,0.0410,0.0058,0.30,0.0024
2024-02-29:01,23,9,0.0420,0.0055,0.31,0.0024
2024-02-28:24,21,9,0.0290,0.0139,0.36,0.0024
2024-02-28:23,18,11,0.0320,0.0127,0.35,0.0024
2024-02-28:22,17,12,0.0370,0.0102,0.35,0.0026
2024-02-28:21,25,12,0.0350,0.0119,0.36,0.0027
2024-02-28:20,28,11,0.0390,0.0104,0.33,0.0030
2024-02-28:19,27,11,0.0390,0.0126,0.34,0.0030
2024-02-28:18,23,11,0.0380,0.0135,0.37,0.0028
2024-02-28:17,24,11,0.0450,0.0092,0.36,0.0027
2024-02-28:16,26,11,0.0400,0.0125,0.32,0.0026
2024-02-28:15,23,9,0.0390,0.0123,0.31,0.0025
2024-02-28:14,23,9,0.0400,0.0091,0.30,0.0023
2024-02-28:13,21,8,0.0390,0.0088,0.29,0.0022
2024-02-28:12,18,8,0.0380,0.0088,0.31,0.0022
2024-02-28:11,22,9,0.0350,0.0098,0.33,0.0023
2024-02-28:10,24,9,0.0350,0.0091,0.32,0.0022
2024-02-28:09,24,10,0.0260,0.0143,0.36,0.0023
2024-02-28:08,25,10,0.0300,0.0110,0.35,0.0023
2024-02-28:07,20,10,0.0350,0.0076,0.28,0.0023
2024-02-28:06,22,11,0.0390,0.0046,0.24,0.0022
2024-02-28:05,30,10,0.0330,0.0064,0.29,0.0024
2024-02-28:04,25,10,0.0390,0.0037,0.24,0.0023
2024-02-28:03,27,12,0.0390,0.0035,0.25,0.0023
2024-02-28:02,22,14,0.0410,0.0032,0.26,0.0024
2024-02-28:01,19,11,0.0410,0.0037,0.27,0.0024
2024-02-27:24,26,10,0.0410,0.0045,0.27,0.0022
2024-02-27:23,27,11,0.0420,0.0042,0.26,0.0023
2024-02-27:22,29,12,0.0420,0.0046,0.25,0.0022
2024-02-27:21,26,12,0.0390,0.0063,0.26,0.0024
2024-02-27:20,27,12,0.0360,0.0085,0.26,0.0021
2024-02-27:19,32,14,0.0370,0.0086,0.31,0.0021
2024-02-27:18,32,14,0.0400,0.0070,0.31,0.0020
2024-02-27:17,32,14,0.0420,0.0053,0.32,0.0021
