tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,11,6,0.0517,0.0066,0.36,0.0028
2024-04-30:23,13,7,0.0510,0.0071,0.36,0.0024
2024-04-30:22,28,17,0.0526,0.0103,0.45,0.0024
2024-04-30:21,22,22,0.0507,0.0104,0.50,0.0026
2024-04-30:20,30,26,0.0529,0.0104,0.61,0.0029
2024-04-30:19,39,26,0.0560,0.0132,0.70,0.0035
2024-04-30:18,30,26,0.0633,0.0124,0.66,0.0038
2024-04-30:17,27,17,0.0600,0.0107,0.57,0.0034
2024-04-30:16,24,16,0.0501,0.0077,0.43,0.0029
2024-04-30:15,21,15,0.0483,0.0080,0.46,0.0030
2024-04-30:14,28,20,0.0481,0.0088,0.49,0.0033
2024-04-30:13,25,16,0.0458,0.0092,0.44,0.0031
2024-04-30:12,20,15,0.0410,0.0086,0.39,0.0026
2024-04-30:11,18,14,,,,
2024-04-30:10,,,,,,
2024-04-30:09,24,14,0.0323,0.0089,0.41,0.0023
2024-04-30:08,14,12,0.0302,0.0088,0.38,0.0024
2024-04-30:07,23,15,0.0264,0.0078,0.38,0.0023
2024-04-30:06,18,9,0.0312,0.0065,0.36,0.0024
2024-04-30:05,22,7,0.0370,0.0058,0.35,0.0023
2024-04-30:04,19,9,0.0400,0.0056,0.35,0.0023
2024-04-30:03,17,10,0.0418,0.0055,0.35,0.0023
2024-04-30:02,16,10,0.0432,0.0057,0.35,0.0022
2024-04-30:01,18,9,0.0422,0.0063,0.35,0.0023
2024-04-29:24,15,15,0.0460,0.0057,0.35,0.0023
2024-04-29:23,14,8,0.0439,0.0067,0.37,0.0023
2024-04-29:22,14,13,0.0445,0.0072,0.40,0.0023
2024-04-29:21,14,14,0.0434,0.0073,0.43,0.0023
2024-04-29:20,13,8,0.0360,0.0121,0.47,0.0023
2024-04-29:19,16,13,0.0350,0.0115,0.47,0.0023
2024-04-29:18,19,8,0.0357,0.0156,0.46,0.0023
2024-04-29:17,11,8,0.0394,0.0150,0.43,0.0024
2024-04-29:16,13,7,0.0404,0.0134,0.42,0.0024
2024-04-29:15,11,7,0.0404,0.0128,0.43,0.0024
2024-04-29:14,10,9,0.0373,0.0124,0.44,0.0024
2024-04-29:13,9,8,0.0362,0.0112,0.45,0.0023
2024-04-29:12,10,4,0.0354,0.0112,0.46,0.0024
2024-04-29:11,9,7,0.0377,0.0106,0.46,0.0023
2024-04-29:10,9,9,0.0385,0.0105,0.44,0.0023
2024-04-29:09,17,15,0.0372,0.0123,0.43,0.0023
2024-04-29:08,25,25,0.0375,0.0094,0.43,0.0023
2024-04-29:07,31,24,0.0362,0.0097,0.42,0.0024
2024-04-29:06,37,25,0.0405,0.0093,0.41,0.0028
2024-04-29:05,39,24,0.0441,0.0091,0.39,0.0028
2024-04-29:04,44,25,0.0447,0.0111,0.39,0.0031
2024-04-29:03,45,25,0.0496,0.0096,0.40,0.0044
2024-04-29:02,48,25,0.0539,0.0088,0.39,0.0045
2024-04-29:01,41,31,0.0620,0.0065,0.37,0.0030
2024-04-28:24,42,23,0.0633,0.0060,0.37,0.0025
2024-04-28:23,59,24,0.0640,0.0067,0.36,0.0028
2024-04-28:22,42,22,0.0616,0.0089,0.41,0.0027
2024-04-28:21,35,24,0.0592,0.0128,0.42,0.0030
2024-04-28:20,18,15,0.0598,0.0108,0.36,0.0030
2024-04-28:19,20,10,0.0687,0.0089,0.38,0.0031
2024-04-28:18,19,9,0.0763,0.0080,0.37,0.0030
2024-04-28:17,26,16,0.0823,0.0078,0.41,0.0034
2024-04-28:16,34,23,0.0921,0.0079,0.51,0.0041
2024-04-28:15,37,18,0.0808,0.0093,0.47,0.0036
2024-04-28:14,43,24,0.0754,0.0095,0.43,0.0034
2024-04-28:13,51,27,0.0783,0.0104,0.50,0.0033
2024-04-28:12,59,36,0.0809,0.0111,0.56,0.0036
2024-04-28:11,62,38,0.0821,0.0113,0.57,0.0042
2024-04-28:10,62,39,0.0703,0.0120,0.54,0.0034
2024-04-28:09,58,40,0.0532,0.0116,0.54,0.0028
2024-04-28:08,47,29,0.0409,0.0112,0.50,0.0025
2024-04-28:07,39,24,0.0307,0.0108,0.46,0.0023
2024-04-28:06,35,26,0.0324,0.0089,0.46,0.0024
2024-04-28:05,36,23,0.0387,0.0073,0.44,0.0023
2024-04-28:04,35,22,0.0437,0.0075,0.48,0.0023
2024-04-28:03,37,24,0.0406,0.0082,0.52,0.0023
2024-04-28:02,40,27,0.0453,0.0081,0.52,0.0024
2024-04-28:01,39,23,0.0483,0.0086,0.55,0.0024
2024-04-27:24,42,28,0.0521,0.0094,0.56,0.0025
2024-04-27:23,40,30,0.0516,0.0107,0.58,0.0026
2024-04-27:22,46,29,0.0573,0.0134,0.63,0.0028
2024-04-27:21,42,27,0.0702,0.0125,0.48,0.0032
2024-04-27:20,57,34,0.0923,0.0140,0.61,0.0044
2024-04-27:19,55,35,0.1066,0.0143,0.71,0.0055
2024-04-27:18,61,34,0.1124,0.0138,0.76,0.0065
2024-04-27:17,57,33,0.1098,0.0133,0.75,0.0064
2024-04-27:16,51,24,0.0947,0.0115,0.60,0.0044
2024-04-27:15,49,25,0.0869,0.0114,0.58,0.0041
2024-04-27:14,52,24,0.0873,0.0127,,0.0045
2024-04-27:13,49,26,0.0817,0.0116,,0.0045
2024-04-27:12,50,27,0.0754,0.0127,,0.0045
2024-04-27:11,48,27,0.0612,0.0186,,0.0056
2024-04-27:10,50,31,0.0491,0.0155,,0.0068
2024-04-27:09,35,21,0.0344,0.0156,,0.0043
2024-04-27:08,31,15,0.0182,0.0132,,0.0023
2024-04-27:07,19,10,0.0130,0.0114,,0.0023
2024-04-27:06,19,13,0.0163,0.0102,,0.0023
2024-04-27:05,15,14,0.0196,0.0075,,0.0022
2024-04-27:04,16,9,0.0191,0.0069,,0.0022
2024-04-27:03,22,16,0.0158,0.0081,,0.0023
2024-04-27:02,18,14,0.0186,0.0082,,0.0023
2024-04-27:01,21,11,0.0199,0.0076,0.46,0.0023
2024-04-26:24,23,13,0.0219,0.0089,0.48,0.0023
2024-04-26:23,23,17,0.0232,0.0108,0.47,0.0024
2024-04-26:22,23,7,0.0280,0.0124,0.47,0.0024
2024-04-26:21,23,16,0.0424,0.0114,0.46,0.0025
2024-04-26:20,26,16,0.0478,0.0129,0.48,0.0026
2024-04-26:19,25,17,0.0502,0.0142,0.48,0.0028
2024-04-26:18,28,13,0.0506,0.0137,0.45,0.0027
2024-04-26:17,24,9,0.0544,0.0114,0.44,0.0027
2024-04-26:16,31,14,0.0585,0.0107,0.43,0.0032
2024-04-26:15,41,23,0.0718,0.0126,0.67,0.0073
2024-04-26:14,35,21,0.0643,0.0114,0.64,0.0067
2024-04-26:13,30,14,0.0517,0.0120,0.53,0.0043
2024-04-26:12,34,18,0.0435,0.0114,0.49,0.0032
