tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,11,7,0.0478,0.0046,0.33,0.0032
2024-04-30:23,12,1,0.0522,0.0043,0.31,0.0031
2024-04-30:22,10,4,0.0507,0.0047,0.32,0.0025
2024-04-30:21,24,12,0.0534,0.0060,0.35,0.0025
2024-04-30:20,30,14,0.0526,0.0104,0.43,0.0028
2024-04-30:19,31,21,0.0427,0.0109,0.40,0.0026
2024-04-30:18,29,14,,,,
2024-04-30:17,26,10,,,,
2024-04-30:16,24,16,,,,
2024-04-30:15,15,,,,,
2024-04-30:14,16,12,,,,
2024-04-30:13,35,20,,,,
2024-04-30:12,29,18,0.0316,0.0230,0.37,0.0031
2024-04-30:11,30,20,0.0197,0.0267,0.37,0.0030
2024-04-30:10,23,15,0.0233,0.0189,0.38,0.0026
2024-04-30:09,23,12,0.0244,0.0133,0.39,0.0023
2024-04-30:08,21,11,0.0140,0.0182,0.43,0.0023
2024-04-30:07,21,13,0.0210,0.0108,0.36,0.0024
2024-04-30:06,23,11,0.0250,0.0081,0.33,0.0023
2024-04-30:05,20,7,0.0255,0.0099,0.32,0.0024
2024-04-30:04,23,11,0.0268,0.0060,0.33,0.0024
2024-04-30:03,21,12,0.0246,0.0098,0.33,0.0026
2024-04-30:02,22,15,0.0263,0.0104,0.35,0.0027
2024-04-30:01,20,15,0.0282,0.0100,0.37,0.0025
2024-04-29:24,12,5,0.0318,0.0086,0.36,0.0026
2024-04-29:23,11,5,0.0337,0.0074,0.37,0.0023
2024-04-29:22,11,5,0.0388,0.0071,0.37,0.0021
2024-04-29:21,12,3,0.0421,0.0068,0.34,0.0023
2024-04-29:20,13,3,0.0384,0.0098,0.36,0.0024
2024-04-29:19,8,1,0.0456,0.0082,0.36,0.0024
2024-04-29:18,7,2,0.0477,0.0080,0.35,0.0025
2024-04-29:17,6,,0.0505,0.0065,0.34,0.0025
2024-04-29:16,8,2,0.0521,0.0063,0.34,0.0023
2024-04-29:15,9,2,0.0508,0.0069,0.34,0.0023
2024-04-29:14,8,5,0.0490,0.0072,0.35,0.0024
2024-04-29:13,8,3,0.0451,0.0085,0.36,0.0024
2024-04-29:12,15,5,0.0454,0.0091,0.36,0.0025
2024-04-29:11,13,8,0.0458,0.0080,0.36,0.0025
2024-04-29:10,18,13,0.0436,0.0090,0.38,0.0025
2024-04-29:09,21,11,0.0456,0.0077,0.38,0.0025
2024-04-29:08,20,17,0.0462,0.0073,0.36,0.0026
2024-04-29:07,20,14,0.0444,0.0067,0.36,0.0026
2024-04-29:06,26,16,0.0424,0.0073,0.35,0.0026
2024-04-29:05,34,17,0.0436,0.0069,0.36,0.0028
2024-04-29:04,44,14,0.0525,0.0052,0.35,0.0033
2024-04-29:03,43,15,0.0562,0.0052,0.36,0.0039
2024-04-29:02,41,13,0.0597,0.0041,0.33,0.0034
2024-04-29:01,43,13,0.0621,0.0030,0.33,0.0027
2024-04-28:24,41,6,0.0622,0.0034,0.32,0.0025
2024-04-28:23,48,12,0.0616,0.0038,0.33,0.0027
2024-04-28:22,46,13,0.0620,0.0054,0.35,0.0028
2024-04-28:21,44,22,0.0596,0.0075,0.37,0.0030
2024-04-28:20,30,17,0.0582,0.0115,0.39,0.0032
2024-04-28:19,26,24,0.0580,0.0128,0.38,0.0037
2024-04-28:18,25,23,0.0764,0.0114,0.44,0.0036
2024-04-28:17,25,14,0.0761,0.0090,0.38,0.0032
2024-04-28:16,31,25,0.0774,0.0102,0.40,0.0033
2024-04-28:15,35,32,0.0832,0.0119,0.46,0.0036
2024-04-28:14,51,44,0.0752,0.0193,0.51,0.0036
2024-04-28:13,56,50,0.0802,0.0199,0.55,0.0036
2024-04-28:12,58,47,0.0750,0.0209,0.56,0.0037
2024-04-28:11,53,39,0.0638,0.0258,0.55,0.0037
2024-04-28:10,44,28,0.0557,0.0253,0.55,0.0036
2024-04-28:09,38,19,0.0519,0.0117,0.50,0.0030
2024-04-28:08,34,13,0.0389,0.0143,0.49,0.0028
2024-04-28:07,34,19,0.0396,0.0078,0.44,0.0024
2024-04-28:06,36,12,0.0459,0.0048,0.43,0.0023
2024-04-28:05,31,14,0.0476,0.0046,0.40,0.0025
2024-04-28:04,32,9,0.0488,0.0042,0.39,0.0025
2024-04-28:03,32,13,0.0500,0.0043,0.40,0.0025
2024-04-28:02,34,22,0.0484,0.0054,0.43,0.0025
2024-04-28:01,40,20,0.0515,0.0063,0.46,0.0027
2024-04-27:24,38,11,0.0513,0.0078,0.50,0.0029
2024-04-27:23,43,16,0.0565,0.0079,0.52,0.0032
2024-04-27:22,42,21,0.0578,0.0096,0.53,0.0032
2024-04-27:21,40,29,0.0745,0.0087,0.56,0.0038
2024-04-27:20,42,29,0.0688,0.0093,0.50,0.0034
2024-04-27:19,40,40,0.0890,0.0082,0.49,0.0039
2024-04-27:18,36,34,0.0907,0.0080,0.50,0.0041
2024-04-27:17,24,,0.0925,0.0071,0.49,0.0042
2024-04-27:16,29,,0.0810,0.0070,0.41,0.0034
2024-04-27:15,39,26,0.0812,0.0073,0.37,0.0032
2024-04-27:14,42,38,0.0900,0.0093,0.44,0.0035
2024-04-27:13,52,38,0.0885,0.0115,0.49,0.0039
2024-04-27:12,52,37,0.0868,0.0113,0.53,0.0042
2024-04-27:11,46,34,0.0645,0.0188,0.57,0.0054
2024-04-27:10,30,21,0.0415,0.0279,0.46,0.0039
2024-04-27:09,16,12,0.0299,0.0155,0.42,0.0026
2024-04-27:08,12,2,0.0164,0.0176,0.43,0.0024
2024-04-27:07,11,0,0.0201,0.0109,0.34,0.0023
2024-04-27:06,11,1,0.0259,0.0051,0.29,0.0023
2024-04-27:05,14,2,0.0280,0.0041,0.28,0.0024
2024-04-27:04,15,6,0.0298,0.0034,0.29,0.0024
2024-04-27:03,16,5,0.0285,0.0054,0.32,0.0025
2024-04-27:02,15,2,0.0335,0.0042,0.30,0.0023
2024-04-27:01,11,1,0.0357,0.0049,0.31,0.0025
