tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,7,5,0.0231,0.0082,0.30,0.0022
2024-02-29:23,6,2,0.0309,0.0068,0.28,0.0022
2024-02-29:22,5,3,0.0362,0.0072,0.27,0.0024
2024-02-29:21,5,1,0.0330,0.0092,0.29,0.0020
2024-02-29:20,3,1,0.0355,0.0091,0.29,0.0021
2024-02-29:19,3,3,0.0396,0.0076,0.30,0.0022
2024-02-29:18,3,2,0.0413,0.0069,0.28,0.0021
2024-02-29:17,2,0,0.0420,0.0073,0.27,0.0023
2024-02-29:16,1,1,0.0436,0.0067,0.26,0.0022
2024-02-29:15,5,3,0.0430,0.0070,0.27,0.0022
2024-02-29:14,6,5,0.0437,0.0073,0.26,0.0025
2024-02-29:13,8,4,0.0437,0.0080,0.26,0.0022
2024-02-29:12,13,6,0.0407,0.0092,0.28,0.0029
2024-02-29:11,18,11,0.0384,0.0097,0.29,0.0029
2024-02-29:10,18,10,0.0331,0.0132,0.28,0.0029
2024-02-29:09,18,10,0.0345,0.0110,0.29,0.0029
2024-02-29:08,15,9,0.0319,0.0133,0.28,0.0027
2024-02-29:07,17,9,0.0293,0.0155,0.29,0.0028
2024-02-29:06,17,9,0.0293,0.0137,0.29,0.0025
2024-02-29:05,18,8,0.0314,0.0090,0.28,0.0028
2024-02-29:04,16,9,0.0344,0.0082,0.30,0.0025
2024-02-29:03,18,10,0.0344,0.0081,0.29,0.0023
2024-02-29:02,21,9,0.0358,0.0084,0.28,0.0025
2024-02-29:01,20,10,0.0331,0.0103,0.30,0.0026
2024-02-28:24,21,12,0.0312,0.0122,0.30,0.0030
2024-02-28:23,17,9,0.0372,0.0126,0.28,0.0030
2024-02-28:22,16,8,0.0482,0.0082,0.27,0.0027
2024-02-28:21,19,11,0.0487,0.0099,0.27,0.0028
2024-02-28:20,19,12,0.0460,0.0107,0.29,0.0031
2024-02-28:19,20,10,0.0487,0.0088,0.26,0.0030
2024-02-28:18,18,10,0.0529,0.0065,0.28,0.0029
2024-02-28:17,13,8,0.0525,0.0056,0.26,0.0028
2024-02-28:16,14,7,0.0524,0.0059,0.25,0.0029
