tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,12,10,0.0300,0.0146,0.34,0.0022
2024-02-29:23,11,6,0.0340,0.0127,0.32,0.0024
2024-02-29:22,6,4,0.0320,0.0155,0.32,0.0024
2024-02-29:21,8,4,0.0320,0.0173,0.31,0.0022
2024-02-29:20,6,3,0.0280,0.0208,0.34,0.0027
2024-02-29:19,6,2,0.0230,0.0267,0.39,0.0023
2024-02-29:18,6,4,0.0250,0.0249,0.38,0.0027
2024-02-29:17,7,5,0.0260,0.0256,0.36,0.0025
2024-02-29:16,9,7,0.0270,0.0236,0.34,0.0024
2024-02-29:15,11,7,0.0260,0.0248,0.38,0.0025
2024-02-29:14,14,9,0.0280,0.0251,0.34,0.0028
2024-02-29:13,24,16,0.0190,0.0299,0.38,0.0031
2024-02-29:12,21,13,0.0200,0.0303,0.37,0.0029
2024-02-29:11,22,11,0.0250,0.0294,0.35,0.0032
2024-02-29:10,28,14,0.0210,0.0326,0.37,0.0037
2024-02-29:09,36,16,0.0050,0.0435,0.49,0.0043
2024-02-29:08,36,22,0.0030,0.0439,0.47,0.0048
2024-02-29:07,28,17,0.0060,0.0410,0.43,0.0045
2024-02-29:06,27,16,0.0050,0.0387,0.38,0.0038
2024-02-29:05,26,18,0.0050,0.0356,0.38,0.0049
2024-02-29:04,29,18,0.0030,0.0383,0.41,0.0063
2024-02-29:03,28,17,0.0060,0.0360,0.42,0.0059
2024-02-29:02,29,17,0.0090,0.0318,0.42,0.0032
2024-02-29:01,27,15,0.0100,0.0368,0.44,0.0052
2024-02-28:24,32,18,0.0120,0.0363,0.40,0.0059
2024-02-28:23,27,17,0.0150,0.0336,0.43,0.0029
2024-02-28:22,21,12,0.0360,0.0205,0.35,0.0036
2024-02-28:21,20,10,0.0310,0.0243,0.35,0.0035
2024-02-28:20,22,11,0.0390,0.0170,0.31,0.0032
2024-02-28:19,22,11,0.0400,0.0183,0.32,0.0035
2024-02-28:18,28,18,0.0410,0.0195,0.31,0.0033
2024-02-28:17,27,15,0.0450,0.0182,0.32,0.0035
2024-02-28:16,27,16,0.0480,0.0141,0.30,0.0033
2024-02-28:15,24,10,0.0480,0.0150,0.30,0.0030
2024-02-28:14,28,12,0.0450,0.0153,0.30,0.0031
2024-02-28:13,32,14,0.0410,0.0155,0.30,0.0032
2024-02-28:12,38,19,0.0330,0.0207,0.32,0.0037
2024-02-28:11,44,20,0.0190,0.0320,0.40,0.0041
2024-02-28:10,46,20,0.0130,0.0351,0.43,0.0049
2024-02-28:09,44,20,0.0060,0.0561,0.53,0.0059
2024-02-28:08,37,17,0.0030,0.0608,0.57,0.0068
2024-02-28:07,33,17,0.0030,0.0470,0.48,0.0086
2024-02-28:06,30,14,0.0030,0.0417,0.42,0.0053
2024-02-28:05,25,14,0.0070,0.0346,0.40,0.0026
2024-02-28:04,24,14,0.0200,0.0221,0.33,0.0024
2024-02-28:03,25,12,0.0230,0.0190,0.34,0.0031
2024-02-28:02,28,13,0.0340,0.0127,0.31,0.0029
2024-02-28:01,25,10,0.0380,0.0114,0.29,0.0028
2024-02-27:24,27,11,0.0190,0.0278,0.36,0.0023
2024-02-27:23,24,8,0.0370,0.0142,0.30,0.0025
2024-02-27:22,24,8,0.0390,0.0139,0.31,0.0024
2024-02-27:21,25,11,0.0370,0.0159,0.32,0.0024
2024-02-27:20,30,13,0.0350,0.0168,0.35,0.0025
2024-02-27:19,29,12,0.0280,0.0241,0.35,0.0024
2024-02-27:18,28,11,0.0330,0.0196,0.31,0.0026
2024-02-27:17,31,11,0.0350,0.0172,0.29,0.0025
2024-02-27:16,34,11,0.0360,0.0145,0.28,0.0022
2024-02-27:15,,,,,,
2024-02-27:14,,,,,,
2024-02-27:13,,,,,,
2024-02-27:12,28,13,0.0380,0.0161,0.31,0.0024
2024-02-27:11,30,12,0.0370,0.0183,0.32,0.0022
2024-02-27:10,26,11,0.0330,0.0252,0.35,0.0025
2024-02-27:09,29,9,0.0310,0.0289,0.35,0.0022
2024-02-27:08,24,8,0.0300,0.0325,0.35,0.0024
2024-02-27:07,18,8,0.0340,0.0204,0.34,0.0025
2024-02-27:06,16,9,0.0390,0.0139,0.33,0.0025
2024-02-27:05,14,9,0.0440,0.0076,0.36,0.0024
2024-02-27:04,12,9,0.0330,0.0126,0.33,0.0025
2024-02-27:03,14,7,0.0360,0.0108,0.34,0.0027
2024-02-27:02,15,10,0.0320,0.0145,0.34,0.0025
2024-02-27:01,11,7,0.0360,0.0123,0.34,0.0027
2024-02-26:24,13,9,0.0410,0.0086,0.33,0.0025
2024-02-26:23,15,10,0.0400,0.0101,0.37,0.0026
2024-02-26:22,16,7,0.0410,0.0101,0.36,0.0027
2024-02-26:21,15,6,0.0410,0.0100,0.31,0.0022
2024-02-26:20,16,8,0.0410,0.0106,0.28,0.0022
2024-02-26:19,13,6,0.0370,0.0139,0.30,0.0026
2024-02-26:18,17,9,0.0390,0.0132,0.29,0.0022
2024-02-26:17,19,7,0.0340,0.0182,0.32,0.0027
2024-02-26:16,17,10,0.0360,0.0169,0.32,0.0025
2024-02-26:15,12,5,0.0380,0.0164,0.30,0.0022
