tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,24,16,0.0235,0.0174,0.29,0.0025
2024-02-29:23,16,12,0.0223,0.0185,0.29,0.0025
2024-02-29:22,11,,0.0210,0.0209,0.29,0.0025
2024-02-29:21,9,6,0.0231,0.0187,0.29,0.0025
2024-02-29:20,10,8,0.0321,0.0096,0.27,0.0025
2024-02-29:19,12,9,0.0390,0.0101,0.29,0.0025
2024-02-29:18,10,9,0.0374,0.0130,0.25,0.0026
2024-02-29:17,10,8,0.0405,0.0103,0.24,0.0026
2024-02-29:16,10,9,0.0429,0.0076,0.23,0.0026
2024-02-29:15,12,9,0.0400,0.0095,0.27,0.0026
2024-02-29:14,14,13,0.0346,0.0126,0.29,0.0026
2024-02-29:13,24,18,0.0314,0.0161,0.31,0.0027
2024-02-29:12,35,29,0.0168,0.0257,0.39,0.0027
2024-02-29:11,40,29,0.0131,0.0242,0.41,0.0027
2024-02-29:10,46,28,0.0090,0.0262,0.42,0.0028
2024-02-29:09,38,27,0.0057,0.0286,0.43,0.0027
2024-02-29:08,30,27,0.0043,0.0288,0.52,0.0025
2024-02-29:07,32,26,0.0062,0.0232,0.43,0.0026
2024-02-29:06,33,22,0.0086,0.0236,0.39,0.0025
2024-02-29:05,21,19,0.0096,0.0232,0.36,0.0024
2024-02-29:04,27,18,0.0142,0.0165,0.36,0.0024
2024-02-29:03,25,17,0.0114,0.0206,0.34,0.0024
2024-02-29:02,24,20,0.0094,0.0259,0.41,0.0024
2024-02-29:01,32,24,0.0094,0.0289,0.44,0.0024
2024-02-28:24,27,19,0.0133,0.0280,0.37,0.0024
2024-02-28:23,21,15,0.0155,0.0264,0.36,0.0024
2024-02-28:22,19,16,0.0181,0.0234,0.36,0.0023
2024-02-28:21,30,15,0.0220,0.0232,0.34,0.0024
2024-02-28:20,26,17,0.0289,0.0200,0.32,0.0025
2024-02-28:19,21,19,0.0422,0.0121,0.29,0.0026
2024-02-28:18,26,22,0.0456,0.0088,0.28,0.0026
2024-02-28:17,14,9,0.0472,0.0067,0.25,0.0025
2024-02-28:16,17,7,0.0475,0.0064,0.24,0.0025
2024-02-28:15,12,9,0.0478,0.0065,0.24,0.0025
2024-02-28:14,13,13,0.0472,0.0056,0.25,0.0024
2024-02-28:13,20,16,0.0440,0.0073,0.26,0.0038
2024-02-28:12,30,15,0.0397,0.0102,0.28,0.0039
2024-02-28:11,35,23,0.0288,0.0151,0.32,0.0029
2024-02-28:10,39,27,0.0165,0.0164,0.36,0.0027
2024-02-28:09,35,,0.0073,0.0249,0.39,0.0027
2024-02-28:08,31,21,0.0027,0.0311,0.38,0.0027
2024-02-28:07,32,16,0.0039,0.0259,0.38,0.0025
2024-02-28:06,29,19,0.0039,0.0273,0.34,0.0024
2024-02-28:05,22,14,0.0071,0.0207,0.36,0.0023
2024-02-28:04,25,19,0.0082,0.0214,0.34,0.0023
2024-02-28:03,28,19,0.0107,0.0203,0.34,0.0023
2024-02-28:02,25,16,0.0139,0.0200,0.35,0.0022
2024-02-28:01,20,18,0.0143,0.0202,0.33,0.0022
2024-02-27:24,27,22,0.0173,0.0181,0.33,0.0023
2024-02-27:23,34,20,0.0151,0.0246,0.34,0.0022
2024-02-27:22,30,18,0.0126,0.0324,0.33,0.0023
2024-02-27:21,37,19,0.0201,0.0212,0.35,0.0023
2024-02-27:20,26,19,0.0308,0.0163,0.29,0.0023
2024-02-27:19,28,16,0.0373,0.0142,0.26,0.0024
2024-02-27:18,27,15,0.0421,0.0103,0.26,0.0024
2024-02-27:17,24,14,0.0447,0.0082,0.24,0.0023
2024-02-27:16,20,16,,,,
2024-02-27:15,31,15,,,,
2024-02-27:14,13,8,,,,
2024-02-27:13,17,9,,,,
2024-02-27:12,17,12,,,,
2024-02-27:11,16,13,0.0379,0.0084,0.27,
2024-02-27:10,23,16,0.0213,0.0175,0.34,0.0028
2024-02-27:09,21,21,0.0056,0.0295,0.46,0.0027
2024-02-27:08,26,18,0.0031,0.0312,0.36,0.0026
2024-02-27:07,14,10,0.0032,0.0302,0.31,0.0023
2024-02-27:06,12,10,0.0042,0.0271,0.30,0.0023
2024-02-27:05,15,14,0.0073,0.0233,0.31,0.0022
2024-02-27:04,16,9,0.0095,0.0209,0.30,0.0022
2024-02-27:03,12,10,0.0127,0.0151,0.28,0.0022
2024-02-27:02,16,12,0.0131,0.0202,0.30,0.0022
2024-02-27:01,14,10,0.0140,0.0203,0.31,0.0022
2024-02-26:24,15,10,0.0255,0.0139,0.32,0.0023
2024-02-26:23,21,15,0.0180,0.0194,0.32,0.0023
2024-02-26:22,18,17,0.0124,0.0249,0.31,0.0022
2024-02-26:21,20,13,0.0206,0.0158,0.32,0.0023
2024-02-26:20,19,17,0.0288,0.0119,0.30,0.0023
2024-02-26:19,12,,0.0360,0.0103,0.29,0.0022
2024-02-26:18,14,12,,,,
2024-02-26:17,,,,,,
2024-02-26:16,,,,,,
2024-02-26:15,,,0.0408,0.0061,0.27,0.0020
2024-02-26:14,6,,0.0403,0.0059,0.28,0.0019
2024-02-26:13,8,,0.0392,0.0062,0.30,0.0020
2024-02-26:12,9,,0.0356,0.0075,0.31,0.0020
2024-02-26:11,13,,0.0324,0.0084,0.32,0.0019
2024-02-26:10,13,,0.0161,0.0167,0.37,0.0020
2024-02-26:09,22,21,0.0063,0.0240,0.41,0.0022
2024-02-26:08,24,21,0.0040,0.0249,0.42,0.0022
2024-02-26:07,15,,0.0052,0.0253,0.36,0.0019
2024-02-26:06,15,14,0.0076,0.0211,0.34,0.0019
2024-02-26:05,11,,0.0152,0.0114,0.33,0.0018
2024-02-26:04,15,11,0.0172,0.0090,0.32,0.0019
2024-02-26:03,13,,0.0166,0.0092,0.32,0.0018
2024-02-26:02,12,11,0.0200,0.0090,0.32,0.0018
2024-02-26:01,15,13,0.0221,0.0088,0.32,0.0019
2024-02-25:24,10,,0.0211,0.0101,0.32,0.0019
2024-02-25:23,7,,0.0317,0.0068,0.32,0.0018
2024-02-25:22,16,11,0.0300,0.0071,0.34,0.0018
2024-02-25:21,11,,0.0266,0.0084,0.36,0.0019
2024-02-25:20,9,7,0.0296,0.0073,0.32,0.0019
2024-02-25:19,6,6,0.0343,0.0055,0.29,0.0019
2024-02-25:18,6,6,0.0330,0.0060,0.28,0.0020
2024-02-25:17,11,6,0.0335,0.0055,0.29,0.0020
2024-02-25:16,10,10,0.0316,0.0056,0.28,0.0020
2024-02-25:15,8,,0.0317,0.0054,0.29,0.0020
2024-02-25:14,7,7,0.0314,0.0054,0.29,0.0020
2024-02-25:13,9,,0.0303,0.0057,0.29,0.0020
2024-02-25:12,9,,0.0257,0.0067,0.31,0.0020
2024-02-25:11,11,11,0.0238,0.0073,0.34,0.0020
2024-02-25:10,13,,0.0164,0.0109,0.37,0.0020
2024-02-25:09,12,11,0.0096,0.0150,0.41,0.0020
2024-02-25:08,13,12,0.0081,0.0153,0.43,0.0020
2024-02-25:07,10,10,0.0139,0.0083,0.35,0.0019
2024-02-25:06,17,17,0.0154,0.0092,0.44,0.0019
2024-02-25:05,12,,0.0189,0.0065,0.36,0.0019
2024-02-25:04,11,10,0.0212,0.0074,0.37,0.0019
2024-02-25:03,21,13,0.0201,0.0095,0.46,0.0020
2024-02-25:02,17,17,0.0210,0.0101,0.42,0.0020
2024-02-25:01,28,25,0.0198,0.0140,0.47,0.0019
2024-02-24:24,27,21,0.0215,0.0134,0.42,0.0019
2024-02-24:23,21,20,0.0247,0.0120,0.42,0.0018
2024-02-24:22,18,17,0.0261,0.0097,0.41,0.0018
2024-02-24:21,19,15,0.0300,0.0080,0.38,0.0018
2024-02-24:20,17,16,0.0346,0.0071,0.35,0.0018
2024-02-24:19,17,8,0.0361,0.0073,0.34,0.0019
2024-02-24:18,13,10,0.0365,0.0074,0.33,0.0019
2024-02-24:17,21,11,0.0372,0.0071,0.32,0.0019
2024-02-24:16,20,9,0.0371,0.0073,0.31,0.0018
2024-02-24:15,15,9,0.0379,0.0066,0.30,0.0018
2024-02-24:14,13,8,0.0399,0.0049,0.29,0.0018
2024-02-24:13,15,4,0.0408,0.0044,0.28,0.0018
2024-02-24:12,17,5,0.0405,0.0044,0.28,0.0018
2024-02-24:11,11,7,0.0400,0.0048,0.28,0.0017
2024-02-24:10,14,9,0.0388,0.0056,0.27,0.0017
2024-02-24:09,13,6,0.0380,0.0056,0.27,0.0016
2024-02-24:08,10,7,0.0399,0.0048,0.26,0.0017
2024-02-24:07,10,8,0.0404,0.0042,0.26,0.0017
2024-02-24:06,13,11,0.0381,0.0045,0.28,0.0017
2024-02-24:05,13,7,0.0383,0.0041,0.28,0.0017
2024-02-24:04,9,6,0.0390,0.0041,0.27,0.0017
2024-02-24:03,11,8,0.0388,0.0041,0.27,0.0017
2024-02-24:02,10,10,0.0385,0.0043,0.27,0.0017
2024-02-24:01,21,12,0.0372,0.0054,0.28,0.0017
2024-02-23:24,18,,0.0355,0.0065,0.30,0.0015
2024-02-23:23,27,21,0.0368,0.0067,0.30,0.0013
2024-02-23:22,17,12,0.0366,0.0067,0.28,0.0018
2024-02-23:21,16,15,0.0333,0.0092,0.29,0.0018
2024-02-23:20,20,11,0.0340,0.0091,0.28,0.0019
2024-02-23:19,21,11,0.0346,0.0093,0.28,0.0019
2024-02-23:18,10,6,0.0343,0.0090,0.27,0.0019
2024-02-23:17,11,6,0.0325,0.0096,0.28,0.0019
2024-02-23:16,6,,0.0346,0.0080,0.28,0.0019
2024-02-23:15,3,,0.0353,0.0071,0.27,0.0019
2024-02-23:14,4,4,0.0350,0.0066,0.27,0.0019
2024-02-23:13,4,,0.0334,0.0071,0.28,0.0019
