tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,14,9,0.0532,0.0061,0.45,0.0021
2024-04-30:23,35,29,0.0519,0.0067,0.48,0.0022
2024-04-30:22,27,26,0.0447,0.0063,0.48,0.0022
2024-04-30:21,26,19,0.0313,0.0072,0.52,0.0022
2024-04-30:20,28,19,0.0398,0.0069,0.55,0.0023
2024-04-30:19,26,19,0.0452,0.0085,0.58,0.0025
2024-04-30:18,28,25,0.0523,0.0073,0.62,0.0025
2024-04-30:17,25,22,0.0668,0.0079,0.64,0.0030
2024-04-30:16,24,15,0.0651,0.0081,0.63,0.0030
2024-04-30:15,24,16,0.0646,0.0091,0.63,0.0032
2024-04-30:14,29,25,0.0692,0.0118,0.73,0.0040
2024-04-30:13,32,24,0.0698,0.0112,0.86,0.0048
2024-04-30:12,29,23,0.0579,0.0117,0.92,0.0056
2024-04-30:11,21,19,0.0405,0.0095,0.65,0.0045
2024-04-30:10,17,11,0.0397,0.0063,0.43,0.0022
2024-04-30:09,17,12,0.0410,0.0075,0.42,0.0022
2024-04-30:08,13,10,0.0286,0.0069,0.43,0.0021
2024-04-30:07,18,9,0.0314,0.0044,0.41,0.0020
2024-04-30:06,12,11,0.0318,0.0044,0.41,0.0021
2024-04-30:05,9,7,0.0316,0.0041,0.42,0.0022
2024-04-30:04,16,10,0.0306,0.0046,0.42,0.0021
2024-04-30:03,15,9,0.0337,0.0040,0.41,0.0022
2024-04-30:02,14,8,0.0448,0.0039,0.41,0.0021
2024-04-30:01,16,9,0.0459,0.0043,0.41,0.0021
2024-04-29:24,14,10,0.0486,0.0043,0.42,0.0022
2024-04-29:23,9,9,0.0521,0.0047,0.42,0.0018
2024-04-29:22,9,6,0.0521,0.0050,0.43,0.0020
2024-04-29:21,9,6,0.0517,0.0051,0.42,0.0021
2024-04-29:20,10,6,0.0500,0.0056,0.45,0.0021
2024-04-29:19,5,,0.0497,0.0061,0.45,0.0022
2024-04-29:18,8,7,0.0482,0.0071,0.45,0.0022
2024-04-29:17,9,7,0.0466,0.0079,0.45,0.0022
2024-04-29:16,10,8,0.0458,0.0079,0.45,0.0021
2024-04-29:15,13,8,,,,
2024-04-29:14,11,9,,,,
2024-04-29:13,11,9,0.0445,0.0082,0.47,0.0022
2024-04-29:12,12,12,0.0461,0.0078,0.48,0.0021
2024-04-29:11,14,12,0.0447,0.0082,0.50,0.0021
2024-04-29:10,24,16,0.0441,0.0083,0.52,0.0021
2024-04-29:09,26,25,0.0446,0.0089,0.54,0.0021
2024-04-29:08,30,27,0.0485,0.0074,0.54,0.0021
