tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,16,8,0.0089,0.0057,0.19,0.0024
2024-06-30:23,10,6,0.0095,0.0069,0.18,0.0025
2024-06-30:22,5,2,0.0160,0.0051,0.15,0.0024
2024-06-30:21,12,6,0.0259,0.0028,0.13,0.0024
2024-06-30:20,9,9,0.0257,0.0029,0.14,0.0024
2024-06-30:19,10,9,0.0286,0.0028,0.15,0.0024
2024-06-30:18,7,5,0.0317,0.0030,0.15,0.0025
2024-06-30:17,11,7,0.0306,0.0028,0.15,0.0025
2024-06-30:16,6,,0.0307,0.0024,0.15,0.0025
2024-06-30:15,5,4,0.0289,0.0026,0.13,0.0024
2024-06-30:14,8,7,0.0282,0.0024,0.12,0.0024
2024-06-30:13,8,,0.0269,0.0023,0.08,0.0024
2024-06-30:12,3,3,0.0247,0.0022,0.10,0.0024
2024-06-30:11,5,0,0.0178,0.0042,0.10,0.0024
2024-06-30:10,4,2,0.0208,0.0024,0.08,0.0024
2024-06-30:09,3,,0.0211,0.0022,0.07,0.0024
2024-06-30:08,2,1,0.0214,0.0018,0.07,0.0024
2024-06-30:07,2,2,0.0219,0.0019,0.07,0.0024
2024-06-30:06,3,,0.0243,0.0015,0.07,0.0024
2024-06-30:05,6,2,0.0263,0.0013,0.07,0.0023
2024-06-30:04,9,1,0.0254,0.0014,0.07,0.0024
2024-06-30:03,12,6,0.0246,0.0014,0.07,0.0024
2024-06-30:02,31,10,0.0241,0.0016,0.07,0.0024
2024-06-30:01,25,9,0.0247,0.0015,0.07,0.0024
2024-06-29:24,15,11,0.0249,0.0016,0.08,0.0024
2024-06-29:23,8,,0.0247,0.0019,0.08,0.0023
2024-06-29:22,0,,0.0223,0.0033,0.09,0.0024
2024-06-29:21,2,1,0.0188,0.0056,0.11,0.0025
2024-06-29:20,3,,0.0213,0.0052,0.09,0.0023
2024-06-29:19,0,,0.0220,0.0039,0.10,0.0023
2024-06-29:18,3,,0.0242,0.0031,0.10,0.0023
2024-06-29:17,5,,0.0311,0.0037,0.14,0.0024
2024-06-29:16,4,2,0.0407,0.0047,0.17,0.0024
2024-06-29:15,6,1,0.0450,0.0037,0.18,0.0023
2024-06-29:14,7,,0.0457,0.0042,0.18,0.0023
2024-06-29:13,14,4,0.0503,0.0049,0.17,0.0023
2024-06-29:12,14,,0.0525,0.0039,0.21,0.0023
2024-06-29:11,15,,0.0512,0.0044,0.19,0.0024
2024-06-29:10,7,2,0.0526,0.0038,0.18,0.0024
2024-06-29:09,11,9,0.0491,0.0042,0.16,0.0023
2024-06-29:08,12,7,0.0432,0.0058,0.12,0.0024
2024-06-29:07,7,5,0.0195,0.0072,0.11,0.0023
2024-06-29:06,7,3,0.0130,0.0068,0.09,0.0024
2024-06-29:05,7,5,0.0137,0.0060,0.08,0.0023
2024-06-29:04,3,,0.0158,0.0054,0.08,0.0023
2024-06-29:03,8,6,0.0197,0.0052,0.09,0.0022
2024-06-29:02,,,0.0230,0.0052,0.10,0.0023
2024-06-29:01,,18,0.0237,0.0073,0.11,0.0024
2024-06-28:24,9,3,0.0308,0.0063,0.12,0.0024
2024-06-28:23,4,3,0.0391,0.0057,0.12,0.0023
2024-06-28:22,8,3,0.0437,0.0044,0.13,0.0024
2024-06-28:21,4,,0.0464,0.0058,0.13,0.0025
2024-06-28:20,7,3,0.0502,0.0064,0.14,0.0024
2024-06-28:19,7,0,0.0577,0.0068,0.16,0.0025
2024-06-28:18,9,4,0.0627,0.0048,0.13,0.0025
2024-06-28:17,11,8,0.0639,0.0049,0.13,0.0025
2024-06-28:16,10,5,0.0648,0.0049,0.14,0.0026
2024-06-28:15,9,,0.0628,0.0040,0.14,0.0026
2024-06-28:14,10,1,0.0607,0.0047,0.14,0.0026
2024-06-28:13,12,10,0.0670,0.0060,0.12,0.0027
2024-06-28:12,15,13,0.0663,0.0075,0.17,0.0028
2024-06-28:11,11,11,0.0548,0.0084,0.18,0.0027
2024-06-28:10,11,,0.0436,0.0102,0.18,0.0028
2024-06-28:09,19,18,0.0351,0.0121,0.21,0.0027
2024-06-28:08,18,17,0.0202,0.0106,0.21,0.0026
2024-06-28:07,18,14,0.0125,0.0089,0.19,0.0025
2024-06-28:06,21,,0.0106,0.0092,0.18,0.0025
2024-06-28:05,21,17,0.0123,0.0081,0.19,0.0026
2024-06-28:04,25,17,0.0151,0.0081,0.19,0.0027
2024-06-28:03,21,,0.0147,0.0067,0.19,0.0027
2024-06-28:02,,,0.0169,0.0067,0.19,0.0026
2024-06-28:01,22,,0.0203,0.0077,0.21,0.0026
2024-06-27:24,26,19,0.0223,0.0091,0.21,0.0026
2024-06-27:23,25,24,0.0272,0.0108,0.22,0.0026
2024-06-27:22,30,19,0.0333,0.0114,0.23,0.0026
2024-06-27:21,20,16,0.0366,0.0138,0.22,0.0027
2024-06-27:20,16,14,0.0405,0.0139,0.20,0.0029
2024-06-27:19,16,10,0.0346,0.0184,0.19,0.0030
2024-06-27:18,15,9,0.0435,0.0177,0.17,0.0031
2024-06-27:17,18,9,0.0413,0.0227,0.20,0.0036
2024-06-27:16,14,11,0.0520,0.0182,0.24,0.0043
2024-06-27:15,11,9,0.0618,0.0117,0.26,0.0045
2024-06-27:14,18,9,0.0612,0.0067,0.19,0.0039
2024-06-27:13,21,7,0.0488,0.0110,0.21,0.0037
2024-06-27:12,20,7,0.0319,0.0227,0.40,0.0043
2024-06-27:11,22,18,0.0308,0.0184,0.47,0.0042
2024-06-27:10,22,9,0.0246,0.0219,0.54,0.0043
2024-06-27:09,16,14,0.0231,0.0252,0.56,0.0039
2024-06-27:08,16,12,0.0197,0.0210,0.50,0.0036
2024-06-27:07,7,,0.0112,0.0237,0.47,0.0033
2024-06-27:06,8,,0.0182,0.0167,0.38,0.0030
2024-06-27:05,14,10,0.0275,0.0087,0.19,0.0026
2024-06-27:04,12,11,0.0317,0.0055,0.11,0.0026
2024-06-27:03,13,,0.0341,0.0043,0.11,0.0025
2024-06-27:02,16,,0.0363,0.0045,0.12,0.0026
2024-06-27:01,24,18,0.0390,0.0056,0.14,0.0026
2024-06-26:24,19,16,0.0408,0.0080,0.17,0.0026
2024-06-26:23,24,14,0.0503,0.0073,0.18,0.0029
2024-06-26:22,19,9,0.0636,0.0077,0.18,0.0031
2024-06-26:21,19,7,0.0716,0.0067,0.17,0.0034
2024-06-26:20,18,12,0.0782,0.0073,0.18,0.0032
2024-06-26:19,14,12,0.0874,0.0098,0.20,0.0031
2024-06-26:18,22,13,0.0876,0.0090,0.19,0.0029
2024-06-26:17,16,16,0.0896,0.0081,0.18,0.0028
2024-06-26:16,13,7,0.0817,0.0074,0.18,0.0027
2024-06-26:15,14,10,0.0719,0.0059,0.14,0.0028
2024-06-26:14,19,13,0.0687,0.0041,0.12,0.0028
2024-06-26:13,21,12,0.0641,0.0046,0.09,0.0028
2024-06-26:12,18,9,0.0594,0.0036,0.12,0.0028
2024-06-26:11,19,11,0.0569,0.0048,0.13,0.0028
2024-06-26:10,22,17,0.0472,0.0102,0.16,0.0029
2024-06-26:09,21,,0.0330,0.0146,0.21,0.0028
2024-06-26:08,19,13,0.0145,0.0216,0.25,0.0027
2024-06-26:07,19,11,0.0159,0.0175,0.19,0.0025
2024-06-26:06,18,11,0.0155,0.0117,0.15,0.0025
2024-06-26:05,17,12,0.0198,0.0093,0.15,0.0025
2024-06-26:04,17,13,0.0258,0.0062,0.16,0.0024
2024-06-26:03,20,12,0.0325,0.0042,0.16,0.0025
2024-06-26:02,15,7,0.0329,0.0056,0.19,0.0025
2024-06-26:01,27,13,0.0314,0.0075,0.23,0.0026
2024-06-25:24,24,21,0.0305,0.0090,0.27,0.0027
2024-06-25:23,51,18,0.0308,0.0096,0.29,0.0028
2024-06-25:22,28,16,0.0321,0.0096,0.27,0.0029
2024-06-25:21,24,8,0.0361,0.0093,0.24,0.0029
2024-06-25:20,17,6,0.0410,0.0098,0.20,0.0028
2024-06-25:19,15,13,0.0511,0.0057,0.16,0.0026
2024-06-25:18,10,5,0.0510,0.0055,0.13,0.0025
2024-06-25:17,7,5,0.0530,0.0026,0.10,0.0024
2024-06-25:16,8,8,0.0551,0.0038,0.09,0.0025
2024-06-25:15,14,7,0.0558,0.0035,0.11,0.0025
2024-06-25:14,18,7,0.0548,0.0028,0.11,0.0025
2024-06-25:13,21,8,0.0534,0.0030,0.06,0.0025
2024-06-25:12,23,7,0.0526,0.0026,0.04,0.0024
2024-06-25:11,42,18,0.0526,0.0030,0.05,0.0024
2024-06-25:10,52,24,0.0468,0.0049,0.08,0.0023
2024-06-25:09,76,26,0.0465,0.0044,0.09,0.0023
2024-06-25:08,92,34,0.0422,0.0054,0.12,0.0023
2024-06-25:07,92,38,0.0245,0.0124,0.13,0.0023
2024-06-25:06,98,37,0.0196,0.0131,0.13,0.0023
