tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,13,6,0.0202,0.0072,0.10,0.0047
2024-06-30:23,10,2,0.0215,0.0067,0.09,0.0048
2024-06-30:22,14,2,0.0238,0.0067,0.09,0.0048
2024-06-30:21,10,7,0.0251,0.0067,0.09,0.0048
2024-06-30:20,9,8,0.0268,0.0067,0.08,0.0048
2024-06-30:19,9,3,0.0274,0.0068,0.08,0.0047
2024-06-30:18,13,2,0.0288,0.0055,0.07,0.0049
2024-06-30:17,9,5,0.0276,0.0052,0.05,0.0048
2024-06-30:16,9,5,0.0281,0.0051,0.07,0.0049
2024-06-30:15,10,4,0.0309,0.0046,0.05,0.0049
2024-06-30:14,10,3,0.0304,0.0046,0.05,0.0049
2024-06-30:13,9,4,0.0266,0.0046,0.04,0.0049
2024-06-30:12,5,1,0.0216,0.0045,0.03,0.0048
2024-06-30:11,5,1,0.0198,0.0048,0.02,0.0048
2024-06-30:10,10,1,0.0208,0.0044,0.02,0.0048
2024-06-30:09,14,,0.0209,0.0042,0.00,0.0048
2024-06-30:08,1,,0.0208,0.0041,,0.0047
2024-06-30:07,4,,0.0222,0.0041,,0.0047
2024-06-30:06,8,0,0.0246,0.0038,,0.0047
2024-06-30:05,14,3,0.0248,0.0037,0.16,0.0047
2024-06-30:04,12,6,0.0242,0.0035,0.11,0.0047
2024-06-30:03,14,6,0.0241,0.0036,0.08,0.0047
2024-06-30:02,11,0,0.0244,0.0035,0.07,0.0047
2024-06-30:01,16,5,0.0253,0.0036,0.07,0.0046
2024-06-29:24,14,2,0.0249,0.0039,0.07,0.0046
2024-06-29:23,8,4,0.0207,0.0052,0.07,0.0046
2024-06-29:22,6,,0.0179,0.0070,0.09,0.0046
2024-06-29:21,8,0,0.0170,0.0078,0.10,0.0046
2024-06-29:20,6,,0.0205,0.0051,0.05,0.0046
2024-06-29:19,7,,0.0216,0.0066,0.07,0.0044
2024-06-29:18,9,,0.0270,0.0079,0.15,0.0046
2024-06-29:17,12,6,0.0358,0.0080,0.20,0.0046
2024-06-29:16,12,11,0.0440,0.0090,0.20,0.0045
2024-06-29:15,20,10,0.0502,0.0100,0.23,0.0045
2024-06-29:14,23,11,0.0599,0.0075,0.24,0.0045
2024-06-29:13,27,7,0.0645,0.0073,0.23,0.0045
2024-06-29:12,20,12,0.0631,0.0068,0.21,0.0045
2024-06-29:11,22,11,0.0575,0.0072,0.19,0.0045
2024-06-29:10,23,18,0.0500,0.0080,0.14,0.0045
2024-06-29:09,23,13,0.0381,0.0096,0.14,0.0046
2024-06-29:08,30,9,0.0209,0.0122,0.15,0.0046
2024-06-29:07,16,9,0.0166,0.0108,0.12,0.0045
2024-06-29:06,19,13,0.0178,0.0104,0.14,0.0043
2024-06-29:05,16,4,0.0225,0.0090,0.10,0.0044
2024-06-29:04,17,5,0.0275,0.0086,0.09,0.0044
2024-06-29:03,16,8,0.0275,0.0100,0.09,0.0045
2024-06-29:02,21,6,0.0292,0.0106,0.10,0.0044
2024-06-29:01,11,8,0.0328,0.0113,0.09,0.0046
2024-06-28:24,15,5,0.0346,0.0125,0.10,0.0045
2024-06-28:23,15,6,0.0415,0.0111,0.10,0.0046
2024-06-28:22,13,8,0.0444,0.0117,0.10,0.0046
2024-06-28:21,16,6,0.0500,0.0116,0.10,0.0046
