tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,17,4,0.0510,0.0030,0.38,0.0011
2024-04-30:23,10,6,0.0500,0.0033,0.39,0.0013
2024-04-30:22,19,4,0.0465,0.0052,0.43,0.0013
2024-04-30:21,32,21,0.0499,0.0065,0.45,0.0012
2024-04-30:20,36,31,0.0540,0.0075,0.45,0.0013
2024-04-30:19,47,28,0.0509,0.0150,0.49,0.0015
2024-04-30:18,41,26,0.0503,0.0104,0.45,0.0013
2024-04-30:17,24,9,0.0478,0.0043,0.41,0.0012
2024-04-30:16,17,9,0.0503,0.0030,0.40,0.0013
2024-04-30:15,22,8,0.0490,0.0032,0.41,0.0012
2024-04-30:14,27,12,0.0487,0.0038,0.42,0.0012
2024-04-30:13,,,,,,
2024-04-30:12,,,,,,
2024-04-30:11,26,16,0.0456,0.0033,0.46,0.0013
2024-04-30:10,22,19,0.0399,0.0032,0.46,0.0012
2024-04-30:09,22,,0.0336,0.0040,0.48,0.0012
2024-04-30:08,36,33,0.0301,0.0047,0.49,0.0013
2024-04-30:07,32,27,0.0236,0.0057,0.50,0.0012
2024-04-30:06,32,30,0.0260,0.0056,0.50,0.0012
2024-04-30:05,26,,0.0296,0.0046,0.49,0.0013
2024-04-30:04,30,25,0.0322,0.0044,0.48,0.0012
2024-04-30:03,24,21,0.0350,0.0043,0.47,0.0012
2024-04-30:02,25,22,0.0349,0.0043,0.47,0.0012
2024-04-30:01,26,12,0.0428,0.0031,0.44,0.0012
2024-04-29:24,17,15,0.0497,0.0025,0.44,0.0012
2024-04-29:23,14,,0.0478,0.0028,0.44,0.0012
2024-04-29:22,20,17,0.0475,0.0029,0.45,0.0012
2024-04-29:21,26,20,0.0441,0.0034,0.47,0.0012
2024-04-29:20,26,14,0.0457,0.0039,0.49,0.0012
2024-04-29:19,19,,0.0463,0.0044,0.52,0.0013
2024-04-29:18,20,11,0.0489,0.0048,0.54,0.0012
2024-04-29:17,17,,0.0486,0.0047,0.56,0.0012
2024-04-29:16,17,12,0.0476,0.0050,0.55,0.0013
2024-04-29:15,16,,0.0474,0.0050,0.54,0.0013
2024-04-29:14,18,18,0.0465,0.0047,0.52,0.0013
2024-04-29:13,16,,0.0447,0.0046,0.50,0.0013
2024-04-29:12,19,19,0.0435,0.0043,0.49,0.0013
2024-04-29:11,27,26,0.0424,0.0045,0.49,0.0013
2024-04-29:10,34,27,0.0421,0.0045,0.51,0.0014
2024-04-29:09,43,31,0.0429,0.0046,0.54,0.0014
2024-04-29:08,46,40,0.0447,0.0046,0.57,0.0014
2024-04-29:07,43,32,0.0434,0.0048,0.57,0.0015
2024-04-29:06,53,34,0.0438,0.0041,0.58,0.0015
2024-04-29:05,53,36,0.0438,0.0049,0.58,0.0017
2024-04-29:04,52,33,0.0414,0.0052,0.54,0.0018
2024-04-29:03,52,37,0.0501,0.0050,0.54,0.0018
2024-04-29:02,57,35,0.0480,0.0060,0.50,0.0017
2024-04-29:01,58,35,0.0455,0.0069,0.53,0.0026
2024-04-28:24,55,37,0.0437,0.0087,0.55,0.0020
