tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,8,8,0.0206,0.0056,0.19,0.0023
2024-06-30:23,7,,0.0204,0.0071,0.20,0.0019
2024-06-30:22,8,,0.0219,0.0067,0.21,0.0019
2024-06-30:21,8,6,0.0225,0.0070,0.19,0.0018
2024-06-30:20,9,,0.0245,0.0068,0.17,0.0019
2024-06-30:19,9,,0.0266,0.0066,0.19,0.0020
2024-06-30:18,10,,0.0280,0.0076,0.20,0.0023
2024-06-30:17,14,7,0.0296,0.0069,0.21,0.0025
2024-06-30:16,18,10,0.0295,0.0061,0.19,0.0025
2024-06-30:15,13,10,0.0283,0.0058,0.20,0.0022
2024-06-30:14,12,8,0.0322,0.0059,0.21,0.0027
2024-06-30:13,11,7,0.0331,0.0059,0.20,0.0033
2024-06-30:12,8,8,0.0260,0.0061,0.27,0.0030
2024-06-30:11,5,,0.0202,0.0061,0.16,0.0020
2024-06-30:10,7,5,0.0200,0.0050,0.12,0.0018
2024-06-30:09,5,5,0.0228,0.0034,0.10,0.0016
2024-06-30:08,5,4,0.0237,0.0030,0.10,0.0017
2024-06-30:07,6,5,0.0233,0.0029,0.10,0.0017
2024-06-30:06,7,,0.0257,0.0020,0.10,0.0017
2024-06-30:05,8,6,0.0267,0.0016,0.10,0.0016
2024-06-30:04,11,6,0.0249,0.0019,0.10,0.0017
2024-06-30:03,10,6,0.0244,0.0017,0.10,0.0017
2024-06-30:02,11,11,0.0233,0.0020,0.10,0.0017
2024-06-30:01,14,10,0.0227,0.0021,0.10,0.0017
2024-06-29:24,12,,0.0238,0.0022,0.10,0.0017
2024-06-29:23,8,,0.0250,0.0027,0.10,0.0017
2024-06-29:22,3,,0.0213,0.0046,0.11,0.0017
2024-06-29:21,3,,0.0113,0.0111,0.16,0.0018
2024-06-29:20,2,,0.0135,0.0103,0.14,0.0019
2024-06-29:19,3,,0.0144,0.0112,0.13,0.0019
2024-06-29:18,5,,0.0177,0.0100,0.16,0.0019
2024-06-29:17,3,,0.0238,0.0127,0.22,0.0022
2024-06-29:16,5,,0.0323,0.0121,0.23,0.0020
2024-06-29:15,9,9,0.0334,0.0139,0.23,0.0022
2024-06-29:14,18,7,0.0351,0.0140,0.24,0.0019
2024-06-29:13,23,17,0.0405,0.0129,0.20,0.0021
2024-06-29:12,25,22,0.0461,0.0104,0.29,0.0021
2024-06-29:11,23,20,0.0454,0.0116,0.31,0.0026
2024-06-29:10,20,17,0.0416,0.0114,0.30,0.0035
2024-06-29:09,22,19,0.0361,0.0125,0.29,0.0043
2024-06-29:08,25,23,0.0273,0.0143,0.30,0.0037
2024-06-29:07,25,,0.0242,0.0139,0.49,0.0052
2024-06-29:06,20,,0.0300,0.0098,0.46,0.0053
2024-06-29:05,17,,0.0357,0.0080,0.36,0.0044
2024-06-29:04,16,10,0.0379,0.0053,0.20,0.0027
2024-06-29:03,8,,0.0370,0.0060,0.19,0.0031
2024-06-29:02,5,,0.0467,0.0043,0.18,0.0023
2024-06-29:01,3,,0.0498,0.0048,0.18,0.0025
2024-06-28:24,4,,0.0547,0.0043,0.18,0.0022
2024-06-28:23,2,,0.0513,0.0078,0.24,0.0040
2024-06-28:22,2,,0.0529,0.0081,0.23,0.0033
2024-06-28:21,2,,0.0542,0.0075,0.20,0.0023
2024-06-28:20,10,6,0.0564,0.0084,0.22,0.0027
2024-06-28:19,17,7,0.0565,0.0111,0.20,0.0023
2024-06-28:18,18,10,0.0618,0.0095,0.19,0.0024
2024-06-28:17,15,12,0.0687,0.0106,0.26,0.0034
2024-06-28:16,15,9,0.0716,0.0095,0.28,0.0032
2024-06-28:15,16,6,0.0748,0.0110,0.35,0.0043
2024-06-28:14,14,6,0.0726,0.0099,0.39,0.0044
2024-06-28:13,11,,0.0707,0.0098,0.43,0.0055
2024-06-28:12,16,7,0.0584,0.0071,0.17,0.0023
2024-06-28:11,17,12,0.0439,0.0128,0.21,0.0028
2024-06-28:10,20,8,0.0441,0.0106,0.21,0.0024
2024-06-28:09,21,13,0.0335,0.0147,0.26,0.0022
2024-06-28:08,22,10,0.0236,0.0113,0.23,0.0020
2024-06-28:07,20,14,0.0193,0.0079,0.22,0.0020
2024-06-28:06,19,12,0.0176,0.0070,0.20,0.0021
2024-06-28:05,17,12,0.0183,0.0061,0.21,0.0020
2024-06-28:04,16,14,0.0194,0.0053,0.22,0.0020
2024-06-28:03,16,10,0.0275,0.0037,0.21,0.0020
2024-06-28:02,18,14,0.0273,0.0037,0.22,0.0019
2024-06-28:01,17,15,0.0321,0.0044,0.22,0.0020
2024-06-27:24,16,11,0.0410,0.0037,0.19,0.0020
2024-06-27:23,18,14,0.0421,0.0040,0.21,0.0021
2024-06-27:22,19,16,0.0416,0.0057,0.24,0.0020
2024-06-27:21,22,18,0.0462,0.0065,0.26,0.0021
2024-06-27:20,24,18,0.0501,0.0077,0.28,0.0022
2024-06-27:19,23,19,0.0562,0.0074,0.27,0.0024
2024-06-27:18,27,21,0.0509,0.0130,0.29,0.0034
2024-06-27:17,34,21,0.0500,0.0190,0.36,0.0039
2024-06-27:16,37,26,0.0495,0.0260,0.49,0.0053
2024-06-27:15,34,23,0.0505,0.0226,0.40,0.0054
2024-06-27:14,29,24,0.0521,0.0183,0.36,0.0060
2024-06-27:13,27,22,0.0478,0.0117,0.25,0.0043
2024-06-27:12,26,20,0.0413,0.0121,0.29,0.0035
2024-06-27:11,25,18,0.0406,0.0114,0.30,0.0033
2024-06-27:10,23,12,0.0354,0.0116,0.27,0.0028
2024-06-27:09,24,14,0.0333,0.0089,0.27,0.0027
2024-06-27:08,24,13,0.0206,0.0149,0.27,0.0024
2024-06-27:07,22,15,0.0166,0.0168,0.27,0.0023
2024-06-27:06,22,16,0.0234,0.0100,0.25,0.0025
2024-06-27:05,25,15,0.0264,0.0081,0.22,0.0024
2024-06-27:04,25,19,0.0269,0.0088,0.23,0.0024
2024-06-27:03,25,16,0.0334,0.0071,0.21,0.0023
2024-06-27:02,21,17,0.0355,0.0075,0.24,0.0024
2024-06-27:01,20,,0.0413,0.0085,0.26,0.0034
2024-06-26:24,20,13,0.0489,0.0117,0.41,0.0051
2024-06-26:23,20,11,0.0598,0.0110,0.40,0.0032
2024-06-26:22,18,13,0.0618,0.0092,0.26,0.0028
2024-06-26:21,18,15,0.0597,0.0110,0.18,0.0033
2024-06-26:20,20,8,0.0574,0.0126,0.23,0.0049
2024-06-26:19,21,15,0.0585,0.0145,0.25,0.0047
2024-06-26:18,20,14,0.0663,0.0118,0.18,0.0032
2024-06-26:17,16,11,0.0655,0.0113,0.15,0.0023
2024-06-26:16,14,5,0.0629,0.0123,0.13,0.0022
2024-06-26:15,10,6,0.0624,0.0074,0.12,0.0019
2024-06-26:14,11,5,0.0601,0.0052,0.11,0.0019
2024-06-26:13,15,5,0.0548,0.0051,0.11,0.0019
2024-06-26:12,,,0.0535,0.0038,0.11,0.0019
2024-06-26:11,,,,,,
2024-06-26:10,19,18,0.0382,0.0146,0.20,0.0021
2024-06-26:09,20,18,0.0316,0.0161,0.20,0.0020
2024-06-26:08,20,10,0.0231,0.0168,0.19,0.0021
2024-06-26:07,19,14,0.0185,0.0167,0.22,0.0019
2024-06-26:06,20,15,0.0235,0.0098,0.17,0.0019
2024-06-26:05,22,9,0.0273,0.0069,0.17,0.0019
2024-06-26:04,24,15,0.0260,0.0067,0.21,0.0020
2024-06-26:03,26,19,0.0254,0.0078,0.23,0.0020
2024-06-26:02,27,16,0.0271,0.0079,0.25,0.0020
2024-06-26:01,24,12,0.0284,0.0117,0.27,0.0023
2024-06-25:24,22,11,0.0375,0.0115,0.25,0.0025
2024-06-25:23,21,13,0.0394,0.0120,0.24,0.0024
2024-06-25:22,23,13,0.0409,0.0143,0.23,0.0025
2024-06-25:21,29,16,0.0492,0.0131,0.23,0.0025
2024-06-25:20,35,21,0.0663,0.0136,0.28,0.0030
2024-06-25:19,35,18,0.0737,0.0180,0.42,0.0048
2024-06-25:18,27,14,0.0581,0.0142,0.40,0.0053
2024-06-25:17,14,5,0.0511,0.0108,0.16,0.0023
2024-06-25:16,10,4,0.0450,0.0120,0.11,0.0019
2024-06-25:15,11,6,0.0511,0.0058,0.10,0.0019
2024-06-25:14,12,8,0.0492,0.0067,0.11,0.0019
2024-06-25:13,10,9,0.0486,0.0060,0.11,0.0018
2024-06-25:12,13,5,0.0489,0.0051,0.11,0.0018
2024-06-25:11,18,7,0.0488,0.0043,0.12,0.0019
2024-06-25:10,30,6,0.0497,0.0048,0.13,0.0018
2024-06-25:09,46,16,0.0462,0.0054,0.15,0.0018
2024-06-25:08,72,21,0.0426,0.0056,0.15,0.0018
2024-06-25:07,97,35,0.0404,0.0063,0.17,0.0018
2024-06-25:06,114,33,0.0384,0.0056,0.17,0.0017
2024-06-25:05,121,44,0.0460,0.0039,0.17,0.0018
2024-06-25:04,107,41,0.0466,0.0038,0.16,0.0017
2024-06-25:03,77,33,0.0465,0.0037,0.18,0.0018
2024-06-25:02,53,29,0.0442,0.0033,0.24,0.0019
2024-06-25:01,43,23,0.0446,0.0044,0.29,0.0022
2024-06-24:24,42,34,0.0459,0.0064,0.33,0.0025
2024-06-24:23,36,32,0.0511,0.0082,0.37,0.0030
2024-06-24:22,32,21,0.0511,0.0089,0.35,0.0031
2024-06-24:21,32,19,0.0523,0.0093,0.33,0.0029
2024-06-24:20,32,25,0.0568,0.0085,0.32,0.0029
2024-06-24:19,31,26,0.0571,0.0102,0.31,0.0027
2024-06-24:18,30,22,0.0610,0.0090,0.32,0.0025
2024-06-24:17,30,21,0.0620,0.0090,0.32,0.0025
2024-06-24:16,32,26,0.0624,0.0071,0.28,0.0019
2024-06-24:15,34,26,0.0678,0.0083,0.36,0.0027
2024-06-24:14,32,32,0.0727,0.0093,0.43,0.0035
2024-06-24:13,32,30,0.0746,0.0105,0.45,0.0049
2024-06-24:12,28,18,0.0593,0.0126,0.51,0.0046
2024-06-24:11,23,15,0.0519,0.0108,0.47,0.0040
2024-06-24:10,19,,0.0478,0.0113,0.41,0.0038
2024-06-24:09,15,,0.0382,0.0121,0.35,0.0037
2024-06-24:08,12,,0.0336,0.0112,0.35,0.0044
2024-06-24:07,17,,0.0300,0.0109,0.30,0.0038
2024-06-24:06,21,14,0.0302,0.0093,0.34,0.0044
2024-06-24:05,22,20,0.0290,0.0098,0.38,0.0049
2024-06-24:04,23,23,0.0299,0.0110,0.42,0.0054
2024-06-24:03,19,13,0.0382,0.0083,0.41,0.0045
2024-06-24:02,13,7,0.0332,0.0060,0.29,0.0027
2024-06-24:01,10,,0.0244,0.0061,0.26,0.0018
2024-06-23:24,12,,0.0297,0.0056,0.23,0.0018
2024-06-23:23,11,,0.0336,0.0083,0.26,0.0018
2024-06-23:22,10,7,0.0337,0.0093,0.27,0.0018
2024-06-23:21,9,6,0.0360,0.0084,0.28,0.0018
2024-06-23:20,8,,0.0359,0.0106,0.34,0.0023
2024-06-23:19,9,,0.0411,0.0104,0.37,0.0026
2024-06-23:18,10,1,0.0475,0.0094,0.34,0.0025
2024-06-23:17,9,4,0.0452,0.0081,0.31,0.0021
2024-06-23:16,10,6,0.0434,0.0066,0.28,0.0017
2024-06-23:15,12,6,0.0413,0.0065,0.30,0.0018
2024-06-23:14,14,4,0.0392,0.0078,0.31,0.0020
2024-06-23:13,13,7,0.0380,0.0070,0.26,0.0021
2024-06-23:12,16,11,0.0362,0.0068,0.33,0.0021
2024-06-23:11,15,12,0.0335,0.0087,0.40,0.0027
2024-06-23:10,20,13,0.0322,0.0093,0.42,0.0029
2024-06-23:09,21,11,0.0339,0.0094,0.46,0.0027
2024-06-23:08,19,10,0.0343,0.0104,0.46,0.0028
2024-06-23:07,19,,0.0384,0.0088,0.48,0.0033
2024-06-23:06,21,17,0.0410,0.0069,0.47,0.0033
2024-06-23:05,23,18,0.0440,0.0059,0.48,0.0036
2024-06-23:04,25,14,0.0454,0.0053,0.45,0.0033
2024-06-23:03,28,12,0.0428,0.0048,0.41,0.0026
2024-06-23:02,26,17,0.0406,0.0042,0.33,0.0023
2024-06-23:01,25,19,0.0348,0.0052,0.33,0.0023
2024-06-22:24,24,16,0.0324,0.0059,0.35,0.0026
2024-06-22:23,21,20,0.0319,0.0068,0.38,0.0025
2024-06-22:22,17,11,0.0330,0.0066,0.34,0.0024
2024-06-22:21,10,5,0.0309,0.0088,0.37,0.0025
2024-06-22:20,7,,0.0318,0.0074,0.28,0.0022
2024-06-22:19,7,3,0.0305,0.0063,0.22,0.0019
2024-06-22:18,7,6,0.0246,0.0075,0.21,0.0018
2024-06-22:17,7,,0.0197,0.0090,0.21,0.0018
2024-06-22:16,6,5,0.0174,0.0143,0.27,0.0019
2024-06-22:15,6,4,0.0160,0.0179,0.28,0.0019
2024-06-22:14,6,6,0.0218,0.0137,0.24,0.0019
2024-06-22:13,5,,0.0219,0.0166,0.25,0.0019
2024-06-22:12,5,,0.0251,0.0121,0.22,0.0019
2024-06-22:11,8,7,0.0317,0.0051,0.19,0.0020
2024-06-22:10,10,,0.0301,0.0076,0.20,0.0019
2024-06-22:09,12,12,0.0294,0.0109,0.19,0.0022
2024-06-22:08,12,12,0.0298,0.0087,0.20,0.0019
2024-06-22:07,12,8,0.0315,0.0112,0.18,0.0022
