tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,7,3,0.0156,0.0120,0.14,0.0023
2024-06-30:23,5,5,0.0166,0.0143,0.16,0.0023
2024-06-30:22,7,7,0.0176,0.0156,0.16,0.0023
2024-06-30:21,8,6,0.0188,0.0159,0.13,0.0024
2024-06-30:20,10,5,0.0251,0.0110,0.14,0.0023
2024-06-30:19,13,7,0.0286,0.0099,0.16,0.0023
2024-06-30:18,9,7,0.0311,0.0084,0.15,0.0022
2024-06-30:17,5,,0.0316,0.0072,0.15,0.0023
2024-06-30:16,5,5,0.0259,0.0076,0.12,0.0022
2024-06-30:15,3,,0.0205,0.0084,0.14,0.0022
2024-06-30:14,3,0,0.0192,0.0075,0.11,0.0023
2024-06-30:13,2,,0.0201,0.0080,0.13,0.0024
2024-06-30:12,6,2,0.0180,0.0086,0.12,0.0023
2024-06-30:11,15,0,0.0148,0.0082,0.11,0.0022
2024-06-30:10,4,,0.0163,0.0072,0.10,0.0023
2024-06-30:09,4,0,0.0172,0.0070,0.10,0.0024
2024-06-30:08,8,2,0.0193,0.0057,0.09,0.0023
2024-06-30:07,8,5,0.0207,0.0056,0.09,0.0023
2024-06-30:06,13,6,0.0231,0.0049,0.09,0.0023
2024-06-30:05,15,7,0.0250,0.0047,0.09,0.0022
2024-06-30:04,19,8,0.0247,0.0048,0.09,0.0022
2024-06-30:03,16,8,0.0230,0.0049,0.09,0.0024
2024-06-30:02,14,9,0.0217,0.0054,0.10,0.0023
2024-06-30:01,8,5,0.0224,0.0052,0.08,0.0024
2024-06-29:24,11,5,0.0229,0.0052,0.12,0.0024
2024-06-29:23,10,6,0.0246,0.0054,0.13,0.0024
2024-06-29:22,5,,0.0181,0.0087,0.16,0.0024
2024-06-29:21,0,,0.0169,0.0088,0.15,0.0024
2024-06-29:20,3,,0.0171,0.0099,0.18,0.0025
2024-06-29:19,3,,0.0175,0.0098,0.17,0.0025
2024-06-29:18,6,,0.0220,0.0115,0.17,0.0025
2024-06-29:17,,5,0.0270,0.0115,0.20,0.0026
2024-06-29:16,10,6,0.0149,0.0107,0.24,0.0024
2024-06-29:15,14,,0.0163,0.0105,0.20,0.0028
2024-06-29:14,15,8,0.0181,0.0104,0.19,0.0026
2024-06-29:13,18,11,0.0179,0.0116,0.19,0.0027
2024-06-29:12,14,10,0.0164,0.0116,0.18,0.0027
2024-06-29:11,12,7,0.0130,0.0123,0.18,0.0026
2024-06-29:10,11,6,0.0111,0.0128,0.18,0.0027
2024-06-29:09,8,6,0.0126,0.0099,0.17,0.0027
2024-06-29:08,8,7,0.0116,0.0105,0.20,0.0028
2024-06-29:07,13,,0.0096,0.0105,0.21,0.0028
2024-06-29:06,11,,0.0085,0.0097,0.20,0.0029
2024-06-29:05,16,16,0.0087,0.0095,0.20,0.0028
