tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,17,15,0.0313,0.0080,0.27,0.0020
2024-02-29:23,13,13,0.0286,0.0145,0.25,0.0022
2024-02-29:22,11,,0.0287,0.0135,0.27,0.0021
2024-02-29:21,13,13,0.0301,0.0118,0.26,0.0020
2024-02-29:20,14,,0.0275,0.0135,0.28,0.0019
2024-02-29:19,18,15,0.0242,0.0165,0.30,0.0020
2024-02-29:18,11,,0.0243,0.0186,0.33,0.0021
2024-02-29:17,8,,0.0255,0.0173,0.30,0.0021
2024-02-29:16,13,11,0.0232,0.0189,0.31,0.0020
2024-02-29:15,,,,,,
2024-02-29:14,,,,,,
2024-02-29:13,,,,,,
2024-02-29:12,,,,,,
2024-02-29:11,,,,,,
2024-02-29:10,,,,,,
2024-02-29:09,54,24,0.0060,0.0357,0.39,0.0042
2024-02-29:08,61,28,0.0072,0.0330,0.38,0.0038
2024-02-29:07,46,21,0.0161,0.0217,0.36,0.0028
2024-02-29:06,48,22,0.0196,0.0193,0.31,0.0026
2024-02-29:05,49,20,0.0212,0.0211,0.29,0.0028
2024-02-29:04,27,17,0.0231,0.0200,0.30,0.0031
2024-02-29:03,28,18,0.0258,0.0156,0.33,0.0026
2024-02-29:02,27,16,0.0254,0.0166,0.31,0.0026
2024-02-29:01,32,20,0.0231,0.0169,0.32,0.0024
2024-02-28:24,55,14,0.0300,0.0145,0.31,0.0024
2024-02-28:23,29,13,0.0236,0.0214,0.32,0.0022
2024-02-28:22,32,16,0.0166,0.0341,0.30,0.0025
2024-02-28:21,31,17,0.0124,0.0332,0.29,0.0023
2024-02-28:20,26,14,0.0215,0.0267,0.28,0.0023
2024-02-28:19,26,9,0.0301,0.0236,0.26,0.0026
2024-02-28:18,31,11,0.0312,0.0267,0.24,0.0037
2024-02-28:17,41,14,0.0320,0.0251,0.25,0.0038
2024-02-28:16,37,16,0.0371,0.0193,0.23,0.0029
2024-02-28:15,54,9,0.0402,0.0148,0.23,0.0026
2024-02-28:14,42,10,0.0368,0.0175,0.23,0.0030
2024-02-28:13,45,14,0.0327,0.0187,0.26,0.0031
2024-02-28:12,42,20,0.0274,0.0233,0.28,0.0032
2024-02-28:11,57,21,0.0241,0.0233,0.31,0.0035
2024-02-28:10,67,24,0.0221,0.0222,0.35,0.0030
2024-02-28:09,62,23,0.0216,0.0210,0.34,0.0029
2024-02-28:08,45,20,0.0184,0.0225,0.31,0.0023
2024-02-28:07,60,17,0.0197,0.0200,0.32,0.0023
2024-02-28:06,45,20,0.0256,0.0146,0.32,0.0022
2024-02-28:05,40,15,0.0255,0.0144,0.31,0.0021
2024-02-28:04,30,17,0.0189,0.0214,0.32,0.0025
2024-02-28:03,33,16,0.0269,0.0134,0.32,0.0022
2024-02-28:02,28,18,0.0240,0.0192,0.30,0.0029
2024-02-28:01,36,13,0.0268,0.0185,0.30,0.0024
2024-02-27:24,35,13,0.0250,0.0198,0.30,0.0025
2024-02-27:23,31,13,0.0337,0.0121,0.26,0.0020
2024-02-27:22,31,14,0.0227,0.0219,0.27,0.0021
2024-02-27:21,34,18,0.0294,0.0165,0.28,0.0019
2024-02-27:20,32,15,0.0368,0.0107,0.27,0.0019
2024-02-27:19,37,19,0.0336,0.0139,0.27,0.0019
2024-02-27:18,36,19,0.0361,0.0118,0.26,0.0023
2024-02-27:17,40,13,0.0394,0.0099,0.26,0.0022
2024-02-27:16,36,17,0.0404,0.0092,0.27,0.0029
2024-02-27:15,41,15,0.0399,0.0095,0.26,0.0025
2024-02-27:14,54,15,0.0367,0.0139,0.25,0.0029
