마산항 ( 경상남도 창원시 성산구 적현로 424 (귀곡동) ),,,,,,,,,,,,
,,,,,,,,,,,,
날짜,PM10,,PM2.5,,오존,,이산화질소,,일산화탄소,,아황산가스,
(년-월-일:시),(㎍/㎥),,(㎍/㎥),,(ppm),,(ppm),,(ppm),,(ppm),
,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간
2024-04-30:24,좋음,14,좋음,11,보통,0.0365,좋음,0.0127,좋음,0.27,좋음,0.0022
2024-04-30:23,좋음,7,,,보통,0.0316,좋음,0.0153,좋음,0.26,좋음,0.0020
2024-04-30:22,좋음,24,보통,20,좋음,0.0285,좋음,0.0258,좋음,0.30,좋음,0.0020
2024-04-30:21,보통,42,보통,30,보통,0.0455,좋음,0.0119,좋음,0.29,좋음,0.0018
2024-04-30:20,보통,31,보통,28,보통,0.0443,좋음,0.0131,좋음,0.30,좋음,0.0018
2024-04-30:19,보통,32,보통,22,좋음,0.0273,보통,0.0363,좋음,0.30,좋음,0.0022
2024-04-30:18,보통,39,보통,20,보통,0.0347,좋음,0.0238,좋음,0.27,좋음,0.0020
2024-04-30:17,나쁨,84,보통,20,좋음,0.0299,보통,0.0326,좋음,0.27,좋음,0.0024
2024-04-30:16,보통,57,보통,26,좋음,0.0180,보통,0.0428,좋음,0.33,좋음,0.0029
2024-04-30:15,좋음,29,보통,26,좋음,0.0298,좋음,0.0204,좋음,0.26,좋음,0.0020
2024-04-30:14,보통,33,보통,20,보통,0.0328,좋음,0.0188,좋음,0.28,좋음,0.0020
2024-04-30:13,보통,32,보통,16,좋음,0.0297,좋음,0.0204,좋음,0.29,좋음,0.0020
2024-04-30:12,보통,33,보통,20,좋음,0.0225,좋음,0.0297,좋음,0.31,좋음,0.0021
2024-04-30:11,좋음,24,좋음,15,좋음,0.0276,좋음,0.0202,좋음,0.31,좋음,0.0021
2024-04-30:10,보통,34,보통,21,좋음,0.0291,좋음,0.0141,좋음,0.29,좋음,0.0018
2024-04-30:09,보통,47,보통,24,좋음,0.0219,좋음,0.0194,좋음,0.31,좋음,0.0019
2024-04-30:08,보통,33,좋음,14,좋음,0.0244,좋음,0.0159,좋음,0.28,좋음,0.0018
2024-04-30:07,보통,45,보통,27,좋음,0.0209,좋음,0.0175,좋음,0.27,좋음,0.0018
2024-04-30:06,보통,39,보통,29,좋음,0.0207,좋음,0.0153,좋음,0.30,좋음,0.0017
2024-04-30:05,보통,36,보통,25,좋음,0.0230,좋음,0.0129,좋음,0.28,좋음,0.0017
2024-04-30:04,좋음,15,,,보통,0.0323,좋음,0.0070,좋음,0.26,좋음,0.0016
2024-04-30:03,좋음,22,보통,17,보통,0.0307,좋음,0.0100,좋음,0.27,좋음,0.0017
2024-04-30:02,좋음,22,보통,22,보통,0.0338,좋음,0.0079,좋음,0.28,좋음,0.0017
2024-04-30:01,좋음,24,보통,23,보통,0.0326,좋음,0.0095,좋음,0.26,좋음,0.0017
2024-04-29:24,좋음,18,보통,18,보통,0.0335,좋음,0.0085,좋음,0.27,좋음,0.0017
2024-04-29:23,좋음,20,좋음,13,좋음,0.0303,좋음,0.0124,좋음,0.27,좋음,0.0017
2024-04-29:22,좋음,27,보통,18,보통,0.0313,좋음,0.0123,좋음,0.27,좋음,0.0017
2024-04-29:21,좋음,20,좋음,13,보통,0.0316,좋음,0.0131,좋음,0.32,좋음,0.0018
2024-04-29:20,좋음,13,,,보통,0.0333,좋음,0.0130,좋음,0.33,좋음,0.0017
2024-04-29:19,좋음,13,좋음,10,보통,0.0386,좋음,0.0123,좋음,0.33,좋음,0.0018
2024-04-29:18,좋음,8,,,보통,0.0372,좋음,0.0139,좋음,0.34,좋음,0.0019
2024-04-29:17,좋음,13,좋음,12,보통,0.0374,좋음,0.0158,좋음,0.29,좋음,0.0019
2024-04-29:16,좋음,10,,,보통,0.0310,좋음,0.0186,좋음,0.30,좋음,0.0019
2024-04-29:15,좋음,8,,,좋음,0.0230,좋음,0.0267,좋음,0.31,좋음,0.0017
2024-04-29:14,좋음,7,,,좋음,0.0198,좋음,0.0294,좋음,0.33,좋음,0.0018
2024-04-29:13,좋음,15,좋음,13,좋음,0.0251,좋음,0.0242,좋음,0.31,좋음,0.0018
2024-04-29:12,좋음,15,좋음,14,좋음,0.0195,좋음,0.0279,좋음,0.33,좋음,0.0018
2024-04-29:11,좋음,19,좋음,13,좋음,0.0163,좋음,0.0299,좋음,0.39,좋음,0.0017
2024-04-29:10,좋음,28,보통,23,좋음,0.0221,좋음,0.0253,좋음,0.39,좋음,0.0017
2024-04-29:09,좋음,30,,,좋음,0.0226,좋음,0.0252,좋음,0.40,좋음,0.0017
2024-04-29:08,보통,39,보통,26,좋음,0.0252,좋음,0.0208,좋음,0.38,좋음,0.0017
2024-04-29:07,보통,42,보통,31,보통,0.0359,좋음,0.0127,좋음,0.38,좋음,0.0018
2024-04-29:06,보통,53,보통,32,보통,0.0354,좋음,0.0158,좋음,0.38,좋음,0.0019
