tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,12,7,0.0540,0.0095,0.31,0.0026
2024-04-30:23,19,7,0.0507,0.0112,0.33,0.0030
2024-04-30:22,21,8,0.0483,0.0128,0.33,0.0028
2024-04-30:21,32,21,0.0530,0.0151,0.36,0.0027
2024-04-30:20,33,18,0.0502,0.0207,0.37,0.0030
2024-04-30:19,31,15,0.0428,0.0246,0.36,0.0029
2024-04-30:18,30,16,0.0406,0.0240,0.33,0.0029
2024-04-30:17,20,8,0.0483,0.0159,0.31,0.0029
2024-04-30:16,17,6,0.0527,0.0108,0.30,0.0030
2024-04-30:15,22,9,0.0486,0.0100,0.30,0.0027
2024-04-30:14,24,14,0.0452,0.0120,0.32,0.0025
2024-04-30:13,22,11,0.0431,0.0143,0.34,0.0025
2024-04-30:12,24,12,0.0404,0.0164,0.36,0.0029
2024-04-30:11,25,9,0.0345,0.0181,0.36,0.0026
2024-04-30:10,24,11,0.0324,0.0188,0.33,0.0029
2024-04-30:09,23,10,0.0294,0.0190,0.35,0.0028
2024-04-30:08,28,12,0.0260,0.0182,0.37,0.0028
2024-04-30:07,28,12,0.0234,0.0161,0.42,0.0028
2024-04-30:06,24,10,0.0284,0.0123,0.32,0.0026
2024-04-30:05,22,7,0.0311,0.0110,0.31,0.0023
2024-04-30:04,20,9,0.0351,0.0104,0.32,0.0025
2024-04-30:03,19,8,0.0339,0.0098,0.30,0.0021
2024-04-30:02,21,8,0.0414,0.0098,0.31,0.0028
2024-04-30:01,21,8,0.0407,0.0110,0.31,0.0026
2024-04-29:24,19,7,0.0423,0.0122,0.31,0.0026
2024-04-29:23,21,12,0.0389,0.0135,0.33,0.0025
2024-04-29:22,17,8,0.0433,0.0136,0.34,0.0027
2024-04-29:21,21,10,0.0392,0.0182,0.37,0.0026
2024-04-29:20,18,8,0.0418,0.0170,0.40,0.0026
2024-04-29:19,16,7,0.0403,0.0182,0.40,0.0025
2024-04-29:18,16,7,0.0464,0.0149,0.37,0.0030
2024-04-29:17,15,9,0.0488,0.0138,0.36,0.0023
2024-04-29:16,15,8,0.0443,0.0158,0.37,0.0021
2024-04-29:15,18,11,0.0394,0.0204,0.37,0.0029
2024-04-29:14,17,8,0.0389,0.0205,0.36,0.0026
2024-04-29:13,23,14,0.0415,0.0177,0.36,0.0023
2024-04-29:12,23,15,0.0385,0.0195,0.38,0.0025
2024-04-29:11,27,17,0.0386,0.0170,0.40,0.0029
2024-04-29:10,32,21,0.0387,0.0164,0.41,0.0025
2024-04-29:09,39,25,0.0372,0.0169,0.45,0.0025
2024-04-29:08,44,25,0.0390,0.0179,0.44,0.0027
2024-04-29:07,46,25,0.0414,0.0153,0.44,0.0025
2024-04-29:06,46,25,0.0460,0.0141,0.39,0.0029
2024-04-29:05,43,21,0.0520,0.0119,0.37,0.0033
2024-04-29:04,43,22,0.0565,0.0102,0.35,0.0030
2024-04-29:03,45,22,0.0550,0.0109,0.37,0.0034
2024-04-29:02,47,25,0.0474,0.0153,0.39,0.0035
2024-04-29:01,46,23,0.0423,0.0228,0.40,0.0038
2024-04-28:24,42,25,0.0323,0.0317,0.49,0.0037
2024-04-28:23,37,23,0.0419,0.0241,0.54,0.0038
2024-04-28:22,31,21,0.0500,0.0194,0.41,0.0035
2024-04-28:21,28,17,0.0527,0.0207,0.37,0.0039
2024-04-28:20,25,15,0.0516,0.0262,0.37,0.0039
2024-04-28:19,27,14,0.0623,0.0224,0.34,0.0039
2024-04-28:18,31,18,0.0808,0.0127,0.34,0.0033
2024-04-28:17,34,19,0.0944,0.0125,0.39,0.0039
2024-04-28:16,51,30,0.0950,0.0163,0.43,0.0044
2024-04-28:15,52,29,0.0986,0.0198,0.56,0.0055
2024-04-28:14,54,33,0.0986,0.0213,0.59,0.0050
2024-04-28:13,59,33,0.0986,0.0209,0.61,0.0053
2024-04-28:12,53,32,0.0946,0.0198,0.88,0.0066
2024-04-28:11,52,30,0.0808,0.0167,0.69,0.0046
2024-04-28:10,46,29,0.0667,0.0169,0.59,0.0039
2024-04-28:09,49,30,0.0533,0.0168,0.46,0.0036
2024-04-28:08,49,33,0.0467,0.0174,0.47,0.0033
2024-04-28:07,51,32,0.0380,0.0169,0.59,0.0029
2024-04-28:06,51,31,0.0402,0.0153,0.53,0.0029
2024-04-28:05,50,31,0.0481,0.0144,0.46,0.0029
2024-04-28:04,57,36,0.0451,0.0174,0.53,0.0029
2024-04-28:03,57,35,0.0385,0.0235,0.80,0.0033
2024-04-28:02,55,34,0.0381,0.0238,0.59,0.0031
2024-04-28:01,57,34,0.0402,0.0268,0.57,0.0034
2024-04-27:24,54,32,0.0472,0.0287,0.55,0.0037
2024-04-27:23,51,26,0.0523,0.0273,0.47,0.0035
2024-04-27:22,49,26,0.0686,0.0231,0.46,0.0041
2024-04-27:21,50,23,0.0824,0.0195,0.44,0.0039
2024-04-27:20,50,22,0.0860,0.0228,0.48,0.0039
2024-04-27:19,51,25,0.1007,0.0152,0.40,0.0038
2024-04-27:18,52,23,0.0997,0.0211,0.41,0.0037
2024-04-27:17,36,17,0.0912,0.0159,0.36,0.0038
2024-04-27:16,31,16,0.0834,0.0091,0.32,0.0034
2024-04-27:15,28,13,0.0806,0.0105,0.33,0.0030
2024-04-27:14,39,20,0.0852,0.0114,0.36,0.0032
2024-04-27:13,42,24,0.0855,0.0120,0.41,0.0034
2024-04-27:12,42,25,0.0831,0.0129,0.44,0.0036
2024-04-27:11,39,25,0.0756,0.0146,0.50,0.0040
2024-04-27:10,45,32,0.0460,0.0196,0.54,0.0038
2024-04-27:09,41,30,0.0310,0.0227,0.50,0.0034
2024-04-27:08,41,29,0.0199,0.0219,0.50,0.0032
2024-04-27:07,44,29,0.0108,0.0253,0.53,0.0032
2024-04-27:06,41,23,0.0094,0.0275,0.58,0.0032
2024-04-27:05,41,23,0.0093,0.0303,0.54,0.0028
2024-04-27:04,41,26,0.0080,0.0363,0.59,0.0032
2024-04-27:03,35,23,0.0124,0.0345,0.49,0.0030
2024-04-27:02,40,25,0.0261,0.0262,0.44,0.0035
2024-04-27:01,45,28,0.0123,0.0395,0.64,0.0032
2024-04-26:24,36,24,0.0176,0.0338,0.54,0.0031
2024-04-26:23,39,23,0.0273,0.0288,0.53,0.0030
2024-04-26:22,37,19,0.0341,0.0268,0.46,0.0033
2024-04-26:21,42,23,0.0432,0.0245,0.48,0.0035
2024-04-26:20,38,22,0.0452,0.0296,0.55,0.0042
2024-04-26:19,36,19,0.0552,0.0277,0.48,0.0043
2024-04-26:18,33,17,0.0639,0.0226,0.45,0.0044
2024-04-26:17,36,18,0.0688,0.0200,0.42,0.0046
2024-04-26:16,43,19,0.0577,0.0362,0.48,0.0058
2024-04-26:15,38,15,0.0615,0.0333,0.58,0.0068
2024-04-26:14,36,22,0.0618,0.0244,0.57,0.0061
2024-04-26:13,42,24,0.0384,0.0382,0.66,0.0056
2024-04-26:12,35,17,0.0337,0.0332,0.59,0.0048
2024-04-26:11,,,,,,
2024-04-26:10,,,,,,
2024-04-26:09,45,24,0.0115,0.0440,0.80,0.0038
2024-04-26:08,36,18,0.0078,0.0393,0.65,0.0033
2024-04-26:07,37,22,0.0086,0.0331,0.58,0.0031
2024-04-26:06,36,18,0.0199,0.0239,0.56,0.0032
2024-04-26:05,36,21,0.0173,0.0263,0.58,0.0030
2024-04-26:04,35,23,0.0133,0.0300,0.65,0.0030
2024-04-26:03,37,21,0.0156,0.0323,0.67,0.0031
2024-04-26:02,34,20,0.0200,0.0309,0.62,0.0032
2024-04-26:01,34,17,0.0246,0.0303,0.55,0.0032
2024-04-25:24,32,15,0.0336,0.0278,0.50,0.0033
2024-04-25:23,35,17,0.0347,0.0301,0.58,0.0035
2024-04-25:22,33,17,0.0444,0.0263,0.64,0.0035
2024-04-25:21,28,12,0.0647,0.0142,0.42,0.0039
2024-04-25:20,27,11,0.0678,0.0131,0.42,0.0037
2024-04-25:19,30,9,0.0664,0.0143,0.39,0.0035
2024-04-25:18,30,11,0.0675,0.0125,0.32,0.0029
2024-04-25:17,40,8,0.0658,0.0151,0.31,0.0031
2024-04-25:16,30,8,0.0716,0.0083,0.28,0.0026
2024-04-25:15,24,4,0.0677,0.0114,0.29,0.0025
2024-04-25:14,18,4,0.0664,0.0078,0.28,0.0025
2024-04-25:13,12,6,0.0636,0.0077,0.25,0.0026
2024-04-25:12,13,3,0.0610,0.0078,0.28,0.0023
2024-04-25:11,13,5,0.0556,0.0093,0.29,0.0026
2024-04-25:10,16,5,0.0527,0.0089,0.30,0.0024
2024-04-25:09,21,8,0.0496,0.0109,0.32,0.0027
2024-04-25:08,22,7,0.0314,0.0208,0.42,0.0026
2024-04-25:07,32,14,0.0170,0.0261,0.44,0.0030
2024-04-25:06,27,11,0.0248,0.0164,0.39,0.0026
2024-04-25:05,30,12,0.0296,0.0141,0.37,0.0025
2024-04-25:04,28,12,0.0312,0.0158,0.38,0.0025
2024-04-25:03,27,11,0.0304,0.0168,0.36,0.0026
2024-04-25:02,30,12,0.0247,0.0209,0.38,0.0025
2024-04-25:01,30,9,0.0302,0.0171,0.36,0.0023
2024-04-24:24,28,8,0.0313,0.0176,0.36,0.0025
2024-04-24:23,30,9,0.0420,0.0138,0.33,0.0026
2024-04-24:22,31,12,0.0443,0.0140,0.31,0.0024
2024-04-24:21,35,9,0.0427,0.0159,0.35,0.0025
2024-04-24:20,34,9,0.0478,0.0132,0.31,0.0024
2024-04-24:19,30,9,0.0581,0.0089,0.28,0.0024
2024-04-24:18,29,8,0.0595,0.0087,0.27,0.0026
2024-04-24:17,27,8,0.0611,0.0070,0.26,0.0024
2024-04-24:16,,,,,,
2024-04-24:15,,,,,,
2024-04-24:14,,,,,,
2024-04-24:13,,,,,,
2024-04-24:12,22,12,0.0263,0.0232,0.30,0.0034
2024-04-24:11,22,9,0.0122,0.0328,0.31,0.0033
2024-04-24:10,19,6,0.0153,0.0253,0.30,0.0025
2024-04-24:09,15,2,0.0223,0.0181,0.35,0.0023
2024-04-24:08,12,3,0.0242,0.0140,0.32,0.0025
2024-04-24:07,15,5,0.0184,0.0153,0.31,0.0025
2024-04-24:06,16,6,0.0215,0.0111,0.29,0.0026
2024-04-24:05,12,2,0.0267,0.0088,0.30,0.0025
2024-04-24:04,11,2,0.0304,0.0085,0.26,0.0023
2024-04-24:03,8,1,0.0334,0.0078,0.25,0.0024
2024-04-24:02,9,1,0.0322,0.0085,0.26,0.0024
2024-04-24:01,10,2,0.0335,0.0083,0.28,0.0025
2024-04-23:24,10,1,0.0321,0.0108,0.29,0.0025
2024-04-23:23,12,5,0.0296,0.0123,0.30,0.0025
2024-04-23:22,15,4,0.0327,0.0109,0.31,0.0025
2024-04-23:21,19,9,0.0351,0.0106,0.32,0.0025
2024-04-23:20,26,11,0.0365,0.0110,0.30,0.0024
