tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,12,5,0.0558,0.0048,0.33,0.0030
2024-04-30:23,8,7,0.0559,0.0049,0.33,0.0027
2024-04-30:22,23,12,0.0591,0.0068,0.38,0.0027
2024-04-30:21,23,12,0.0579,0.0081,0.42,0.0030
2024-04-30:20,25,9,0.0603,0.0095,0.47,0.0030
2024-04-30:19,31,19,0.0629,0.0105,0.50,0.0034
2024-04-30:18,25,23,0.0740,0.0095,0.53,0.0036
2024-04-30:17,30,22,0.0775,0.0100,0.58,0.0037
2024-04-30:16,32,28,0.0749,0.0117,0.58,0.0038
2024-04-30:15,32,18,0.0709,0.0085,0.55,0.0040
2024-04-30:14,20,9,0.0610,0.0078,0.45,0.0040
2024-04-30:13,19,8,0.0564,0.0073,0.36,0.0029
2024-04-30:12,21,8,,,,
2024-04-30:11,,,,,,
2024-04-30:10,28,16,0.0350,0.0115,0.37,0.0028
2024-04-30:09,25,15,0.0278,0.0164,0.39,0.0029
2024-04-30:08,21,8,0.0239,0.0148,0.37,0.0027
2024-04-30:07,27,9,0.0184,0.0182,0.39,0.0028
2024-04-30:06,27,10,0.0292,0.0081,0.34,0.0027
2024-04-30:05,25,11,0.0303,0.0067,0.34,0.0027
2024-04-30:04,20,6,0.0392,0.0049,0.33,0.0028
2024-04-30:03,22,5,0.0376,0.0050,0.34,0.0028
2024-04-30:02,17,8,0.0415,0.0047,0.33,0.0028
2024-04-30:01,16,6,0.0464,0.0045,0.33,0.0027
2024-04-29:24,17,6,0.0477,0.0050,0.34,0.0028
2024-04-29:23,13,6,0.0471,0.0060,0.36,0.0027
2024-04-29:22,16,4,0.0482,0.0066,0.38,0.0028
2024-04-29:21,14,5,0.0487,0.0080,0.39,0.0028
2024-04-29:20,15,5,0.0467,0.0114,0.38,0.0028
2024-04-29:19,9,6,0.0499,0.0123,0.37,0.0027
2024-04-29:18,11,5,0.0498,0.0135,0.36,0.0028
2024-04-29:17,8,2,0.0514,0.0123,0.36,0.0029
2024-04-29:16,9,3,0.0531,0.0108,0.36,0.0029
2024-04-29:15,20,3,0.0482,0.0135,0.36,0.0029
2024-04-29:14,14,5,0.0454,0.0138,0.39,0.0029
2024-04-29:13,11,6,0.0424,0.0134,0.41,0.0029
2024-04-29:12,17,8,0.0434,0.0134,0.41,0.0029
2024-04-29:11,17,12,0.0439,0.0125,0.40,0.0029
2024-04-29:10,16,13,0.0431,0.0132,0.41,0.0028
2024-04-29:09,26,13,0.0462,0.0101,0.41,0.0028
2024-04-29:08,23,16,0.0481,0.0090,0.41,0.0028
2024-04-29:07,29,20,0.0485,0.0087,0.39,0.0029
2024-04-29:06,30,21,0.0502,0.0075,0.37,0.0029
2024-04-29:05,40,23,0.0537,0.0074,0.37,0.0031
2024-04-29:04,39,22,0.0565,0.0071,0.38,0.0037
2024-04-29:03,39,16,0.0618,0.0062,0.36,0.0037
2024-04-29:02,37,21,0.0650,0.0047,0.34,0.0029
2024-04-29:01,39,22,0.0654,0.0047,0.34,0.0029
2024-04-28:24,45,23,0.0640,0.0058,0.35,0.0029
2024-04-28:23,39,17,0.0562,0.0097,0.38,0.0029
2024-04-28:22,29,13,0.0538,0.0111,0.38,0.0030
2024-04-28:21,20,9,0.0541,0.0132,0.38,0.0033
2024-04-28:20,14,7,0.0619,0.0117,0.35,0.0034
2024-04-28:19,20,6,0.0687,0.0102,0.34,0.0037
2024-04-28:18,17,6,0.0739,0.0092,0.40,0.0038
2024-04-28:17,23,7,0.0791,0.0085,0.40,0.0039
2024-04-28:16,33,9,0.0851,0.0078,0.44,0.0042
2024-04-28:15,32,10,0.0839,0.0078,0.39,0.0038
2024-04-28:14,27,15,0.0722,0.0095,0.35,0.0036
2024-04-28:13,40,24,0.0732,0.0115,0.40,0.0037
2024-04-28:12,49,27,0.0827,0.0110,0.49,0.0037
2024-04-28:11,66,39,0.0809,0.0123,0.54,0.0038
2024-04-28:10,60,41,0.0683,0.0120,0.55,0.0034
2024-04-28:09,59,44,0.0480,0.0176,0.61,0.0031
2024-04-28:08,57,43,0.0307,0.0207,0.61,0.0028
2024-04-28:07,52,34,0.0261,0.0206,0.59,0.0029
2024-04-28:06,48,36,0.0339,0.0119,0.55,0.0029
2024-04-28:05,45,32,0.0428,0.0106,0.55,0.0029
2024-04-28:04,44,22,0.0500,0.0089,0.54,0.0028
2024-04-28:03,47,34,0.0503,0.0101,0.55,0.0028
2024-04-28:02,46,32,0.0482,0.0119,0.56,0.0029
2024-04-28:01,44,25,0.0522,0.0133,0.56,0.0029
2024-04-27:24,47,26,0.0526,0.0162,0.55,0.0030
2024-04-27:23,43,37,0.0523,0.0184,0.57,0.0031
2024-04-27:22,38,29,0.0651,0.0156,0.48,0.0032
2024-04-27:21,36,27,0.0787,0.0150,0.46,0.0036
2024-04-27:20,39,22,0.0953,0.0145,0.48,0.0043
2024-04-27:19,45,30,0.1038,0.0170,0.61,0.0053
2024-04-27:18,56,35,0.1211,0.0140,0.75,0.0070
2024-04-27:17,53,35,0.1196,0.0136,0.72,0.0065
2024-04-27:16,53,31,0.1117,0.0137,0.68,0.0060
2024-04-27:15,57,32,0.1097,0.0134,0.73,0.0062
2024-04-27:14,53,31,0.1034,0.0149,0.73,0.0064
2024-04-27:13,55,26,0.1018,0.0146,0.71,0.0069
2024-04-27:12,45,24,0.0715,0.0174,0.53,0.0053
2024-04-27:11,35,18,0.0551,0.0162,0.48,0.0050
2024-04-27:10,27,12,0.0476,0.0140,0.45,0.0047
2024-04-27:09,25,14,0.0371,0.0150,0.36,0.0033
2024-04-27:08,22,14,0.0164,0.0227,0.41,0.0031
2024-04-27:07,25,6,0.0107,0.0200,0.39,0.0028
2024-04-27:06,22,7,0.0123,0.0144,0.34,0.0027
2024-04-27:05,28,9,0.0159,0.0166,0.32,0.0027
2024-04-27:04,21,9,0.0201,0.0127,0.31,0.0027
2024-04-27:03,26,10,0.0271,0.0092,0.31,0.0027
2024-04-27:02,22,11,0.0261,0.0084,0.32,0.0027
2024-04-27:01,23,6,0.0298,0.0105,0.34,0.0027
2024-04-26:24,23,11,0.0216,0.0168,0.39,0.0027
2024-04-26:23,24,8,0.0269,0.0155,0.36,0.0029
2024-04-26:22,26,5,0.0353,0.0134,0.35,0.0029
2024-04-26:21,25,7,0.0332,0.0178,0.39,0.0028
2024-04-26:20,20,8,0.0433,0.0159,0.37,0.0029
2024-04-26:19,27,6,0.0525,0.0144,0.33,0.0029
2024-04-26:18,20,5,0.0567,0.0117,0.34,0.0030
2024-04-26:17,20,6,0.0554,0.0115,0.33,0.0032
2024-04-26:16,21,8,0.0529,0.0118,0.32,0.0033
2024-04-26:15,26,9,0.0499,0.0129,0.32,0.0032
2024-04-26:14,31,12,0.0619,0.0106,0.37,0.0040
2024-04-26:13,30,16,0.0422,0.0136,0.34,0.0032
2024-04-26:12,29,14,0.0296,0.0205,0.37,0.0033
2024-04-26:11,31,11,0.0368,0.0140,0.35,0.0031
2024-04-26:10,32,15,0.0284,0.0172,0.36,0.0030
2024-04-26:09,30,11,0.0213,0.0237,0.40,0.0031
