tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,11,4,0.0528,0.0056,0.39,0.0027
2024-04-30:23,13,5,0.0514,0.0068,0.41,0.0027
2024-04-30:22,19,9,0.0472,0.0102,0.45,0.0028
2024-04-30:21,27,11,0.0470,0.0109,0.44,0.0028
2024-04-30:20,33,12,0.0447,0.0151,0.48,0.0031
2024-04-30:19,33,12,0.0534,0.0138,0.42,0.0028
2024-04-30:18,33,12,0.0566,0.0153,0.43,0.0029
2024-04-30:17,32,13,0.0590,0.0196,0.48,0.0035
2024-04-30:16,,,,,,
2024-04-30:15,,,,,,
2024-04-30:14,26,11,0.0491,0.0181,0.50,0.0030
2024-04-30:13,22,7,0.0449,0.0160,0.49,0.0029
2024-04-30:12,22,6,0.0405,0.0140,0.47,0.0028
2024-04-30:11,23,7,0.0350,0.0152,0.48,0.0028
2024-04-30:10,23,9,0.0389,0.0108,0.47,0.0028
2024-04-30:09,23,9,0.0283,0.0178,0.52,0.0028
2024-04-30:08,23,10,0.0262,0.0151,0.50,0.0027
2024-04-30:07,21,10,0.0294,0.0100,0.48,0.0028
2024-04-30:06,20,9,0.0315,0.0079,0.47,0.0028
2024-04-30:05,20,9,0.0368,0.0057,0.47,0.0028
2024-04-30:04,18,9,0.0384,0.0055,0.47,0.0028
2024-04-30:03,19,8,0.0379,0.0057,0.47,0.0026
2024-04-30:02,18,7,0.0467,0.0052,0.48,0.0027
2024-04-30:01,16,6,0.0553,0.0050,0.49,0.0027
2024-04-29:24,16,7,0.0565,0.0054,0.50,0.0027
2024-04-29:23,16,6,0.0584,0.0056,0.51,0.0027
2024-04-29:22,15,6,0.0576,0.0069,0.51,0.0027
2024-04-29:21,16,6,0.0569,0.0069,0.52,0.0027
2024-04-29:20,14,5,0.0560,0.0080,0.51,0.0027
2024-04-29:19,11,5,0.0564,0.0087,0.52,0.0026
2024-04-29:18,12,5,0.0563,0.0092,0.51,0.0027
2024-04-29:17,11,5,0.0559,0.0105,0.49,0.0027
2024-04-29:16,13,6,0.0537,0.0116,0.51,0.0027
2024-04-29:15,13,6,0.0531,0.0122,0.51,0.0027
2024-04-29:14,17,8,0.0507,0.0134,0.52,0.0027
2024-04-29:13,20,9,0.0545,0.0106,0.51,0.0028
2024-04-29:12,25,11,0.0527,0.0110,0.54,0.0027
2024-04-29:11,30,13,0.0495,0.0125,0.58,0.0028
2024-04-29:10,40,15,0.0465,0.0154,0.57,0.0027
2024-04-29:09,49,16,0.0499,0.0116,0.55,0.0027
2024-04-29:08,50,17,0.0496,0.0129,0.52,0.0029
2024-04-29:07,49,16,0.0537,0.0096,0.55,0.0029
2024-04-29:06,47,14,0.0576,0.0070,0.52,0.0031
2024-04-29:05,48,17,0.0610,0.0052,0.46,0.0029
2024-04-29:04,49,18,0.0620,0.0049,0.45,0.0030
2024-04-29:03,50,16,0.0594,0.0056,0.48,0.0032
2024-04-29:02,48,14,0.0601,0.0059,0.48,0.0034
2024-04-29:01,52,16,0.0595,0.0066,0.51,0.0035
2024-04-28:24,57,18,0.0573,0.0079,0.54,0.0036
2024-04-28:23,59,19,0.0540,0.0098,0.61,0.0040
2024-04-28:22,55,18,0.0558,0.0134,0.55,0.0055
2024-04-28:21,50,19,0.0632,0.0154,0.55,0.0064
2024-04-28:20,42,18,0.0710,0.0159,0.58,0.0076
2024-04-28:19,35,13,0.0735,0.0143,0.55,0.0057
2024-04-28:18,28,11,0.0694,0.0130,0.52,0.0041
2024-04-28:17,29,12,0.0656,0.0127,0.45,0.0039
2024-04-28:16,33,13,0.0639,0.0145,0.46,0.0039
2024-04-28:15,39,14,0.0721,0.0153,0.50,0.0041
2024-04-28:14,42,16,0.0857,0.0174,0.55,0.0042
2024-04-28:13,42,16,0.0982,0.0175,0.63,0.0040
2024-04-28:12,43,17,0.0920,0.0136,0.63,0.0040
2024-04-28:11,46,19,0.0772,0.0145,0.60,0.0037
2024-04-28:10,51,22,0.0664,0.0143,0.57,0.0035
2024-04-28:09,55,24,0.0452,0.0142,0.61,0.0034
2024-04-28:08,54,25,0.0278,0.0199,0.62,0.0032
2024-04-28:07,51,25,0.0266,0.0180,0.62,0.0030
2024-04-28:06,50,25,0.0306,0.0124,0.57,0.0028
2024-04-28:05,54,26,0.0357,0.0117,0.57,0.0028
2024-04-28:04,53,27,0.0392,0.0106,0.56,0.0029
2024-04-28:03,53,26,0.0399,0.0116,0.56,0.0029
2024-04-28:02,51,25,0.0457,0.0123,0.57,0.0031
2024-04-28:01,51,22,0.0474,0.0148,0.61,0.0032
2024-04-27:24,53,22,0.0573,0.0159,0.64,0.0035
2024-04-27:23,54,24,0.0591,0.0178,0.67,0.0038
2024-04-27:22,53,22,0.0662,0.0218,0.72,0.0044
2024-04-27:21,53,21,0.0794,0.0204,0.71,0.0049
2024-04-27:20,54,19,0.0822,0.0239,0.65,0.0048
2024-04-27:19,53,19,0.0923,0.0247,0.58,0.0045
2024-04-27:18,51,19,0.1050,0.0194,0.51,0.0043
2024-04-27:17,50,18,0.1131,0.0167,0.48,0.0039
2024-04-27:16,45,17,0.1101,0.0199,0.50,0.0037
2024-04-27:15,39,15,0.1106,0.0171,0.51,0.0036
2024-04-27:14,30,12,0.1102,0.0170,0.54,0.0037
2024-04-27:13,28,10,0.0936,0.0166,0.53,0.0035
2024-04-27:12,35,10,0.0737,0.0188,0.60,0.0037
2024-04-27:11,40,11,0.0694,0.0140,0.60,0.0037
2024-04-27:10,43,15,0.0610,0.0109,0.62,0.0040
2024-04-27:09,44,19,0.0491,0.0124,0.63,0.0036
2024-04-27:08,45,20,0.0219,0.0205,0.59,0.0031
2024-04-27:07,46,21,0.0115,0.0224,0.53,0.0029
2024-04-27:06,46,21,0.0134,0.0182,0.52,0.0028
2024-04-27:05,48,23,0.0123,0.0178,0.52,0.0028
2024-04-27:04,46,24,0.0135,0.0151,0.49,0.0028
2024-04-27:03,44,23,0.0094,0.0192,0.50,0.0029
2024-04-27:02,43,20,0.0078,0.0221,0.50,0.0029
