tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,6,2,0.0181,0.0070,0.17,0.0026
2024-06-30:23,6,4,0.0182,0.0096,0.22,0.0025
2024-06-30:22,11,5,0.0192,0.0116,0.26,0.0025
2024-06-30:21,14,6,0.0183,0.0102,0.24,0.0025
2024-06-30:20,14,10,0.0215,0.0104,0.23,0.0025
2024-06-30:19,17,5,0.0263,0.0068,0.19,0.0024
2024-06-30:18,17,6,0.0292,0.0049,0.16,0.0025
2024-06-30:17,12,3,0.0280,0.0053,0.16,0.0025
2024-06-30:16,7,2,0.0240,0.0049,0.15,0.0025
2024-06-30:15,7,2,0.0192,0.0058,0.14,0.0029
2024-06-30:14,7,2,0.0197,0.0049,0.14,0.0024
2024-06-30:13,8,2,0.0201,0.0054,0.16,0.0025
2024-06-30:12,7,4,0.0190,0.0046,0.15,0.0025
2024-06-30:11,6,4,0.0164,0.0049,0.14,0.0024
2024-06-30:10,12,0,0.0175,0.0041,0.12,0.0027
2024-06-30:09,9,2,0.0184,0.0033,0.13,0.0024
2024-06-30:08,8,6,0.0187,0.0035,0.12,0.0025
2024-06-30:07,9,5,0.0193,0.0035,0.12,0.0026
2024-06-30:06,16,6,0.0218,0.0030,0.12,0.0022
2024-06-30:05,20,6,0.0231,0.0029,0.12,0.0023
2024-06-30:04,20,4,0.0231,0.0029,0.13,0.0025
2024-06-30:03,16,5,0.0217,0.0029,0.13,0.0028
2024-06-30:02,21,5,0.0213,0.0028,0.12,0.0027
2024-06-30:01,24,7,0.0221,0.0031,0.12,0.0026
2024-06-29:24,25,4,0.0218,0.0033,0.13,0.0026
2024-06-29:23,11,,0.0220,0.0034,0.13,0.0024
2024-06-29:22,5,0,0.0199,0.0042,0.14,0.0027
2024-06-29:21,5,2,0.0168,0.0086,0.18,0.0026
2024-06-29:20,6,1,0.0188,0.0086,0.19,0.0028
2024-06-29:19,8,0,0.0120,0.0159,0.30,0.0028
2024-06-29:18,8,2,0.0144,0.0147,0.24,0.0028
2024-06-29:17,7,0,0.0238,0.0116,0.23,0.0029
2024-06-29:16,15,6,0.0313,0.0129,0.29,0.0029
2024-06-29:15,18,13,0.0399,0.0141,0.29,0.0028
2024-06-29:14,22,7,0.0492,0.0096,0.25,0.0025
2024-06-29:13,20,10,0.0555,0.0051,0.23,0.0028
2024-06-29:12,19,6,0.0562,0.0065,0.25,0.0027
2024-06-29:11,15,6,0.0567,0.0071,0.27,0.0024
2024-06-29:10,11,4,0.0563,0.0065,0.29,0.0024
2024-06-29:09,11,6,0.0525,0.0081,0.27,0.0026
2024-06-29:08,9,8,0.0506,0.0078,0.23,0.0027
2024-06-29:07,12,10,0.0463,0.0080,0.24,0.0025
2024-06-29:06,13,11,0.0438,0.0083,0.25,0.0026
2024-06-29:05,17,7,0.0420,0.0080,0.24,0.0025
2024-06-29:04,15,10,0.0404,0.0078,0.26,0.0030
2024-06-29:03,18,9,0.0374,0.0102,0.29,0.0031
2024-06-29:02,15,6,0.0357,0.0123,0.34,0.0028
2024-06-29:01,17,7,0.0322,0.0178,0.52,0.0030
2024-06-28:24,11,11,0.0473,0.0073,0.22,0.0025
2024-06-28:23,13,6,0.0496,0.0082,0.19,0.0031
2024-06-28:22,9,6,0.0461,0.0094,0.19,0.0030
2024-06-28:21,10,5,0.0497,0.0088,0.18,0.0029
2024-06-28:20,11,5,0.0551,0.0076,0.18,0.0029
2024-06-28:19,17,8,0.0611,0.0106,0.21,0.0029
2024-06-28:18,15,12,0.0690,0.0083,0.20,0.0029
2024-06-28:17,20,10,0.0724,0.0069,0.20,0.0031
2024-06-28:16,20,8,0.0736,0.0060,0.20,0.0027
2024-06-28:15,23,14,0.0818,0.0082,0.31,0.0028
2024-06-28:14,24,14,0.0836,0.0100,0.24,0.0033
2024-06-28:13,24,14,0.0767,0.0131,0.27,0.0035
2024-06-28:12,30,11,0.0621,0.0155,0.28,0.0034
2024-06-28:11,30,16,0.0552,0.0204,0.39,0.0035
2024-06-28:10,27,17,0.0487,0.0176,0.36,0.0031
2024-06-28:09,31,19,0.0367,0.0198,0.36,0.0032
2024-06-28:08,33,21,0.0273,0.0185,0.34,0.0033
2024-06-28:07,30,24,0.0109,0.0203,0.34,0.0031
2024-06-28:06,30,24,0.0134,0.0153,0.30,0.0031
2024-06-28:05,30,27,0.0157,0.0167,0.28,0.0030
2024-06-28:04,34,22,0.0224,0.0121,0.30,0.0028
2024-06-28:03,34,23,0.0167,0.0162,0.34,0.0029
2024-06-28:02,35,28,0.0167,0.0178,0.33,0.0030
2024-06-28:01,35,29,0.0195,0.0187,0.36,0.0030
2024-06-27:24,33,24,0.0264,0.0172,0.32,0.0030
2024-06-27:23,30,19,0.0309,0.0181,0.33,0.0029
2024-06-27:22,36,26,0.0393,0.0200,0.34,0.0029
2024-06-27:21,34,20,0.0475,0.0204,0.32,0.0034
2024-06-27:20,33,23,0.0442,0.0289,0.36,0.0033
2024-06-27:19,39,19,0.0395,0.0312,0.37,0.0037
2024-06-27:18,29,14,0.0424,0.0315,0.35,0.0033
2024-06-27:17,37,16,0.0524,0.0280,0.29,0.0037
2024-06-27:16,45,20,0.0345,0.0431,0.37,0.0042
2024-06-27:15,49,24,0.0450,0.0391,0.45,0.0044
2024-06-27:14,50,25,0.0534,0.0341,0.45,0.0046
2024-06-27:13,50,28,0.0450,0.0387,0.45,0.0047
2024-06-27:12,43,28,0.0456,0.0337,0.38,0.0047
2024-06-27:11,40,23,0.0450,0.0254,0.36,0.0041
2024-06-27:10,38,25,0.0323,0.0288,0.37,0.0035
2024-06-27:09,40,24,0.0295,0.0283,0.40,0.0036
2024-06-27:08,36,23,0.0219,0.0278,0.39,0.0036
2024-06-27:07,37,23,0.0137,0.0332,0.33,0.0037
2024-06-27:06,38,20,0.0263,0.0201,0.33,0.0036
2024-06-27:05,38,25,0.0318,0.0157,0.35,0.0035
2024-06-27:04,41,20,0.0333,0.0164,0.36,0.0036
2024-06-27:03,45,28,0.0302,0.0210,0.38,0.0035
2024-06-27:02,42,28,0.0279,0.0301,0.39,0.0034
2024-06-27:01,41,27,0.0329,0.0293,0.37,0.0038
2024-06-26:24,38,23,0.0425,0.0292,0.35,0.0037
2024-06-26:23,34,15,0.0533,0.0269,0.31,0.0042
2024-06-26:22,31,19,0.0644,0.0265,0.28,0.0043
2024-06-26:21,33,18,0.0726,0.0209,0.29,0.0041
2024-06-26:20,35,16,0.0837,0.0177,0.29,0.0041
2024-06-26:19,31,11,0.0865,0.0169,0.26,0.0037
2024-06-26:18,33,10,0.0911,0.0132,0.24,0.0032
2024-06-26:17,40,18,0.0941,0.0146,0.25,0.0035
2024-06-26:16,39,14,0.0921,0.0155,0.26,0.0032
2024-06-26:15,31,10,0.0797,0.0102,0.27,0.0029
2024-06-26:14,19,9,0.0703,0.0089,0.23,0.0030
2024-06-26:13,20,7,0.0658,0.0079,0.23,0.0030
2024-06-26:12,22,5,0.0631,0.0071,0.22,0.0031
2024-06-26:11,20,8,0.0594,0.0081,0.22,0.0030
2024-06-26:10,23,9,0.0544,0.0110,0.25,0.0030
2024-06-26:09,28,14,0.0392,0.0191,0.28,0.0032
2024-06-26:08,48,28,0.0267,0.0252,0.42,0.0035
2024-06-26:07,44,29,0.0108,0.0327,0.46,0.0036
2024-06-26:06,43,20,0.0172,0.0209,0.44,0.0036
2024-06-26:05,44,25,0.0200,0.0190,0.44,0.0035
2024-06-26:04,36,22,0.0184,0.0220,0.41,0.0034
2024-06-26:03,43,13,0.0228,0.0200,0.46,0.0034
2024-06-26:02,45,24,0.0261,0.0198,0.48,0.0040
2024-06-26:01,50,23,0.0296,0.0222,0.46,0.0040
2024-06-25:24,48,20,0.0328,0.0238,0.49,0.0041
2024-06-25:23,47,22,0.0375,0.0224,0.47,0.0038
2024-06-25:22,42,18,0.0502,0.0184,0.43,0.0039
2024-06-25:21,40,13,0.0583,0.0154,0.37,0.0040
2024-06-25:20,31,12,0.0590,0.0142,0.31,0.0037
2024-06-25:19,24,7,0.0559,0.0122,0.24,0.0030
2024-06-25:18,24,8,0.0561,0.0089,0.22,0.0029
2024-06-25:17,18,6,0.0544,0.0124,0.22,0.0026
2024-06-25:16,18,5,0.0533,0.0110,0.22,0.0025
2024-06-25:15,13,5,0.0586,0.0068,0.20,0.0029
2024-06-25:14,24,7,0.0570,0.0077,0.22,0.0029
2024-06-25:13,,,,,,
2024-06-25:12,,,,,,
2024-06-25:11,58,10,0.0519,0.0086,0.23,0.0027
2024-06-25:10,80,16,0.0473,0.0098,0.24,0.0025
2024-06-25:09,97,25,0.0418,0.0134,0.26,0.0025
2024-06-25:08,102,26,0.0352,0.0209,0.28,0.0029
2024-06-25:07,104,24,0.0420,0.0132,0.25,0.0026
2024-06-25:06,118,27,0.0373,0.0136,0.26,0.0026
2024-06-25:05,135,28,0.0476,0.0084,0.25,0.0024
2024-06-25:04,111,33,0.0531,0.0054,0.26,0.0029
2024-06-25:03,61,27,0.0436,0.0090,0.36,0.0035
2024-06-25:02,51,24,0.0296,0.0151,0.41,0.0028
2024-06-25:01,49,24,0.0376,0.0108,0.36,0.0027
2024-06-24:24,47,19,0.0429,0.0126,0.36,0.0027
2024-06-24:23,44,21,0.0513,0.0093,0.32,0.0029
2024-06-24:22,45,27,0.0575,0.0079,0.30,0.0029
2024-06-24:21,42,22,0.0581,0.0088,0.30,0.0029
2024-06-24:20,43,22,0.0591,0.0090,0.30,0.0028
2024-06-24:19,40,20,0.0618,0.0091,0.29,0.0029
2024-06-24:18,37,15,0.0625,0.0084,0.28,0.0028
2024-06-24:17,29,15,0.0608,0.0084,0.26,0.0026
2024-06-24:16,32,16,0.0623,0.0074,0.28,0.0023
2024-06-24:15,33,20,0.0672,0.0074,0.31,0.0027
