tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,7,5,0.0172,0.0142,0.27,0.0042
2024-06-30:23,6,2,0.0088,0.0222,0.30,0.0060
2024-06-30:22,6,3,0.0141,0.0197,0.32,0.0064
2024-06-30:21,10,6,0.0084,0.0273,0.34,0.0070
2024-06-30:20,9,6,0.0153,0.0219,0.29,0.0046
2024-06-30:19,11,8,0.0162,0.0219,0.32,0.0045
2024-06-30:18,15,8,0.0216,0.0171,0.38,0.0041
2024-06-30:17,14,5,0.0224,0.0149,0.28,0.0040
2024-06-30:16,7,1,0.0205,0.0123,0.26,0.0040
2024-06-30:15,6,2,0.0220,0.0087,0.24,0.0041
2024-06-30:14,6,5,0.0193,0.0101,0.26,0.0038
2024-06-30:13,6,5,0.0214,0.0093,0.27,0.0037
2024-06-30:12,5,,0.0207,0.0085,0.26,0.0041
2024-06-30:11,6,3,0.0170,0.0095,0.25,0.0040
2024-06-30:10,8,4,0.0179,0.0094,0.26,0.0041
2024-06-30:09,7,2,0.0194,0.0080,0.24,0.0039
2024-06-30:08,1,1,0.0197,0.0072,0.25,0.0037
2024-06-30:07,3,3,0.0178,0.0096,0.28,0.0038
2024-06-30:06,8,6,0.0215,0.0078,0.25,0.0037
2024-06-30:05,13,5,0.0251,0.0062,0.27,0.0038
2024-06-30:04,11,4,0.0256,0.0057,0.18,0.0037
2024-06-30:03,16,4,0.0238,0.0056,0.17,0.0038
2024-06-30:02,12,6,0.0243,0.0056,0.21,0.0036
2024-06-30:01,18,7,0.0252,0.0056,0.22,0.0034
2024-06-29:24,16,4,0.0246,0.0061,0.23,0.0035
2024-06-29:23,11,3,0.0244,0.0062,0.23,0.0036
2024-06-29:22,7,5,0.0209,0.0081,0.25,0.0034
2024-06-29:21,6,2,0.0166,0.0140,0.25,0.0038
2024-06-29:20,2,,0.0217,0.0102,0.25,0.0036
2024-06-29:19,6,0,0.0180,0.0131,0.27,0.0038
2024-06-29:18,9,4,0.0181,0.0162,0.29,0.0040
2024-06-29:17,10,7,0.0233,0.0203,0.33,0.0038
2024-06-29:16,14,10,0.0325,0.0240,0.33,0.0035
2024-06-29:15,15,11,0.0421,0.0203,0.31,0.0036
2024-06-29:14,11,,0.0473,0.0168,0.32,0.0036
2024-06-29:13,11,9,0.0531,0.0099,0.29,0.0036
2024-06-29:12,19,9,0.0582,0.0097,0.33,0.0037
2024-06-29:11,15,7,0.0545,0.0106,0.32,0.0035
2024-06-29:10,8,7,0.0507,0.0129,0.34,0.0035
2024-06-29:09,8,6,0.0476,0.0129,0.30,0.0036
2024-06-29:08,9,7,0.0483,0.0116,0.29,0.0035
2024-06-29:07,9,8,0.0457,0.0142,0.27,0.0035
2024-06-29:06,13,12,0.0452,0.0115,0.26,0.0033
2024-06-29:05,11,,0.0482,0.0099,0.24,0.0034
2024-06-29:04,12,12,0.0492,0.0092,0.23,0.0035
2024-06-29:03,14,8,0.0508,0.0086,0.25,0.0034
2024-06-29:02,17,11,0.0458,0.0113,0.25,0.0036
2024-06-29:01,11,8,0.0413,0.0163,0.31,0.0037
2024-06-28:24,14,9,0.0263,0.0174,0.31,0.0035
2024-06-28:23,15,13,0.0313,0.0241,0.30,0.0049
2024-06-28:22,12,8,0.0264,0.0335,0.33,0.0046
2024-06-28:21,13,11,0.0323,0.0299,0.28,0.0049
2024-06-28:20,9,6,0.0462,0.0189,0.30,0.0033
2024-06-28:19,6,,0.0559,0.0160,0.24,0.0034
2024-06-28:18,17,13,0.0659,0.0154,0.26,0.0037
2024-06-28:17,20,13,0.0677,0.0163,0.27,0.0038
2024-06-28:16,20,9,0.0650,0.0166,0.26,0.0038
2024-06-28:15,21,10,0.0660,0.0152,0.27,0.0038
2024-06-28:14,18,10,0.0672,0.0125,0.25,0.0038
2024-06-28:13,13,10,0.0634,0.0119,0.24,0.0040
2024-06-28:12,17,11,0.0647,0.0108,0.25,0.0044
2024-06-28:11,22,12,0.0591,0.0133,0.28,0.0047
2024-06-28:10,19,18,0.0482,0.0176,0.28,0.0042
2024-06-28:09,27,24,0.0355,0.0240,0.30,0.0036
2024-06-28:08,39,29,0.0176,0.0241,0.35,0.0038
2024-06-28:07,28,24,0.0146,0.0164,0.30,0.0036
2024-06-28:06,31,24,0.0171,0.0145,0.30,0.0035
2024-06-28:05,36,25,0.0179,0.0125,0.30,0.0035
2024-06-28:04,27,19,0.0223,0.0116,0.29,0.0035
2024-06-28:03,30,24,0.0254,0.0115,0.29,0.0034
2024-06-28:02,29,26,0.0279,0.0126,0.32,0.0035
2024-06-28:01,27,17,0.0342,0.0120,0.28,0.0033
2024-06-27:24,30,24,0.0343,0.0148,0.29,0.0034
2024-06-27:23,32,25,0.0406,0.0153,0.29,0.0032
2024-06-27:22,24,14,0.0421,0.0166,0.28,0.0032
2024-06-27:21,25,15,0.0487,0.0210,0.28,0.0035
2024-06-27:20,28,11,0.0515,0.0216,0.27,0.0036
2024-06-27:19,27,16,0.0382,0.0332,0.30,0.0038
2024-06-27:18,19,12,0.0454,0.0273,0.27,0.0038
2024-06-27:17,32,24,0.0365,0.0470,0.27,0.0045
2024-06-27:16,63,33,0.0226,0.0670,0.32,0.0056
2024-06-27:15,40,24,0.0474,0.0437,0.30,0.0051
2024-06-27:14,20,10,0.0614,0.0267,0.23,0.0050
2024-06-27:13,20,13,0.0639,0.0210,0.23,0.0044
2024-06-27:12,48,33,0.0368,0.0453,0.39,0.0053
2024-06-27:11,48,28,0.0321,0.0440,0.37,0.0051
2024-06-27:10,43,28,0.0291,0.0383,0.36,0.0043
2024-06-27:09,40,29,0.0321,0.0298,0.35,0.0043
2024-06-27:08,33,28,0.0207,0.0328,0.35,0.0041
2024-06-27:07,35,24,0.0242,0.0229,0.37,0.0036
2024-06-27:06,26,20,0.0322,0.0155,0.32,0.0035
2024-06-27:05,26,21,0.0358,0.0134,0.28,0.0034
2024-06-27:04,20,,0.0375,0.0136,0.29,0.0033
2024-06-27:03,24,21,0.0374,0.0153,0.28,0.0035
2024-06-27:02,27,22,0.0352,0.0213,0.28,0.0036
2024-06-27:01,29,25,0.0359,0.0258,0.28,0.0040
2024-06-26:24,28,26,0.0386,0.0316,0.27,0.0043
2024-06-26:23,31,24,0.0488,0.0267,0.26,0.0045
2024-06-26:22,26,24,0.0609,0.0212,0.27,0.0043
2024-06-26:21,29,18,0.0647,0.0283,0.30,0.0046
2024-06-26:20,30,21,0.0680,0.0366,0.33,0.0049
2024-06-26:19,37,23,0.0787,0.0308,0.32,0.0058
2024-06-26:18,28,20,0.0810,0.0265,0.27,0.0047
2024-06-26:17,36,17,0.0781,0.0307,0.27,0.0042
2024-06-26:16,42,25,0.0777,0.0363,0.28,0.0046
