tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,13,10,0.0485,0.0108,0.40,0.0025
2024-04-30:23,14,11,0.0472,0.0121,0.37,0.0028
2024-04-30:22,13,10,0.0472,0.0130,0.35,0.0027
2024-04-30:21,12,10,0.0451,0.0141,0.31,0.0027
2024-04-30:20,19,12,0.0379,0.0225,0.34,0.0031
2024-04-30:19,26,20,0.0511,0.0156,0.34,0.0026
2024-04-30:18,27,18,0.0556,0.0158,0.32,0.0027
2024-04-30:17,27,20,0.0563,0.0178,0.34,0.0032
2024-04-30:16,29,24,0.0557,0.0230,0.40,0.0032
2024-04-30:15,39,12,0.0517,0.0233,0.35,0.0029
2024-04-30:14,,,,,,
2024-04-30:13,,,,,,
2024-04-30:12,17,5,0.0420,0.0181,0.31,0.0027
2024-04-30:11,15,8,0.0344,0.0229,0.33,0.0025
2024-04-30:10,19,8,0.0255,0.0288,0.36,0.0026
2024-04-30:09,19,8,0.0236,0.0308,0.38,0.0024
2024-04-30:08,18,11,0.0190,0.0360,0.40,0.0025
2024-04-30:07,16,10,0.0259,0.0285,0.38,0.0023
2024-04-30:06,16,12,0.0315,0.0262,0.38,0.0027
2024-04-30:05,13,8,0.0431,0.0140,0.43,0.0024
2024-04-30:04,13,9,0.0451,0.0116,0.37,0.0025
2024-04-30:03,15,10,0.0462,0.0121,0.42,0.0027
2024-04-30:02,16,9,0.0494,0.0110,0.55,0.0026
2024-04-30:01,20,11,0.0493,0.0114,0.56,0.0029
2024-04-29:24,21,14,0.0493,0.0120,0.54,0.0028
2024-04-29:23,23,17,0.0504,0.0122,0.56,0.0028
2024-04-29:22,25,17,0.0504,0.0131,0.55,0.0025
2024-04-29:21,18,14,0.0499,0.0141,0.54,0.0027
2024-04-29:20,18,14,0.0480,0.0154,0.49,0.0025
2024-04-29:19,16,14,0.0477,0.0168,0.53,0.0028
2024-04-29:18,17,11,0.0459,0.0200,0.45,0.0028
2024-04-29:17,19,11,0.0478,0.0187,0.45,0.0025
2024-04-29:16,21,16,0.0442,0.0229,0.45,0.0028
2024-04-29:15,20,14,0.0419,0.0257,0.42,0.0030
2024-04-29:14,20,14,0.0411,0.0265,0.37,0.0028
2024-04-29:13,25,17,0.0422,0.0248,0.40,0.0026
2024-04-29:12,26,19,0.0393,0.0282,0.45,0.0026
2024-04-29:11,31,22,0.0374,0.0295,0.46,0.0027
2024-04-29:10,36,24,0.0357,0.0292,0.46,0.0025
2024-04-29:09,40,23,0.0404,0.0244,0.41,0.0030
2024-04-29:08,40,24,0.0436,0.0211,0.42,0.0028
2024-04-29:07,44,25,0.0484,0.0160,0.43,0.0031
2024-04-29:06,44,26,0.0510,0.0131,0.42,0.0030
2024-04-29:05,41,23,0.0533,0.0109,0.35,0.0024
2024-04-29:04,41,23,0.0542,0.0102,0.34,0.0028
2024-04-29:03,40,24,0.0519,0.0103,0.37,0.0032
2024-04-29:02,43,27,0.0524,0.0109,0.39,0.0030
2024-04-29:01,42,26,0.0546,0.0112,0.39,0.0032
2024-04-28:24,45,28,0.0531,0.0119,0.42,0.0032
2024-04-28:23,50,30,0.0501,0.0138,0.48,0.0036
2024-04-28:22,50,28,0.0505,0.0163,0.48,0.0045
2024-04-28:21,46,24,0.0584,0.0182,0.43,0.0057
2024-04-28:20,43,30,0.0642,0.0203,0.46,0.0067
2024-04-28:19,38,27,0.0712,0.0179,0.44,0.0064
2024-04-28:18,27,20,0.0712,0.0152,0.41,0.0049
2024-04-28:17,22,20,0.0614,0.0138,0.37,0.0040
2024-04-28:16,26,16,0.0683,0.0125,0.36,0.0047
2024-04-28:15,31,23,0.0697,0.0122,0.34,0.0041
2024-04-28:14,42,28,0.0809,0.0207,0.45,0.0043
2024-04-28:13,42,25,0.0956,0.0169,0.51,0.0037
2024-04-28:12,41,24,0.0864,0.0163,0.49,0.0040
2024-04-28:11,48,26,0.0721,0.0204,0.51,0.0039
2024-04-28:10,44,27,0.0566,0.0234,0.56,0.0038
2024-04-28:09,46,26,0.0418,0.0307,0.53,0.0036
2024-04-28:08,37,20,0.0340,0.0262,0.53,0.0031
2024-04-28:07,40,25,0.0314,0.0222,0.50,0.0031
2024-04-28:06,37,28,0.0347,0.0190,0.49,0.0029
2024-04-28:05,37,27,0.0358,0.0176,0.55,0.0029
2024-04-28:04,36,28,0.0402,0.0171,0.52,0.0031
