tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,7,5,0.0230,0.0072,0.34,0.0036
2024-06-30:23,3,3,0.0236,0.0079,0.35,0.0034
2024-06-30:22,1,,0.0271,0.0065,0.28,0.0024
2024-06-30:21,3,,0.0291,0.0057,0.28,0.0024
2024-06-30:20,4,3,0.0299,0.0052,0.28,0.0024
2024-06-30:19,9,3,0.0288,0.0062,0.29,0.0024
2024-06-30:18,13,3,0.0314,0.0054,0.26,0.0025
2024-06-30:17,5,3,0.0331,0.0052,0.27,0.0026
2024-06-30:16,7,3,0.0328,0.0052,0.26,0.0026
2024-06-30:15,6,3,0.0321,0.0047,0.26,0.0026
2024-06-30:14,4,1,0.0303,0.0045,0.25,0.0024
2024-06-30:13,5,1,0.0287,0.0047,0.25,0.0024
2024-06-30:12,3,0,0.0251,0.0048,0.26,0.0024
2024-06-30:11,1,,0.0237,0.0050,0.25,0.0024
2024-06-30:10,1,0,0.0217,0.0046,0.23,0.0023
2024-06-30:09,3,,0.0227,0.0041,0.23,0.0023
2024-06-30:08,4,1,0.0241,0.0038,0.22,0.0023
2024-06-30:07,4,1,0.0253,0.0035,0.22,0.0023
2024-06-30:06,5,,0.0263,0.0035,0.23,0.0023
2024-06-30:05,10,2,0.0279,0.0035,0.23,0.0023
2024-06-30:04,8,3,0.0277,0.0033,0.22,0.0023
2024-06-30:03,9,3,0.0258,0.0034,0.21,0.0023
2024-06-30:02,9,4,0.0252,0.0034,0.21,0.0023
2024-06-30:01,13,3,0.0257,0.0035,0.21,0.0023
2024-06-29:24,17,3,0.0261,0.0037,0.22,0.0023
2024-06-29:23,16,5,0.0272,0.0037,0.22,0.0023
2024-06-29:22,7,2,0.0272,0.0042,0.22,0.0023
2024-06-29:21,0,,0.0237,0.0054,0.24,0.0023
2024-06-29:20,0,,0.0226,0.0062,0.24,0.0023
2024-06-29:19,2,,0.0250,0.0049,0.22,0.0023
2024-06-29:18,1,1,0.0241,0.0048,0.22,0.0023
2024-06-29:17,2,2,0.0283,0.0082,0.29,0.0024
2024-06-29:16,5,0,0.0385,0.0089,0.34,0.0023
2024-06-29:15,5,,0.0455,0.0056,0.34,0.0023
2024-06-29:14,4,1,0.0477,0.0047,0.27,0.0023
2024-06-29:13,9,6,0.0474,0.0051,0.28,0.0022
2024-06-29:12,13,7,0.0480,0.0071,0.28,0.0026
2024-06-29:11,24,8,0.0481,0.0065,0.28,0.0027
2024-06-29:10,17,7,0.0460,0.0066,0.29,0.0031
2024-06-29:09,24,17,0.0394,0.0101,0.36,0.0050
2024-06-29:08,22,15,0.0319,0.0091,0.33,0.0046
2024-06-29:07,19,14,0.0243,0.0083,0.33,0.0032
2024-06-29:06,17,8,0.0233,0.0075,0.33,0.0030
2024-06-29:05,11,6,0.0250,0.0064,0.29,0.0028
2024-06-29:04,6,5,0.0319,0.0055,0.25,0.0027
2024-06-29:03,7,4,0.0340,0.0052,0.24,0.0026
2024-06-29:02,9,6,0.0356,0.0055,0.24,0.0027
2024-06-29:01,8,3,0.0373,0.0055,0.24,0.0026
2024-06-28:24,4,1,0.0421,0.0062,0.24,0.0032
2024-06-28:23,5,3,0.0481,0.0066,0.24,0.0036
2024-06-28:22,8,4,0.0548,0.0068,0.24,0.0038
2024-06-28:21,5,1,0.0537,0.0072,0.26,0.0037
2024-06-28:20,5,2,0.0558,0.0074,0.28,0.0044
2024-06-28:19,6,3,0.0569,0.0088,0.28,0.0049
