tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,5,,0.0181,0.0067,0.10,0.0021
2024-06-30:23,0,,0.0201,0.0067,0.13,0.0020
2024-06-30:22,5,,0.0237,0.0068,0.13,0.0020
2024-06-30:21,6,,0.0243,0.0073,0.15,0.0021
2024-06-30:20,11,6,0.0249,0.0071,0.13,0.0021
2024-06-30:19,11,8,0.0255,0.0071,0.13,0.0020
2024-06-30:18,6,,0.0270,0.0066,0.12,0.0020
2024-06-30:17,8,6,0.0265,0.0065,0.11,0.0021
2024-06-30:16,1,,0.0214,0.0066,0.11,0.0021
2024-06-30:15,3,,0.0187,0.0063,0.10,0.0021
2024-06-30:14,4,,0.0175,0.0060,0.10,0.0020
2024-06-30:13,5,,0.0179,0.0060,0.11,0.0021
2024-06-30:12,4,,0.0172,0.0056,0.10,0.0021
2024-06-30:11,2,,0.0157,0.0051,0.10,0.0021
2024-06-30:10,3,,0.0176,0.0046,0.10,0.0020
2024-06-30:09,4,3,0.0183,0.0044,0.10,0.0020
2024-06-30:08,4,,0.0182,0.0043,0.10,0.0021
2024-06-30:07,1,,0.0190,0.0040,0.10,0.0020
2024-06-30:06,6,6,0.0210,0.0039,0.10,0.0021
2024-06-30:05,13,6,0.0227,0.0040,0.10,0.0021
2024-06-30:04,16,8,0.0230,0.0040,0.10,0.0020
2024-06-30:03,16,5,0.0214,0.0042,0.10,0.0020
2024-06-30:02,17,8,0.0207,0.0042,0.10,0.0021
2024-06-30:01,32,13,0.0217,0.0042,0.10,0.0021
2024-06-29:24,12,7,0.0219,0.0043,0.10,0.0020
2024-06-29:23,7,7,0.0217,0.0047,0.12,0.0021
2024-06-29:22,0,,0.0203,0.0056,0.13,0.0021
2024-06-29:21,,2,0.0191,0.0064,0.13,0.0021
2024-06-29:20,,3,0.0199,0.0074,0.15,0.0022
2024-06-29:19,0,0,0.0182,0.0085,0.16,0.0021
2024-06-29:18,6,1,0.0186,0.0083,0.16,0.0022
2024-06-29:17,4,4,0.0246,0.0080,0.18,0.0021
2024-06-29:16,1,,0.0311,0.0088,0.22,0.0021
2024-06-29:15,,,0.0387,0.0113,0.27,0.0022
2024-06-29:14,9,,0.0474,0.0097,0.25,0.0023
2024-06-29:13,13,,0.0517,0.0075,0.22,0.0022
