tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,28,22,0.0498,0.0094,0.38,0.0024
2024-04-30:23,35,24,0.0515,0.0099,0.46,0.0028
2024-04-30:22,32,27,0.0521,0.0102,0.54,0.0032
2024-04-30:21,24,20,0.0389,0.0114,0.50,0.0030
2024-04-30:20,23,19,0.0351,0.0094,0.35,0.0026
2024-04-30:19,21,12,0.0375,0.0094,0.33,0.0024
2024-04-30:18,20,9,0.0391,0.0096,0.33,0.0025
2024-04-30:17,22,11,0.0393,0.0082,0.31,0.0022
2024-04-30:16,18,13,0.0424,0.0083,0.30,0.0020
2024-04-30:15,17,7,0.0420,0.0080,0.29,0.0024
2024-04-30:14,20,10,0.0414,0.0076,0.29,0.0024
2024-04-30:13,7,5,0.0474,0.0075,0.28,0.0025
2024-04-30:12,9,5,0.0429,0.0075,0.29,0.0025
2024-04-30:11,10,4,0.0375,0.0082,0.30,0.0023
2024-04-30:10,11,3,0.0357,0.0082,0.30,0.0022
2024-04-30:09,13,5,0.0338,0.0098,0.31,0.0022
2024-04-30:08,15,8,0.0314,0.0098,0.31,0.0024
2024-04-30:07,17,9,0.0274,0.0108,0.31,0.0025
2024-04-30:06,15,7,0.0289,0.0087,0.30,0.0025
2024-04-30:05,16,5,0.0304,0.0080,0.30,0.0026
2024-04-30:04,14,6,0.0358,0.0078,0.30,0.0024
2024-04-30:03,13,5,0.0387,0.0073,0.30,0.0023
2024-04-30:02,12,5,0.0412,0.0072,0.30,0.0023
2024-04-30:01,12,7,0.0369,0.0085,0.30,0.0025
2024-04-29:24,13,6,0.0401,0.0085,0.31,0.0023
2024-04-29:23,8,5,0.0378,0.0101,0.32,0.0023
2024-04-29:22,10,4,0.0431,0.0095,0.35,0.0023
2024-04-29:21,8,6,0.0460,0.0098,0.31,0.0026
2024-04-29:20,7,6,0.0476,0.0095,0.31,0.0027
2024-04-29:19,5,3,0.0472,0.0101,0.32,0.0024
2024-04-29:18,5,4,0.0458,0.0100,0.31,0.0026
2024-04-29:17,8,5,0.0444,0.0105,0.32,0.0025
2024-04-29:16,5,4,0.0443,0.0094,0.31,0.0024
2024-04-29:15,12,6,0.0441,0.0096,0.31,0.0024
2024-04-29:14,11,7,0.0453,0.0096,0.32,0.0023
2024-04-29:13,15,14,0.0434,0.0106,0.32,0.0023
2024-04-29:12,20,18,0.0459,0.0105,0.33,0.0026
2024-04-29:11,23,18,0.0479,0.0097,0.34,0.0025
2024-04-29:10,25,20,0.0454,0.0092,0.36,0.0023
2024-04-29:09,24,21,0.0402,0.0099,0.39,0.0026
2024-04-29:08,23,22,0.0363,0.0101,0.37,0.0022
2024-04-29:07,25,22,0.0322,0.0098,0.35,0.0024
2024-04-29:06,25,23,0.0355,0.0112,0.34,0.0024
2024-04-29:05,29,23,0.0435,0.0095,0.35,0.0023
2024-04-29:04,27,24,0.0492,0.0091,0.35,0.0028
2024-04-29:03,24,19,0.0568,0.0086,0.35,0.0031
2024-04-29:02,25,17,0.0631,0.0074,0.34,0.0032
2024-04-29:01,26,21,0.0668,0.0072,0.35,0.0033
2024-04-28:24,30,20,0.0707,0.0081,0.37,0.0033
2024-04-28:23,26,19,0.0776,0.0079,0.36,0.0035
2024-04-28:22,28,18,0.0813,0.0077,0.37,0.0035
2024-04-28:21,32,21,0.0780,0.0085,0.39,0.0036
2024-04-28:20,37,21,0.0803,0.0092,0.42,0.0034
2024-04-28:19,40,25,0.0848,0.0099,0.46,0.0038
2024-04-28:18,42,25,0.0886,0.0087,0.43,0.0035
2024-04-28:17,38,22,0.0894,0.0077,0.43,0.0036
2024-04-28:16,41,23,0.0926,0.0077,0.53,0.0044
2024-04-28:15,36,18,0.0830,0.0070,0.36,0.0030
2024-04-28:14,34,20,0.0826,0.0076,0.37,0.0030
2024-04-28:13,42,22,0.0784,0.0079,0.41,0.0033
2024-04-28:12,32,21,0.0678,0.0078,0.41,0.0032
2024-04-28:11,22,15,0.0484,0.0077,0.36,0.0026
2024-04-28:10,17,12,0.0384,0.0078,0.33,0.0024
2024-04-28:09,20,15,0.0302,0.0079,0.34,0.0024
2024-04-28:08,21,16,0.0225,0.0092,0.35,0.0027
2024-04-28:07,22,18,0.0140,0.0098,0.36,0.0025
2024-04-28:06,25,20,0.0174,0.0090,0.37,0.0023
2024-04-28:05,27,24,0.0189,0.0092,0.41,0.0022
2024-04-28:04,29,24,0.0197,0.0095,0.47,0.0025
2024-04-28:03,34,29,0.0223,0.0098,0.52,0.0024
2024-04-28:02,35,29,0.0256,0.0108,0.60,0.0024
2024-04-28:01,38,32,0.0286,0.0119,0.66,0.0025
2024-04-27:24,39,33,0.0368,0.0114,0.72,0.0028
2024-04-27:23,40,32,0.0428,0.0117,0.76,0.0032
2024-04-27:22,43,29,0.0467,0.0140,0.83,0.0038
2024-04-27:21,44,27,0.0731,0.0139,0.75,0.0045
2024-04-27:20,44,32,0.0832,0.0149,0.97,0.0075
2024-04-27:19,37,20,0.0792,0.0113,0.67,0.0053
2024-04-27:18,31,20,0.0700,0.0071,0.33,0.0025
2024-04-27:17,22,13,0.0724,0.0063,0.29,0.0022
2024-04-27:16,21,16,0.0728,0.0059,0.28,0.0025
2024-04-27:15,21,13,0.0709,0.0061,0.28,0.0025
2024-04-27:14,22,13,0.0698,0.0063,0.30,0.0024
2024-04-27:13,18,11,0.0681,0.0066,0.31,0.0026
2024-04-27:12,20,18,0.0661,0.0073,0.32,0.0026
2024-04-27:11,16,12,0.0536,0.0084,0.36,0.0029
2024-04-27:10,17,9,0.0376,0.0089,0.41,0.0027
2024-04-27:09,17,17,0.0195,0.0094,0.49,0.0027
2024-04-27:08,22,21,0.0133,0.0103,0.53,0.0023
2024-04-27:07,23,,0.0115,0.0113,0.58,0.0025
2024-04-27:06,27,26,0.0125,0.0106,0.66,0.0025
2024-04-27:05,31,31,0.0158,0.0105,0.72,0.0023
2024-04-27:04,37,33,0.0179,0.0109,0.79,0.0023
2024-04-27:03,46,40,0.0168,0.0116,0.85,0.0024
2024-04-27:02,48,43,0.0213,0.0122,0.90,0.0026
2024-04-27:01,50,47,0.0302,0.0131,0.95,0.0026
2024-04-26:24,51,45,0.0317,0.0156,0.93,0.0027
2024-04-26:23,56,50,0.0402,0.0164,1.00,0.0028
2024-04-26:22,56,47,0.0559,0.0169,1.05,0.0036
2024-04-26:21,49,38,0.0591,0.0220,0.84,0.0044
2024-04-26:20,50,41,0.0909,0.0197,0.76,0.0068
2024-04-26:19,67,54,0.1229,0.0224,1.08,0.0109
2024-04-26:18,53,39,0.1129,0.0196,1.31,0.0116
2024-04-26:17,38,27,0.0697,0.0106,0.63,0.0043
2024-04-26:16,32,17,0.0630,0.0087,0.43,0.0033
2024-04-26:15,37,20,0.0605,0.0092,0.44,0.0031
2024-04-26:14,36,20,0.0568,0.0088,0.42,0.0029
