tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,11,7,0.0566,0.0041,0.23,0.0022
2024-04-30:23,9,,0.0575,0.0046,0.24,0.0022
2024-04-30:22,11,6,0.0575,0.0053,0.25,0.0022
2024-04-30:21,13,9,0.0513,0.0081,0.28,0.0024
2024-04-30:20,21,12,0.0548,0.0098,0.29,0.0023
2024-04-30:19,29,20,0.0616,0.0094,0.27,0.0023
2024-04-30:18,35,23,0.0659,0.0147,0.31,0.0026
2024-04-30:17,31,19,0.0587,0.0177,0.30,0.0028
2024-04-30:16,31,22,0.0581,0.0149,0.26,0.0025
2024-04-30:15,33,18,0.0497,0.0185,0.28,0.0025
2024-04-30:14,33,26,0.0419,0.0228,0.29,0.0024
2024-04-30:13,31,21,0.0478,0.0179,0.28,0.0023
2024-04-30:12,27,17,0.0514,0.0126,0.27,0.0024
2024-04-30:11,27,15,0.0415,0.0139,0.29,0.0024
2024-04-30:10,31,18,0.0314,0.0182,0.30,0.0024
2024-04-30:09,21,13,0.0322,0.0139,0.29,0.0024
2024-04-30:08,23,14,0.0359,0.0085,0.26,0.0023
2024-04-30:07,21,14,0.0331,0.0112,0.27,0.0024
2024-04-30:06,19,11,0.0333,0.0077,0.26,0.0023
2024-04-30:05,13,11,0.0411,0.0057,0.24,0.0024
2024-04-30:04,19,11,0.0436,0.0052,0.24,0.0024
2024-04-30:03,29,16,0.0416,0.0060,0.25,0.0026
2024-04-30:02,29,19,0.0372,0.0066,0.28,0.0026
2024-04-30:01,35,25,0.0358,0.0074,0.29,0.0029
2024-04-29:24,15,1,0.0474,0.0066,0.28,0.0023
2024-04-29:23,15,,0.0541,0.0055,0.27,0.0021
2024-04-29:22,11,7,0.0551,0.0060,0.27,0.0022
2024-04-29:21,9,7,0.0603,0.0050,0.26,0.0021
2024-04-29:20,17,5,0.0582,0.0064,0.27,0.0021
2024-04-29:19,9,4,0.0569,0.0076,0.28,0.0023
2024-04-29:18,11,6,0.0595,0.0066,0.26,0.0022
2024-04-29:17,11,7,0.0613,0.0063,0.26,0.0021
2024-04-29:16,9,5,0.0595,0.0073,0.26,0.0021
2024-04-29:15,9,6,0.0531,0.0107,0.29,0.0021
2024-04-29:14,15,7,0.0567,0.0089,0.28,0.0023
2024-04-29:13,9,7,0.0574,0.0082,0.27,0.0024
2024-04-29:12,11,,,,,
2024-04-29:11,23,17,,,,
2024-04-29:10,23,17,0.0452,0.0157,0.31,0.0023
2024-04-29:09,31,17,0.0343,0.0227,0.36,0.0023
2024-04-29:08,31,19,0.0367,0.0200,0.34,0.0023
2024-04-29:07,31,16,0.0437,0.0156,0.30,0.0024
2024-04-29:06,33,17,0.0526,0.0089,0.27,0.0025
2024-04-29:05,39,20,0.0544,0.0075,0.28,0.0026
2024-04-29:04,33,18,0.0598,0.0053,0.28,0.0026
2024-04-29:03,41,19,0.0633,0.0050,0.28,0.0027
2024-04-29:02,41,14,0.0637,0.0053,0.28,0.0028
2024-04-29:01,39,21,0.0665,0.0051,0.29,0.0029
2024-04-28:24,55,21,0.0691,0.0056,0.30,0.0030
2024-04-28:23,55,23,0.0660,0.0070,0.31,0.0036
2024-04-28:22,57,23,0.0705,0.0071,0.31,0.0043
2024-04-28:21,47,24,0.0724,0.0095,0.34,0.0058
2024-04-28:20,41,22,0.0782,0.0081,0.33,0.0041
2024-04-28:19,31,18,0.0720,0.0085,0.33,0.0031
2024-04-28:18,23,11,0.0700,0.0091,0.29,0.0032
2024-04-28:17,23,12,0.0761,0.0085,0.28,0.0035
2024-04-28:16,27,15,0.0708,0.0080,0.25,0.0036
2024-04-28:15,27,13,0.0666,0.0092,0.26,0.0035
2024-04-28:14,43,18,0.0766,0.0131,0.33,0.0037
2024-04-28:13,45,27,0.0810,0.0190,0.38,0.0039
2024-04-28:12,61,33,0.0841,0.0193,0.44,0.0038
2024-04-28:11,59,30,0.0827,0.0175,0.44,0.0038
2024-04-28:10,61,38,0.0697,0.0170,0.49,0.0033
2024-04-28:09,57,36,0.0487,0.0208,0.52,0.0032
2024-04-28:08,51,29,0.0469,0.0189,0.50,0.0030
2024-04-28:07,47,30,0.0407,0.0191,0.50,0.0030
2024-04-28:06,41,24,0.0586,0.0107,0.42,0.0027
2024-04-28:05,39,23,0.0616,0.0092,0.40,0.0028
2024-04-28:04,43,22,0.0654,0.0092,0.43,0.0029
2024-04-28:03,37,19,0.0683,0.0091,0.42,0.0029
2024-04-28:02,33,18,0.0675,0.0091,0.39,0.0029
2024-04-28:01,35,14,0.0688,0.0099,0.38,0.0030
2024-04-27:24,33,18,0.0733,0.0102,0.38,0.0031
2024-04-27:23,35,16,0.0767,0.0108,0.40,0.0032
2024-04-27:22,39,23,0.0849,0.0135,0.48,0.0037
2024-04-27:21,45,25,0.0845,0.0182,0.51,0.0040
2024-04-27:20,45,22,0.0989,0.0133,0.47,0.0043
2024-04-27:19,41,23,0.1012,0.0144,0.46,0.0044
2024-04-27:18,45,25,0.1041,0.0149,0.42,0.0043
2024-04-27:17,53,24,0.1062,0.0146,0.36,0.0037
2024-04-27:16,61,23,0.1038,0.0167,0.33,0.0031
2024-04-27:15,71,30,0.1143,0.0181,0.35,0.0032
2024-04-27:14,67,28,0.1098,0.0154,0.36,0.0032
2024-04-27:13,63,28,0.1058,0.0123,0.37,0.0032
2024-04-27:12,59,33,0.0971,0.0134,0.40,0.0033
2024-04-27:11,65,27,0.0832,0.0114,0.39,0.0034
2024-04-27:10,61,32,0.0618,0.0159,0.42,0.0034
2024-04-27:09,45,35,0.0213,0.0292,0.42,0.0028
2024-04-27:08,43,24,0.0177,0.0236,0.44,0.0025
2024-04-27:07,39,21,0.0118,0.0227,0.43,0.0027
2024-04-27:06,33,19,0.0228,0.0146,0.36,0.0024
2024-04-27:05,35,18,0.0280,0.0115,0.32,0.0023
2024-04-27:04,29,15,0.0297,0.0108,0.30,0.0023
2024-04-27:03,29,17,0.0302,0.0124,0.28,0.0023
2024-04-27:02,35,23,0.0225,0.0172,0.30,0.0023
2024-04-27:01,35,21,0.0238,0.0163,0.32,0.0025
2024-04-26:24,31,21,0.0278,0.0171,0.33,0.0025
2024-04-26:23,35,16,0.0301,0.0194,0.31,0.0025
