tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,9,4,0.0332,0.0098,0.29,0.0023
2024-02-29:23,7,4,0.0374,0.0092,0.28,0.0023
2024-02-29:22,4,,0.0385,0.0112,0.28,0.0023
2024-02-29:21,5,5,0.0374,0.0078,0.29,0.0022
2024-02-29:20,5,3,0.0318,0.0367,0.32,0.0023
2024-02-29:19,9,4,0.0316,0.0143,0.36,0.0022
2024-02-29:18,8,5,0.0279,0.0206,0.38,0.0022
2024-02-29:17,8,7,0.0281,0.0054,0.36,0.0022
2024-02-29:16,11,8,0.0257,0.0010,0.38,0.0024
2024-02-29:15,17,10,0.0267,0.0010,0.39,0.0024
2024-02-29:14,26,13,0.0241,0.0010,0.39,0.0023
2024-02-29:13,30,15,0.0207,0.0010,0.43,0.0024
2024-02-29:12,29,13,0.0149,0.0150,0.44,0.0025
2024-02-29:11,24,10,,,,
2024-02-29:10,25,10,0.0326,0.0010,0.30,0.0025
2024-02-29:09,27,13,0.0303,0.0010,0.32,0.0028
2024-02-29:08,26,14,0.0203,0.0010,0.35,0.0030
2024-02-29:07,26,13,0.0254,0.0010,0.33,0.0031
2024-02-29:06,26,14,0.0280,0.0010,0.30,0.0028
2024-02-29:05,25,13,0.0273,0.0010,0.29,0.0026
2024-02-29:04,27,13,0.0269,0.0010,0.29,0.0024
2024-02-29:03,30,14,0.0225,0.0010,0.31,0.0024
2024-02-29:02,32,13,0.0210,0.0010,0.32,0.0024
2024-02-29:01,33,15,0.0195,0.0010,0.36,0.0024
2024-02-28:24,34,15,0.0151,0.0010,0.37,0.0024
2024-02-28:23,36,17,0.0139,0.0010,0.37,0.0026
2024-02-28:22,37,16,0.0180,0.0010,0.37,0.0024
2024-02-28:21,34,15,0.0129,0.0010,0.41,0.0024
2024-02-28:20,26,12,0.0195,0.0010,0.47,0.0025
2024-02-28:19,23,9,0.0383,0.0010,0.32,0.0027
2024-02-28:18,25,9,0.0463,0.0010,0.30,0.0027
2024-02-28:17,28,8,0.0461,0.0010,0.30,0.0026
2024-02-28:16,28,7,0.0445,0.0010,0.28,0.0026
2024-02-28:15,26,7,0.0462,0.0010,0.28,0.0023
2024-02-28:14,26,9,0.0419,0.0010,0.28,0.0024
2024-02-28:13,27,9,0.0413,0.0010,0.30,0.0024
2024-02-28:12,30,10,0.0422,0.0010,0.29,0.0024
2024-02-28:11,31,11,0.0363,0.0010,0.32,0.0024
2024-02-28:10,33,12,0.0334,0.0087,0.33,0.0026
2024-02-28:09,32,12,0.0285,0.0127,0.36,0.0026
2024-02-28:08,29,11,0.0280,0.0115,0.34,0.0024
2024-02-28:07,28,11,0.0281,0.0110,0.32,0.0024
2024-02-28:06,28,12,0.0312,0.0062,0.30,0.0023
2024-02-28:05,28,11,0.0329,0.0052,0.30,0.0024
2024-02-28:04,27,10,0.0343,0.0048,0.28,0.0024
2024-02-28:03,27,8,0.0361,0.0046,0.29,0.0024
2024-02-28:02,28,8,0.0371,0.0040,0.26,0.0024
2024-02-28:01,29,9,0.0362,0.0049,0.27,0.0023
2024-02-27:24,30,11,0.0360,0.0059,0.25,0.0024
2024-02-27:23,32,14,0.0359,0.0096,0.26,0.0026
2024-02-27:22,35,15,0.0326,0.0121,0.30,0.0026
2024-02-27:21,37,17,0.0314,0.0125,0.31,0.0024
2024-02-27:20,35,16,0.0202,0.0174,0.40,0.0024
2024-02-27:19,31,15,0.0303,0.0152,0.39,0.0024
2024-02-27:18,30,13,0.0381,0.0103,0.32,0.0023
2024-02-27:17,30,12,,,,
2024-02-27:16,30,13,0.0409,,0.31,0.0023
2024-02-27:15,29,12,0.0421,,0.32,0.0023
2024-02-27:14,29,11,0.0414,,0.31,0.0023
2024-02-27:13,28,12,0.0418,,0.31,0.0023
2024-02-27:12,25,11,0.0402,,0.29,0.0024
2024-02-27:11,25,10,0.0399,,0.29,0.0022
2024-02-27:10,28,11,0.0393,0.0010,0.30,0.0024
2024-02-27:09,28,10,0.0258,0.0010,0.35,0.0024
2024-02-27:08,21,9,0.0078,0.0010,0.48,0.0025
2024-02-27:07,16,9,0.0123,0.0010,0.36,0.0024
2024-02-27:06,14,8,0.0181,0.0010,0.35,0.0024
2024-02-27:05,13,8,0.0283,0.0010,0.29,0.0022
2024-02-27:04,12,7,0.0330,0.0010,0.27,0.0022
2024-02-27:03,13,7,0.0316,0.0010,0.26,0.0023
2024-02-27:02,13,9,0.0344,0.0010,0.27,0.0023
2024-02-27:01,13,8,0.0399,0.0010,0.28,0.0024
2024-02-26:24,13,6,0.0393,0.0010,0.29,0.0024
2024-02-26:23,15,8,0.0369,0.0010,0.31,0.0024
2024-02-26:22,15,8,0.0358,0.0010,0.30,0.0025
2024-02-26:21,15,8,0.0308,0.0010,0.31,0.0025
2024-02-26:20,15,6,0.0283,0.0010,0.33,0.0025
2024-02-26:19,14,5,0.0295,0.0010,0.35,0.0025
2024-02-26:18,13,5,0.0306,0.0010,0.35,0.0024
2024-02-26:17,13,4,0.0338,0.0010,0.30,0.0023
2024-02-26:16,14,6,0.0326,0.0010,0.31,0.0023
2024-02-26:15,13,6,0.0347,0.0010,0.33,0.0022
2024-02-26:14,12,6,0.0330,0.0010,0.30,0.0023
2024-02-26:13,14,6,0.0340,0.0010,0.30,0.0022
2024-02-26:12,15,9,0.0309,0.0010,0.31,0.0022
2024-02-26:11,18,10,0.0280,0.0010,0.31,0.0025
2024-02-26:10,20,9,0.0248,0.0063,0.32,0.0025
2024-02-26:09,18,10,0.0229,0.0089,0.34,0.0023
