tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,24,5,0.0236,0.0111,0.17,0.0017
2024-06-30:23,19,3,0.0195,0.0134,0.20,0.0020
2024-06-30:22,15,,0.0180,0.0110,0.17,0.0017
2024-06-30:21,13,1,0.0232,0.0098,0.14,0.0015
2024-06-30:20,21,7,0.0248,0.0104,0.14,0.0014
2024-06-30:19,40,27,0.0207,0.0095,0.13,0.0018
2024-06-30:18,23,12,0.0245,0.0131,0.14,0.0014
2024-06-30:17,17,5,0.0314,0.0060,0.11,0.0013
2024-06-30:16,24,4,0.0317,0.0055,0.10,0.0013
2024-06-30:15,15,2,0.0241,0.0065,0.09,0.0012
2024-06-30:14,18,3,0.0224,0.0048,0.09,0.0013
2024-06-30:13,3,2,0.0290,0.0035,0.10,0.0012
2024-06-30:12,5,2,0.0282,0.0035,0.09,0.0012
2024-06-30:11,10,,0.0255,0.0036,0.09,0.0013
2024-06-30:10,11,,0.0236,0.0040,0.09,0.0011
2024-06-30:09,3,,0.0237,0.0036,0.09,0.0013
2024-06-30:08,5,0,0.0237,0.0042,0.09,0.0011
2024-06-30:07,8,2,0.0245,0.0036,0.09,0.0011
2024-06-30:06,27,5,0.0258,0.0033,0.10,0.0011
2024-06-30:05,17,6,0.0283,0.0032,0.10,0.0012
2024-06-30:04,26,4,0.0287,0.0033,0.10,0.0012
2024-06-30:03,10,2,0.0273,0.0032,0.10,0.0011
2024-06-30:02,20,3,0.0267,0.0032,0.10,0.0010
2024-06-30:01,15,4,0.0265,0.0033,0.10,0.0012
2024-06-29:24,20,3,0.0257,0.0035,0.10,0.0013
2024-06-29:23,34,4,0.0250,0.0038,0.10,0.0011
2024-06-29:22,23,4,0.0270,0.0037,0.10,0.0012
2024-06-29:21,18,0,0.0267,0.0034,0.09,0.0011
2024-06-29:20,26,,0.0231,0.0046,0.09,0.0012
2024-06-29:19,39,,0.0272,0.0051,0.11,0.0014
2024-06-29:18,16,,0.0252,0.0052,0.10,0.0013
2024-06-29:17,25,0,0.0258,0.0053,0.11,0.0013
2024-06-29:16,10,1,0.0355,0.0048,0.16,0.0012
2024-06-29:15,17,2,0.0458,0.0069,0.21,0.0013
2024-06-29:14,13,2,0.0517,0.0053,0.19,0.0013
2024-06-29:13,14,5,0.0463,0.0105,0.20,0.0014
2024-06-29:12,15,6,0.0454,0.0104,0.20,0.0013
2024-06-29:11,17,6,0.0482,0.0087,0.16,0.0013
2024-06-29:10,14,5,0.0420,0.0132,0.18,0.0014
2024-06-29:09,10,4,0.0476,0.0069,0.15,0.0011
2024-06-29:08,10,8,0.0460,0.0093,0.15,0.0013
2024-06-29:07,13,6,0.0367,0.0093,0.16,0.0012
2024-06-29:06,17,6,0.0412,0.0054,0.15,0.0012
2024-06-29:05,9,9,0.0372,0.0095,0.16,0.0011
2024-06-29:04,17,11,0.0397,0.0078,0.15,0.0013
2024-06-29:03,10,6,0.0467,0.0097,0.15,0.0013
2024-06-29:02,13,7,0.0507,0.0076,0.17,0.0013
2024-06-29:01,14,8,0.0501,0.0067,0.19,0.0014
2024-06-28:24,12,4,0.0563,0.0077,0.18,0.0015
2024-06-28:23,12,7,0.0629,0.0063,0.17,0.0014
2024-06-28:22,11,6,0.0677,0.0075,0.20,0.0015
2024-06-28:21,10,5,0.0713,0.0079,0.17,0.0016
2024-06-28:20,12,9,0.0762,0.0090,0.18,0.0018
2024-06-28:19,15,10,0.0857,0.0099,0.18,0.0018
2024-06-28:18,13,9,0.0800,0.0090,0.18,0.0015
2024-06-28:17,14,10,0.0806,0.0081,0.19,0.0016
2024-06-28:16,7,,0.0707,0.0075,0.17,0.0015
2024-06-28:15,9,,0.0701,0.0069,0.17,0.0015
2024-06-28:14,12,9,0.0641,0.0045,0.17,0.0014
2024-06-28:13,11,9,0.0590,0.0055,0.19,0.0013
2024-06-28:12,14,11,0.0581,0.0068,0.21,0.0013
2024-06-28:11,20,14,0.0494,0.0128,0.24,0.0020
2024-06-28:10,22,13,0.0358,0.0158,0.25,0.0017
2024-06-28:09,25,22,0.0284,0.0148,0.27,0.0017
2024-06-28:08,25,15,0.0265,0.0100,0.27,0.0016
2024-06-28:07,25,17,0.0224,0.0099,0.28,0.0012
2024-06-28:06,21,13,0.0255,0.0089,0.26,0.0014
2024-06-28:05,21,14,0.0323,0.0071,0.26,0.0015
2024-06-28:04,26,15,0.0370,0.0074,0.26,0.0015
2024-06-28:03,29,15,0.0398,0.0068,0.27,0.0014
2024-06-28:02,23,14,0.0387,0.0119,0.26,0.0014
2024-06-28:01,22,18,0.0395,0.0123,0.26,0.0018
2024-06-27:24,17,10,0.0452,0.0085,0.25,0.0014
2024-06-27:23,16,11,0.0493,0.0073,0.25,0.0011
2024-06-27:22,17,10,0.0519,0.0091,0.25,0.0013
