tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,6,,0.0260,0.0055,0.19,0.0017
2024-06-30:23,6,2,0.0264,0.0060,0.20,0.0017
2024-06-30:22,6,3,0.0260,0.0061,0.21,0.0017
2024-06-30:21,9,3,0.0258,0.0062,0.21,0.0017
2024-06-30:20,9,3,0.0294,0.0057,0.22,0.0017
2024-06-30:19,7,3,0.0321,0.0051,0.20,0.0017
2024-06-30:18,6,6,0.0321,0.0051,0.19,0.0018
2024-06-30:17,4,,0.0315,0.0047,0.18,0.0017
2024-06-30:16,2,0,0.0296,0.0048,0.18,0.0017
2024-06-30:15,1,0,0.0259,0.0045,0.16,0.0018
2024-06-30:14,3,,0.0227,0.0048,0.16,0.0018
2024-06-30:13,6,,0.0269,0.0041,0.17,0.0018
2024-06-30:12,5,,0.0229,0.0040,0.17,0.0018
2024-06-30:11,3,,0.0183,0.0046,0.18,0.0018
2024-06-30:10,4,,0.0185,0.0049,0.18,0.0018
2024-06-30:09,5,,0.0190,0.0044,0.17,0.0018
2024-06-30:08,7,,0.0195,0.0036,0.16,0.0018
2024-06-30:07,7,1,0.0219,0.0032,0.16,0.0018
2024-06-30:06,7,3,0.0235,0.0030,0.15,0.0019
2024-06-30:05,9,1,0.0244,0.0032,0.15,0.0019
2024-06-30:04,12,0,0.0231,0.0033,0.15,0.0019
2024-06-30:03,15,3,0.0223,0.0034,0.15,0.0020
2024-06-30:02,12,6,0.0219,0.0032,0.14,0.0020
2024-06-30:01,18,6,0.0228,0.0032,0.15,0.0020
2024-06-29:24,16,3,0.0235,0.0036,0.15,0.0021
2024-06-29:23,3,,0.0221,0.0043,0.16,0.0021
2024-06-29:22,4,,0.0190,0.0050,0.16,0.0022
2024-06-29:21,3,,0.0176,0.0075,0.20,0.0021
2024-06-29:20,1,0,0.0164,0.0083,0.20,0.0021
2024-06-29:19,4,0,0.0185,0.0073,0.18,0.0021
2024-06-29:18,4,1,0.0218,0.0091,0.22,0.0021
2024-06-29:17,8,3,0.0268,0.0120,0.26,0.0021
2024-06-29:16,12,5,0.0336,0.0125,0.28,0.0022
2024-06-29:15,22,8,0.0410,0.0115,0.26,0.0022
2024-06-29:14,25,6,0.0524,0.0071,0.24,0.0021
2024-06-29:13,21,7,0.0581,0.0064,0.24,0.0021
2024-06-29:12,26,4,0.0589,0.0061,0.23,0.0021
2024-06-29:11,9,3,0.0532,0.0069,0.24,0.0020
2024-06-29:10,7,4,0.0523,0.0064,0.23,0.0020
2024-06-29:09,8,6,0.0414,0.0086,0.18,0.0021
2024-06-29:08,11,7,0.0389,0.0087,0.19,0.0021
2024-06-29:07,11,9,0.0352,0.0083,0.19,0.0022
2024-06-29:06,8,6,0.0318,0.0090,0.19,0.0023
2024-06-29:05,6,4,0.0370,0.0074,0.18,0.0023
2024-06-29:04,8,5,0.0362,0.0078,0.19,0.0023
2024-06-29:03,9,5,0.0342,0.0096,0.20,0.0024
2024-06-29:02,9,8,0.0343,0.0105,0.20,0.0024
2024-06-29:01,7,,0.0377,0.0100,0.19,0.0024
2024-06-28:24,5,,0.0425,0.0085,0.17,0.0024
2024-06-28:23,11,8,0.0420,0.0107,0.19,0.0024
2024-06-28:22,12,3,0.0414,0.0135,0.20,0.0024
2024-06-28:21,8,4,0.0392,0.0171,0.22,0.0025
2024-06-28:20,6,5,0.0453,0.0146,0.20,0.0024
2024-06-28:19,16,5,0.0527,0.0139,0.19,0.0024
2024-06-28:18,20,6,0.0589,0.0108,0.17,0.0024
2024-06-28:17,13,8,0.0692,0.0086,0.17,0.0022
2024-06-28:16,20,11,0.0805,0.0094,0.20,0.0025
2024-06-28:15,23,11,0.0828,0.0101,0.23,0.0024
2024-06-28:14,14,10,0.0755,0.0095,0.20,0.0023
