tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,22,19,0.0453,0.0159,0.33,0.0043
2024-04-30:23,35,27,0.0491,0.0167,0.32,0.0038
2024-04-30:22,37,27,0.0484,0.0193,0.42,0.0031
2024-04-30:21,37,29,0.0471,0.0190,0.40,0.0040
2024-04-30:20,40,28,0.0400,0.0234,0.57,0.0043
2024-04-30:19,36,23,0.0380,0.0250,0.48,0.0040
2024-04-30:18,36,24,0.0491,0.0229,0.54,0.0047
2024-04-30:17,37,26,0.0514,0.0211,0.65,0.0056
2024-04-30:16,29,18,0.0491,0.0191,0.43,0.0043
2024-04-30:15,21,11,0.0473,0.0175,0.27,0.0033
2024-04-30:14,21,10,0.0464,0.0157,0.33,0.0035
2024-04-30:13,22,16,0.0423,0.0169,0.33,0.0025
2024-04-30:12,24,15,0.0374,0.0205,0.34,0.0034
2024-04-30:11,25,14,0.0323,0.0256,0.35,0.0042
2024-04-30:10,24,11,0.0333,0.0211,0.39,0.0035
2024-04-30:09,30,14,0.0248,0.0234,0.39,0.0035
2024-04-30:08,30,16,0.0109,0.0355,0.33,0.0050
2024-04-30:07,28,17,0.0105,0.0295,0.34,0.0025
2024-04-30:06,27,13,0.0152,0.0275,0.35,0.0018
2024-04-30:05,25,11,0.0339,0.0122,0.31,0.0015
2024-04-30:04,21,13,0.0355,0.0112,0.32,0.0020
2024-04-30:03,22,12,0.0371,0.0110,0.32,0.0017
2024-04-30:02,19,11,0.0407,0.0105,0.31,0.0020
2024-04-30:01,17,12,0.0426,0.0103,0.32,0.0018
2024-04-29:24,18,10,0.0437,0.0110,0.32,0.0020
2024-04-29:23,16,10,0.0442,0.0123,0.32,0.0021
2024-04-29:22,17,10,0.0444,0.0124,0.36,0.0021
2024-04-29:21,13,10,0.0445,0.0133,0.35,0.0019
2024-04-29:20,14,9,0.0424,0.0147,0.44,0.0022
2024-04-29:19,17,12,0.0388,0.0172,0.42,0.0021
2024-04-29:18,17,11,0.0393,0.0167,0.38,0.0019
2024-04-29:17,19,11,0.0382,0.0175,0.34,0.0017
2024-04-29:16,15,10,0.0387,0.0183,0.37,0.0018
2024-04-29:15,14,10,0.0377,0.0169,0.39,0.0019
2024-04-29:14,13,9,0.0369,0.0179,0.38,0.0015
2024-04-29:13,12,11,0.0385,0.0169,0.35,0.0022
2024-04-29:12,16,12,0.0395,0.0154,0.35,0.0021
2024-04-29:11,20,17,0.0380,0.0168,0.38,0.0021
2024-04-29:10,27,21,0.0374,0.0173,0.41,0.0020
2024-04-29:09,33,25,0.0369,0.0174,0.45,0.0020
2024-04-29:08,42,28,0.0392,0.0179,0.47,0.0024
2024-04-29:07,44,30,0.0413,0.0150,0.44,0.0025
2024-04-29:06,46,31,0.0445,0.0135,0.47,0.0024
2024-04-29:05,51,31,0.0465,0.0128,0.41,0.0026
