tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,27,17,0.0528,0.0045,0.29,0.0025
2024-04-30:23,28,21,0.0540,0.0060,0.34,0.0027
2024-04-30:22,28,22,0.0540,0.0074,0.39,0.0028
2024-04-30:21,28,23,0.0489,0.0083,0.47,0.0029
2024-04-30:20,28,22,0.0486,0.0099,0.52,0.0038
2024-04-30:19,27,21,0.0479,0.0109,0.51,0.0039
2024-04-30:18,25,19,0.0529,0.0081,0.57,0.0042
2024-04-30:17,21,13,0.0510,0.0093,0.67,0.0051
2024-04-30:16,16,9,0.0503,0.0062,0.41,0.0032
2024-04-30:15,15,9,0.0491,0.0046,0.29,0.0020
2024-04-30:14,14,8,0.0462,0.0042,0.28,0.0020
2024-04-30:13,15,9,0.0475,0.0041,0.29,0.0019
2024-04-30:12,17,11,0.0453,0.0052,0.29,0.0020
2024-04-30:11,19,12,0.0433,0.0067,0.31,0.0020
2024-04-30:10,20,12,0.0365,0.0075,0.32,0.0022
2024-04-30:09,21,11,0.0352,0.0057,0.30,0.0021
2024-04-30:08,22,12,0.0300,0.0083,0.32,0.0022
2024-04-30:07,23,12,0.0163,0.0113,0.35,0.0021
2024-04-30:06,21,10,0.0202,0.0084,0.32,0.0021
2024-04-30:05,20,10,0.0315,0.0055,0.31,0.0021
2024-04-30:04,17,10,0.0416,0.0033,0.30,0.0021
2024-04-30:03,16,9,0.0432,0.0032,0.30,0.0022
2024-04-30:02,15,11,0.0449,0.0035,0.30,0.0021
2024-04-30:01,14,10,0.0449,0.0037,0.28,0.0021
2024-04-29:24,11,9,0.0472,0.0037,0.27,0.0020
2024-04-29:23,10,7,0.0479,0.0041,0.28,0.0020
2024-04-29:22,10,8,0.0499,0.0040,0.28,0.0021
2024-04-29:21,10,8,0.0494,0.0044,0.28,0.0021
2024-04-29:20,10,7,0.0474,0.0049,0.30,0.0019
2024-04-29:19,9,5,0.0457,0.0055,0.30,0.0021
2024-04-29:18,9,6,0.0457,0.0059,0.30,0.0019
2024-04-29:17,7,6,0.0462,0.0057,0.32,0.0021
2024-04-29:16,8,7,0.0457,0.0057,0.31,0.0019
2024-04-29:15,10,8,0.0449,0.0057,0.31,0.0020
