tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,11,8,0.0548,0.0098,0.31,0.0027
2024-04-30:23,13,13,0.0520,0.0116,0.31,0.0030
2024-04-30:22,14,11,0.0480,0.0137,0.32,0.0032
2024-04-30:21,23,16,0.0523,0.0150,0.34,0.0023
2024-04-30:20,29,22,0.0563,0.0186,0.37,0.0027
2024-04-30:19,28,20,0.0518,0.0218,0.36,0.0032
2024-04-30:18,30,21,0.0456,0.0257,0.39,0.0028
2024-04-30:17,27,16,0.0486,0.0227,0.34,0.0030
2024-04-30:16,19,12,0.0521,0.0157,0.32,0.0025
2024-04-30:15,22,14,0.0477,0.0172,0.32,0.0026
2024-04-30:14,22,19,0.0395,0.0236,0.36,0.0030
2024-04-30:13,26,18,0.0427,0.0236,0.36,0.0028
2024-04-30:12,23,14,0.0409,0.0245,0.38,0.0023
2024-04-30:11,19,16,0.0367,0.0252,0.37,0.0023
2024-04-30:10,20,14,0.0353,0.0228,0.36,0.0024
2024-04-30:09,21,12,0.0302,0.0217,0.37,0.0024
2024-04-30:08,21,13,0.0253,0.0226,0.39,0.0027
2024-04-30:07,19,10,0.0262,0.0203,0.37,0.0024
2024-04-30:06,16,9,0.0309,0.0155,0.30,0.0024
2024-04-30:05,20,9,0.0366,0.0111,0.31,0.0021
2024-04-30:04,19,12,0.0379,0.0106,0.31,0.0023
2024-04-30:03,17,11,0.0395,0.0098,0.31,0.0026
2024-04-30:02,18,11,0.0439,0.0098,0.30,0.0026
2024-04-30:01,16,11,0.0480,0.0099,0.31,0.0026
2024-04-29:24,17,11,0.0446,0.0115,0.33,0.0025
2024-04-29:23,19,12,0.0478,0.0116,0.34,0.0027
2024-04-29:22,17,12,0.0415,0.0156,0.37,0.0028
2024-04-29:21,18,11,0.0420,0.0169,0.39,0.0031
2024-04-29:20,16,10,0.0466,0.0157,0.37,0.0025
2024-04-29:19,15,13,0.0478,0.0163,0.38,0.0029
2024-04-29:18,11,9,0.0506,0.0155,0.36,0.0026
2024-04-29:17,,,,,,
2024-04-29:16,13,13,0.0351,0.0316,0.41,0.0030
2024-04-29:15,17,14,0.0339,0.0351,0.40,0.0028
2024-04-29:14,18,14,0.0318,0.0316,0.40,0.0028
2024-04-29:13,15,13,0.0392,0.0262,0.38,0.0026
2024-04-29:12,12,11,0.0461,0.0190,0.35,0.0022
2024-04-29:11,18,14,0.0442,0.0184,0.37,0.0021
2024-04-29:10,26,20,0.0390,0.0200,0.45,0.0026
2024-04-29:09,30,22,0.0424,0.0183,0.44,0.0026
2024-04-29:08,35,27,0.0430,0.0191,0.42,0.0024
2024-04-29:07,39,26,0.0374,0.0225,0.42,0.0026
2024-04-29:06,37,25,0.0456,0.0154,0.37,0.0025
2024-04-29:05,36,25,0.0531,0.0117,0.36,0.0033
2024-04-29:04,36,22,0.0585,0.0105,0.36,0.0031
2024-04-29:03,38,23,0.0592,0.0106,0.36,0.0033
2024-04-29:02,39,25,0.0560,0.0121,0.39,0.0033
2024-04-29:01,43,27,0.0559,0.0140,0.42,0.0038
2024-04-28:24,41,24,0.0566,0.0153,0.40,0.0044
2024-04-28:23,36,22,0.0607,0.0156,0.41,0.0047
2024-04-28:22,34,25,0.0608,0.0164,0.42,0.0039
2024-04-28:21,27,20,0.0554,0.0179,0.43,0.0033
2024-04-28:20,21,19,0.0549,0.0196,0.40,0.0032
2024-04-28:19,26,15,0.0620,0.0181,0.37,0.0035
2024-04-28:18,27,16,0.0724,0.0157,0.37,0.0034
2024-04-28:17,34,19,0.0855,0.0156,0.41,0.0041
2024-04-28:16,36,20,0.0893,0.0170,0.43,0.0040
