아주동 ( 경남 거제시 아주동 산164-1 거제시 옥포 유해대기측정소 ),,,,,,,,,,,,
,,,,,,,,,,,,
날짜,PM10,,PM2.5,,오존,,이산화질소,,일산화탄소,,아황산가스,
(년-월-일:시),(㎍/㎥),,(㎍/㎥),,(ppm),,(ppm),,(ppm),,(ppm),
,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간
2024-04-30:24,좋음,16,좋음,7,보통,0.0464,좋음,0.0066,좋음,0.35,좋음,0.0023
2024-04-30:23,좋음,17,좋음,9,보통,0.0485,좋음,0.0073,좋음,0.35,좋음,0.0025
2024-04-30:22,좋음,21,좋음,12,보통,0.0513,좋음,0.0051,좋음,0.32,좋음,0.0019
2024-04-30:21,좋음,27,보통,17,보통,0.0499,좋음,0.0078,좋음,0.35,좋음,0.0020
2024-04-30:20,좋음,29,보통,22,보통,0.0529,좋음,0.0107,좋음,0.43,좋음,0.0022
2024-04-30:19,보통,33,보통,26,보통,0.0442,좋음,0.0179,좋음,0.46,좋음,0.0024
2024-04-30:18,보통,39,보통,30,보통,0.0389,좋음,0.0141,좋음,0.39,좋음,0.0022
2024-04-30:17,보통,36,보통,31,좋음,0.0246,보통,0.0376,좋음,0.38,좋음,0.0031
2024-04-30:16,보통,33,보통,26,좋음,0.0214,보통,0.0478,좋음,0.37,좋음,0.0034
2024-04-30:15,,,,,,,,,,,,
2024-04-30:14,좋음,27,보통,19,보통,0.0373,좋음,0.0258,좋음,0.37,좋음,0.0024
2024-04-30:13,좋음,27,보통,22,보통,0.0365,좋음,0.0202,좋음,0.36,좋음,0.0024
2024-04-30:12,좋음,28,보통,23,좋음,0.0303,좋음,0.0203,좋음,0.35,좋음,0.0023
2024-04-30:11,좋음,25,보통,20,좋음,0.0251,좋음,0.0228,좋음,0.38,좋음,0.0023
2024-04-30:10,좋음,20,좋음,13,좋음,0.0152,보통,0.0349,좋음,0.40,좋음,0.0026
2024-04-30:09,좋음,16,좋음,10,좋음,0.0225,좋음,0.0221,좋음,0.39,좋음,0.0021
2024-04-30:08,좋음,17,좋음,8,좋음,0.0298,좋음,0.0089,좋음,0.37,좋음,0.0019
2024-04-30:07,좋음,16,좋음,6,좋음,0.0266,좋음,0.0093,좋음,0.34,좋음,0.0019
2024-04-30:06,좋음,17,좋음,9,보통,0.0327,좋음,0.0054,좋음,0.33,좋음,0.0018
2024-04-30:05,좋음,15,좋음,10,보통,0.0374,좋음,0.0030,좋음,0.33,좋음,0.0018
2024-04-30:04,좋음,16,좋음,9,보통,0.0378,좋음,0.0040,좋음,0.33,좋음,0.0018
2024-04-30:03,좋음,16,좋음,7,보통,0.0367,좋음,0.0057,좋음,0.35,좋음,0.0019
2024-04-30:02,좋음,16,좋음,4,보통,0.0385,좋음,0.0043,좋음,0.35,좋음,0.0018
2024-04-30:01,좋음,13,좋음,5,보통,0.0391,좋음,0.0045,좋음,0.37,좋음,0.0018
2024-04-29:24,좋음,11,좋음,5,보통,0.0386,좋음,0.0058,좋음,0.36,좋음,0.0019
2024-04-29:23,좋음,11,좋음,3,보통,0.0436,좋음,0.0047,좋음,0.36,좋음,0.0018
2024-04-29:22,좋음,10,좋음,2,보통,0.0433,좋음,0.0068,좋음,0.35,좋음,0.0020
2024-04-29:21,좋음,11,좋음,3,보통,0.0440,좋음,0.0083,좋음,0.36,좋음,0.0020
2024-04-29:20,좋음,12,좋음,6,보통,0.0420,좋음,0.0117,좋음,0.37,좋음,0.0021
2024-04-29:19,좋음,14,좋음,10,보통,0.0401,좋음,0.0155,좋음,0.38,좋음,0.0023
2024-04-29:18,좋음,13,좋음,6,보통,0.0407,좋음,0.0162,좋음,0.41,좋음,0.0023
2024-04-29:17,좋음,12,좋음,7,좋음,0.0301,좋음,0.0292,좋음,0.38,좋음,0.0022
2024-04-29:16,좋음,14,좋음,9,보통,0.0321,좋음,0.0274,좋음,0.38,좋음,0.0022
2024-04-29:15,좋음,16,좋음,11,보통,0.0325,좋음,0.0276,좋음,0.38,좋음,0.0022
2024-04-29:14,좋음,19,좋음,14,보통,0.0382,좋음,0.0203,좋음,0.38,좋음,0.0021
2024-04-29:13,좋음,25,보통,16,보통,0.0354,좋음,0.0210,좋음,0.42,좋음,0.0021
2024-04-29:12,좋음,26,보통,16,보통,0.0322,좋음,0.0243,좋음,0.43,좋음,0.0021
2024-04-29:11,좋음,26,보통,19,보통,0.0328,좋음,0.0234,좋음,0.42,좋음,0.0021
2024-04-29:10,좋음,27,보통,24,보통,0.0382,좋음,0.0159,좋음,0.42,좋음,0.0021
2024-04-29:09,좋음,27,보통,26,보통,0.0392,좋음,0.0158,좋음,0.42,좋음,0.0020
2024-04-29:08,좋음,28,보통,20,보통,0.0438,좋음,0.0113,좋음,0.40,좋음,0.0020
2024-04-29:07,좋음,30,보통,21,보통,0.0424,좋음,0.0113,좋음,0.36,좋음,0.0020
