tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,4,,0.0287,0.0022,0.15,0.0016
2024-06-30:23,3,,0.0301,0.0023,0.15,0.0016
2024-06-30:22,3,,0.0285,0.0024,0.14,0.0016
2024-06-30:21,5,0,0.0237,0.0022,0.13,0.0017
2024-06-30:20,5,,0.0279,0.0022,0.15,0.0016
2024-06-30:19,6,6,0.0326,0.0016,0.16,0.0017
2024-06-30:18,8,3,0.0314,0.0017,0.15,0.0016
2024-06-30:17,6,4,0.0309,0.0015,0.14,0.0016
2024-06-30:16,4,,0.0311,0.0015,0.15,0.0016
2024-06-30:15,2,,0.0258,0.0017,0.13,0.0016
2024-06-30:14,2,,0.0218,0.0016,0.14,0.0016
2024-06-30:13,3,,0.0204,0.0018,0.12,0.0016
2024-06-30:12,6,4,0.0176,0.0017,0.12,0.0017
2024-06-30:11,11,8,0.0171,0.0018,0.12,0.0016
2024-06-30:10,12,1,0.0175,0.0015,0.12,0.0016
2024-06-30:09,14,,0.0174,0.0015,0.12,0.0016
2024-06-30:08,15,1,0.0172,0.0015,0.12,0.0017
2024-06-30:07,12,2,0.0181,0.0014,0.11,0.0015
2024-06-30:06,12,6,0.0196,0.0013,0.12,0.0017
2024-06-30:05,14,9,0.0215,0.0011,0.12,0.0017
2024-06-30:04,13,2,0.0238,0.0010,0.12,0.0016
2024-06-30:03,14,0,0.0233,0.0013,0.12,0.0017
2024-06-30:02,13,,0.0220,0.0014,0.12,0.0017
2024-06-30:01,12,0,0.0219,0.0011,0.12,0.0017
2024-06-29:24,12,4,0.0221,0.0012,0.12,0.0017
2024-06-29:23,6,5,0.0230,0.0012,0.13,0.0017
2024-06-29:22,6,,0.0240,0.0012,0.13,0.0017
2024-06-29:21,3,,0.0240,0.0011,0.13,0.0017
2024-06-29:20,3,,0.0225,0.0018,0.14,0.0017
2024-06-29:19,2,0,0.0212,0.0061,0.21,0.0018
2024-06-29:18,2,,0.0215,0.0043,0.17,0.0018
2024-06-29:17,3,,0.0219,0.0027,0.15,0.0017
2024-06-29:16,4,3,0.0283,0.0027,0.18,0.0017
2024-06-29:15,4,,0.0374,0.0039,0.25,0.0018
2024-06-29:14,6,2,0.0427,0.0039,0.26,0.0017
2024-06-29:13,11,10,0.0478,0.0030,0.26,0.0018
2024-06-29:12,18,17,0.0463,0.0028,0.22,0.0019
2024-06-29:11,30,21,0.0414,0.0064,0.23,0.0021
2024-06-29:10,27,14,0.0242,0.0382,0.29,0.0050
2024-06-29:09,19,13,0.0225,0.0298,0.26,0.0046
2024-06-29:08,21,12,0.0195,0.0241,0.23,0.0033
2024-06-29:07,17,10,0.0163,0.0170,0.24,0.0032
2024-06-29:06,14,7,0.0202,0.0111,0.21,0.0033
2024-06-29:05,11,7,0.0264,0.0118,0.20,0.0031
2024-06-29:04,10,8,0.0344,0.0043,0.18,0.0022
2024-06-29:03,10,1,0.0293,0.0028,0.17,0.0019
2024-06-29:02,9,,0.0305,0.0033,0.18,0.0018
2024-06-29:01,9,0,0.0286,0.0029,0.18,0.0019
2024-06-28:24,6,1,0.0329,0.0030,0.18,0.0018
2024-06-28:23,6,2,0.0328,0.0033,0.17,0.0017
2024-06-28:22,5,2,0.0443,0.0030,0.17,0.0018
2024-06-28:21,5,0,0.0454,0.0038,0.18,0.0018
2024-06-28:20,3,,0.0478,0.0034,0.17,0.0018
2024-06-28:19,3,,0.0509,0.0022,0.17,0.0018
2024-06-28:18,4,,0.0514,0.0021,0.15,0.0018
2024-06-28:17,5,1,0.0511,0.0022,0.16,0.0019
2024-06-28:16,6,3,0.0531,0.0035,0.19,0.0019
2024-06-28:15,10,6,0.0552,0.0033,0.20,0.0020
2024-06-28:14,18,12,0.0557,0.0037,0.22,0.0021
2024-06-28:13,23,17,0.0554,0.0136,0.25,0.0027
2024-06-28:12,23,16,0.0502,0.0253,0.29,0.0033
2024-06-28:11,20,15,0.0509,0.0123,0.27,0.0029
