tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,6,3,0.0211,0.0069,0.40,0.0030
2024-06-30:23,6,1,0.0232,0.0068,0.43,0.0029
2024-06-30:22,6,2,0.0253,0.0079,0.45,0.0029
2024-06-30:21,6,5,0.0256,0.0078,0.46,0.0030
2024-06-30:20,6,,0.0270,0.0073,0.43,0.0030
2024-06-30:19,12,8,0.0283,0.0071,0.43,0.0030
2024-06-30:18,10,8,0.0308,0.0065,0.41,0.0029
2024-06-30:17,9,5,0.0277,0.0076,0.41,0.0029
2024-06-30:16,12,6,0.0239,0.0076,0.40,0.0030
2024-06-30:15,7,5,0.0210,0.0069,0.39,0.0030
2024-06-30:14,8,1,0.0208,0.0062,0.38,0.0029
2024-06-30:13,11,2,0.0218,0.0062,0.40,0.0030
2024-06-30:12,11,5,0.0198,0.0063,0.40,0.0029
2024-06-30:11,5,3,0.0179,0.0061,0.39,0.0029
2024-06-30:10,10,5,0.0195,0.0053,0.38,0.0029
2024-06-30:09,14,1,0.0205,0.0046,0.37,0.0030
2024-06-30:08,7,2,0.0205,0.0045,0.36,0.0029
2024-06-30:07,8,4,0.0210,0.0045,0.35,0.0029
2024-06-30:06,11,2,0.0232,0.0041,0.36,0.0030
2024-06-30:05,15,2,0.0249,0.0042,0.36,0.0030
2024-06-30:04,17,5,0.0250,0.0041,0.36,0.0029
2024-06-30:03,16,7,0.0231,0.0042,0.35,0.0029
2024-06-30:02,20,6,0.0231,0.0042,0.35,0.0030
2024-06-30:01,17,8,0.0244,0.0042,0.35,0.0029
2024-06-29:24,27,7,0.0235,0.0048,0.35,0.0029
2024-06-29:23,15,1,0.0236,0.0049,0.36,0.0029
2024-06-29:22,3,,0.0219,0.0053,0.36,0.0030
2024-06-29:21,4,,0.0211,0.0068,0.38,0.0029
2024-06-29:20,6,,0.0202,0.0090,0.39,0.0030
2024-06-29:19,6,,0.0205,0.0086,0.37,0.0030
2024-06-29:18,9,2,0.0215,0.0087,0.39,0.0029
2024-06-29:17,4,3,0.0273,0.0084,0.40,0.0029
2024-06-29:16,6,6,0.0334,0.0101,0.46,0.0029
2024-06-29:15,12,12,0.0428,0.0120,0.48,0.0029
2024-06-29:14,15,13,0.0498,0.0093,0.45,0.0029
2024-06-29:13,21,13,0.0529,0.0076,0.40,0.0029
2024-06-29:12,18,9,0.0532,0.0073,0.41,0.0029
2024-06-29:11,18,8,0.0535,0.0073,0.42,0.0028
2024-06-29:10,12,6,0.0512,0.0088,0.45,0.0029
2024-06-29:09,11,6,0.0491,0.0084,0.40,0.0029
2024-06-29:08,13,7,0.0485,0.0075,0.36,0.0028
2024-06-29:07,10,6,0.0476,0.0066,0.35,0.0027
2024-06-29:06,13,9,0.0487,0.0059,0.37,0.0028
2024-06-29:05,21,12,0.0444,0.0069,0.41,0.0029
2024-06-29:04,20,9,0.0369,0.0095,0.43,0.0030
2024-06-29:03,17,16,0.0360,0.0099,0.41,0.0030
2024-06-29:02,13,8,0.0354,0.0097,0.42,0.0029
2024-06-29:01,12,7,0.0416,0.0107,0.51,0.0031
2024-06-28:24,8,8,0.0460,0.0084,0.37,0.0030
2024-06-28:23,12,3,0.0486,0.0078,0.34,0.0030
2024-06-28:22,10,3,0.0455,0.0095,0.33,0.0029
2024-06-28:21,3,,0.0465,0.0096,0.33,0.0028
2024-06-28:20,5,,0.0524,0.0094,0.33,0.0031
2024-06-28:19,19,5,0.0579,0.0096,0.35,0.0031
2024-06-28:18,18,9,0.0627,0.0099,0.35,0.0031
2024-06-28:17,20,13,0.0694,0.0092,0.35,0.0031
2024-06-28:16,19,11,0.0729,0.0100,0.36,0.0032
2024-06-28:15,23,13,0.0781,0.0106,0.38,0.0034
2024-06-28:14,20,15,0.0813,0.0117,0.39,0.0035
2024-06-28:13,19,11,0.0729,0.0126,0.38,0.0037
2024-06-28:12,29,16,0.0601,0.0174,0.44,0.0037
2024-06-28:11,33,20,0.0562,0.0178,0.46,0.0031
2024-06-28:10,35,24,0.0488,0.0148,0.45,0.0032
2024-06-28:09,47,27,0.0371,0.0170,0.47,0.0032
2024-06-28:08,40,28,0.0260,0.0157,0.46,0.0031
2024-06-28:07,32,21,0.0160,0.0147,0.44,0.0030
2024-06-28:06,35,23,0.0146,0.0129,0.41,0.0029
2024-06-28:05,33,21,0.0190,0.0117,0.40,0.0029
2024-06-28:04,38,24,0.0218,0.0128,0.41,0.0030
2024-06-28:03,37,30,0.0209,0.0142,0.43,0.0030
2024-06-28:02,38,25,0.0240,0.0155,0.44,0.0031
2024-06-28:01,41,31,0.0247,0.0193,0.47,0.0030
2024-06-27:24,36,21,0.0300,0.0165,0.43,0.0030
2024-06-27:23,33,20,0.0371,0.0152,0.42,0.0028
2024-06-27:22,29,23,0.0435,0.0149,0.43,0.0029
2024-06-27:21,31,21,0.0488,0.0164,0.39,0.0032
2024-06-27:20,37,20,0.0476,0.0217,0.41,0.0034
2024-06-27:19,35,23,0.0369,0.0283,0.45,0.0034
2024-06-27:18,36,22,0.0443,0.0250,0.41,0.0035
2024-06-27:17,34,17,0.0511,0.0235,0.36,0.0039
2024-06-27:16,49,30,0.0360,0.0408,0.47,0.0044
2024-06-27:15,53,35,0.0524,0.0321,0.53,0.0042
2024-06-27:14,53,33,0.0517,0.0318,0.52,0.0042
2024-06-27:13,51,29,0.0444,0.0351,0.49,0.0044
2024-06-27:12,55,31,0.0414,0.0306,0.51,0.0039
2024-06-27:11,48,25,0.0321,0.0281,0.54,0.0036
2024-06-27:10,43,27,0.0313,0.0263,0.54,0.0035
2024-06-27:09,33,23,0.0280,0.0235,0.54,0.0034
2024-06-27:08,28,18,0.0191,0.0268,0.47,0.0034
2024-06-27:07,23,14,0.0245,0.0204,0.47,0.0035
2024-06-27:06,24,15,0.0322,0.0129,0.45,0.0035
2024-06-27:05,27,18,0.0362,0.0115,0.36,0.0033
2024-06-27:04,22,13,0.0410,0.0109,0.30,0.0031
2024-06-27:03,15,13,0.0434,0.0110,0.29,0.0031
2024-06-27:02,19,12,0.0474,0.0109,0.29,0.0031
2024-06-27:01,24,18,0.0505,0.0141,0.34,0.0032
2024-06-26:24,30,19,0.0492,0.0193,0.37,0.0033
2024-06-26:23,34,17,0.0506,0.0204,0.38,0.0034
