tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,5,5,0.0188,0.0164,0.16,0.0023
2024-06-30:23,6,5,0.0225,0.0160,0.15,0.0024
2024-06-30:22,5,,0.0240,0.0172,0.24,0.0026
2024-06-30:21,8,7,0.0236,0.0181,0.19,0.0022
2024-06-30:20,11,8,0.0275,0.0166,0.16,0.0028
2024-06-30:19,9,8,0.0287,0.0167,0.19,0.0023
2024-06-30:18,9,9,0.0315,0.0150,0.15,0.0026
2024-06-30:17,6,6,0.0304,0.0149,0.15,0.0024
2024-06-30:16,5,5,0.0264,0.0144,0.14,0.0025
2024-06-30:15,5,,0.0225,0.0148,0.14,0.0024
2024-06-30:14,5,3,0.0206,0.0146,0.13,0.0026
2024-06-30:13,7,5,0.0218,0.0146,0.12,0.0025
2024-06-30:12,4,4,0.0215,0.0144,0.13,0.0027
2024-06-30:11,3,,0.0187,0.0141,0.13,0.0025
2024-06-30:10,7,6,0.0192,0.0143,0.11,0.0023
2024-06-30:09,8,5,0.0196,0.0140,0.14,0.0023
2024-06-30:08,4,2,0.0197,0.0139,0.12,0.0025
2024-06-30:07,7,6,0.0202,0.0140,0.12,0.0025
2024-06-30:06,11,6,0.0226,0.0137,0.13,0.0026
2024-06-30:05,15,9,0.0248,0.0140,0.13,0.0023
2024-06-30:04,16,8,0.0250,0.0139,0.13,0.0027
2024-06-30:03,15,7,0.0229,0.0140,0.11,0.0025
2024-06-30:02,18,8,0.0228,0.0141,0.12,0.0025
2024-06-30:01,19,9,0.0241,0.0136,0.12,0.0025
2024-06-29:24,17,7,0.0237,0.0139,0.13,0.0025
2024-06-29:23,8,5,0.0236,0.0139,0.13,0.0027
2024-06-29:22,2,1,0.0223,0.0141,0.13,0.0027
2024-06-29:21,3,3,0.0216,0.0149,0.13,0.0026
2024-06-29:20,10,5,0.0240,0.0150,0.16,0.0031
2024-06-29:19,6,4,0.0241,0.0149,0.16,0.0028
2024-06-29:18,8,5,0.0218,0.0177,0.18,0.0028
2024-06-29:17,8,8,0.0296,0.0172,0.20,0.0028
2024-06-29:16,12,9,0.0359,0.0220,0.26,0.0031
2024-06-29:15,18,13,0.0433,0.0235,0.27,0.0029
2024-06-29:14,25,14,0.0470,0.0223,0.22,0.0030
2024-06-29:13,14,9,0.0572,0.0133,0.23,0.0026
2024-06-29:12,15,14,0.0565,0.0139,0.24,0.0027
2024-06-29:11,11,9,0.0569,0.0143,0.26,0.0029
2024-06-29:10,9,8,0.0549,0.0149,0.31,0.0029
2024-06-29:09,6,5,0.0537,0.0147,0.27,0.0025
2024-06-29:08,5,5,0.0533,0.0131,0.24,0.0028
2024-06-29:07,8,8,0.0477,0.0149,0.22,0.0029
2024-06-29:06,11,10,0.0430,0.0163,0.26,0.0032
2024-06-29:05,11,11,0.0411,0.0190,0.24,0.0032
2024-06-29:04,13,12,0.0348,0.0264,0.23,0.0027
2024-06-29:03,13,12,0.0381,0.0185,0.31,0.0029
2024-06-29:02,12,11,0.0351,0.0201,0.28,0.0031
2024-06-29:01,12,10,0.0373,0.0189,0.27,0.0030
2024-06-28:24,12,10,0.0419,0.0188,0.30,0.0031
2024-06-28:23,10,7,0.0491,0.0162,0.21,0.0028
2024-06-28:22,8,5,0.0474,0.0173,0.19,0.0033
2024-06-28:21,8,7,0.0479,0.0184,0.19,0.0032
2024-06-28:20,12,11,0.0533,0.0176,0.15,0.0030
2024-06-28:19,10,,0.0615,0.0161,0.18,0.0033
2024-06-28:18,12,11,0.0698,0.0143,0.20,0.0034
2024-06-28:17,18,13,0.0686,0.0178,0.21,0.0036
2024-06-28:16,14,11,0.0690,0.0166,0.20,0.0037
2024-06-28:15,15,14,0.0724,0.0172,0.22,0.0034
2024-06-28:14,13,11,0.0751,0.0186,0.22,0.0030
2024-06-28:13,15,13,0.0748,0.0191,0.28,0.0037
2024-06-28:12,20,16,0.0612,0.0220,0.27,0.0037
2024-06-28:11,24,21,0.0517,0.0269,0.33,0.0037
2024-06-28:10,21,16,0.0457,0.0279,0.44,0.0037
2024-06-28:09,19,15,0.0418,0.0230,0.33,0.0031
2024-06-28:08,25,19,0.0290,0.0218,0.33,0.0031
2024-06-28:07,28,20,0.0158,0.0249,0.40,0.0033
2024-06-28:06,31,25,0.0105,0.0267,0.43,0.0033
2024-06-28:05,30,24,0.0151,0.0237,0.49,0.0031
2024-06-28:04,31,26,0.0189,0.0224,0.40,0.0034
2024-06-28:03,33,26,0.0156,0.0279,0.46,0.0034
2024-06-28:02,27,22,0.0159,0.0329,0.45,0.0035
2024-06-28:01,31,22,0.0201,0.0320,0.37,0.0034
2024-06-27:24,29,23,0.0243,0.0334,0.39,0.0032
2024-06-27:23,25,21,0.0330,0.0259,0.35,0.0032
2024-06-27:22,25,21,0.0410,0.0266,0.32,0.0032
2024-06-27:21,29,24,0.0482,0.0259,0.36,0.0032
2024-06-27:20,28,21,0.0463,0.0332,0.43,0.0036
2024-06-27:19,23,16,0.0402,0.0383,0.38,0.0035
2024-06-27:18,22,17,0.0475,0.0317,0.30,0.0035
2024-06-27:17,26,20,0.0494,0.0321,0.31,0.0041
2024-06-27:16,35,27,0.0367,0.0443,0.34,0.0044
2024-06-27:15,39,29,0.0196,0.0715,0.43,0.0064
2024-06-27:14,31,24,0.0282,0.0591,0.48,0.0055
2024-06-27:13,38,28,0.0266,0.0555,0.52,0.0057
2024-06-27:12,40,30,0.0196,0.0660,0.52,0.0062
2024-06-27:11,32,26,0.0293,0.0483,0.38,0.0047
2024-06-27:10,,,,,,
2024-06-27:09,,,,,,
2024-06-27:08,30,24,0.0149,0.0418,0.43,0.0036
2024-06-27:07,26,23,0.0201,0.0345,0.40,0.0039
2024-06-27:06,33,30,0.0230,0.0306,0.43,0.0040
2024-06-27:05,35,32,0.0217,0.0310,0.49,0.0041
2024-06-27:04,28,26,0.0330,0.0234,0.34,0.0038
2024-06-27:03,25,23,0.0436,0.0195,0.31,0.0040
2024-06-27:02,25,21,0.0504,0.0189,0.29,0.0037
2024-06-27:01,31,26,0.0349,0.0363,0.35,0.0038
2024-06-26:24,25,23,0.0500,0.0263,0.33,0.0037
2024-06-26:23,26,22,0.0657,0.0231,0.28,0.0039
2024-06-26:22,22,19,0.0776,0.0208,0.28,0.0043
2024-06-26:21,21,17,0.0781,0.0296,0.26,0.0044
2024-06-26:20,21,16,0.0792,0.0322,0.28,0.0048
2024-06-26:19,26,19,0.0904,0.0202,0.26,0.0054
2024-06-26:18,25,19,0.0888,0.0197,0.24,0.0043
2024-06-26:17,27,21,0.0871,0.0247,0.27,0.0039
2024-06-26:16,27,20,0.0873,0.0251,0.23,0.0037
2024-06-26:15,21,16,0.0826,0.0202,0.25,0.0034
2024-06-26:14,12,8,0.0734,0.0131,0.23,0.0032
2024-06-26:13,12,8,0.0658,0.0106,0.19,0.0032
2024-06-26:12,15,10,0.0625,0.0118,0.22,0.0031
2024-06-26:11,15,9,0.0590,0.0147,0.22,0.0032
2024-06-26:10,18,11,0.0563,0.0157,0.22,0.0036
2024-06-26:09,29,20,0.0358,0.0302,0.34,0.0038
2024-06-26:08,40,27,0.0145,0.0460,0.52,0.0043
2024-06-26:07,26,20,0.0138,0.0399,0.47,0.0043
2024-06-26:06,26,23,0.0200,0.0310,0.39,0.0042
2024-06-26:05,28,21,0.0257,0.0241,0.37,0.0042
2024-06-26:04,28,22,0.0323,0.0211,0.35,0.0038
2024-06-26:03,36,30,0.0265,0.0258,0.47,0.0040
2024-06-26:02,30,23,0.0331,0.0235,0.47,0.0045
2024-06-26:01,35,22,0.0356,0.0248,0.42,0.0042
2024-06-25:24,31,23,0.0411,0.0234,0.43,0.0047
2024-06-25:23,31,23,0.0512,0.0192,0.45,0.0044
2024-06-25:22,31,23,0.0520,0.0279,0.42,0.0043
2024-06-25:21,28,20,0.0620,0.0228,0.38,0.0050
2024-06-25:20,23,15,0.0595,0.0190,0.31,0.0039
2024-06-25:19,17,13,0.0569,0.0169,0.24,0.0036
2024-06-25:18,18,12,0.0575,0.0136,0.22,0.0035
2024-06-25:17,17,12,0.0542,0.0170,0.24,0.0027
2024-06-25:16,13,10,0.0582,0.0123,0.20,0.0025
2024-06-25:15,17,7,0.0553,0.0166,0.21,0.0030
2024-06-25:14,18,9,0.0596,0.0130,0.23,0.0026
2024-06-25:13,20,10,0.0609,0.0111,0.21,0.0030
2024-06-25:12,26,14,0.0549,0.0124,0.24,0.0027
2024-06-25:11,39,19,0.0519,0.0155,0.28,0.0025
2024-06-25:10,55,24,0.0442,0.0196,0.27,0.0026
2024-06-25:09,67,27,0.0445,0.0186,0.26,0.0024
2024-06-25:08,69,27,0.0456,0.0169,0.27,0.0027
2024-06-25:07,77,32,0.0406,0.0193,0.33,0.0030
2024-06-25:06,94,37,0.0378,0.0203,0.32,0.0028
2024-06-25:05,95,36,0.0540,0.0117,0.26,0.0030
2024-06-25:04,93,39,0.0526,0.0139,0.31,0.0032
2024-06-25:03,54,31,0.0480,0.0162,0.38,0.0030
2024-06-25:02,39,27,0.0382,0.0201,0.38,0.0029
2024-06-25:01,35,27,0.0392,0.0212,0.38,0.0032
2024-06-24:24,34,24,0.0463,0.0193,0.36,0.0031
2024-06-24:23,31,23,0.0518,0.0177,0.37,0.0026
2024-06-24:22,30,22,0.0553,0.0161,0.32,0.0030
2024-06-24:21,30,24,0.0568,0.0161,0.30,0.0030
2024-06-24:20,31,24,0.0564,0.0171,0.34,0.0029
2024-06-24:19,28,22,0.0571,0.0197,0.33,0.0030
2024-06-24:18,25,19,0.0576,0.0178,0.29,0.0030
2024-06-24:17,21,18,0.0514,0.0228,0.29,0.0030
2024-06-24:16,21,18,0.0544,0.0201,0.28,0.0031
2024-06-24:15,23,18,0.0588,0.0183,0.33,0.0029
2024-06-24:14,21,20,0.0626,0.0163,0.35,0.0027
2024-06-24:13,22,16,0.0640,0.0147,0.36,0.0029
2024-06-24:12,19,18,0.0602,0.0182,0.32,0.0034
2024-06-24:11,22,17,0.0477,0.0226,0.32,0.0032
2024-06-24:10,13,11,0.0453,0.0200,0.32,0.0032
2024-06-24:09,10,,0.0374,0.0210,0.30,0.0034
2024-06-24:08,11,9,0.0383,0.0173,0.25,0.0027
2024-06-24:07,16,14,0.0322,0.0190,0.28,0.0031
2024-06-24:06,21,17,0.0225,0.0229,0.39,0.0035
2024-06-24:05,20,15,0.0265,0.0190,0.40,0.0037
2024-06-24:04,19,15,0.0233,0.0201,0.49,0.0032
2024-06-24:03,22,16,0.0182,0.0237,0.52,0.0037
2024-06-24:02,19,17,0.0177,0.0235,0.53,0.0034
2024-06-24:01,17,14,0.0231,0.0201,0.39,0.0032
2024-06-23:24,17,13,0.0278,0.0217,0.45,0.0037
2024-06-23:23,15,12,0.0303,0.0212,0.43,0.0034
2024-06-23:22,16,15,0.0316,0.0219,0.46,0.0035
2024-06-23:21,17,14,0.0432,0.0180,0.44,0.0037
2024-06-23:20,15,13,0.0509,0.0167,0.45,0.0034
2024-06-23:19,18,14,0.0555,0.0176,0.47,0.0037
2024-06-23:18,18,17,0.0574,0.0162,0.42,0.0036
2024-06-23:17,12,9,0.0533,0.0158,0.34,0.0029
2024-06-23:16,11,9,0.0505,0.0170,0.34,0.0028
2024-06-23:15,16,14,0.0513,0.0158,0.35,0.0033
2024-06-23:14,13,11,0.0514,0.0149,0.32,0.0027
2024-06-23:13,25,11,0.0484,0.0145,0.31,0.0028
2024-06-23:12,16,8,0.0464,0.0149,0.33,0.0028
2024-06-23:11,12,12,0.0456,0.0152,0.32,0.0029
2024-06-23:10,13,13,0.0453,0.0162,0.34,0.0030
2024-06-23:09,17,12,0.0466,0.0158,0.33,0.0028
2024-06-23:08,14,10,0.0481,0.0153,0.34,0.0028
2024-06-23:07,15,11,0.0510,0.0149,0.33,0.0028
2024-06-23:06,16,10,0.0535,0.0139,0.30,0.0028
2024-06-23:05,16,14,0.0549,0.0137,0.31,0.0029
2024-06-23:04,19,14,0.0530,0.0138,0.30,0.0029
2024-06-23:03,20,15,0.0510,0.0141,0.30,0.0030
2024-06-23:02,19,13,0.0450,0.0146,0.30,0.0030
2024-06-23:01,18,11,0.0389,0.0151,0.24,0.0028
2024-06-22:24,19,12,0.0381,0.0148,0.23,0.0030
2024-06-22:23,19,13,0.0383,0.0149,0.21,0.0028
2024-06-22:22,15,11,0.0381,0.0152,0.21,0.0027
2024-06-22:21,7,6,0.0368,0.0159,0.21,0.0031
2024-06-22:20,6,6,0.0352,0.0149,0.17,0.0031
2024-06-22:19,5,3,0.0342,0.0145,0.17,0.0031
2024-06-22:18,6,5,0.0274,0.0169,0.16,0.0033
2024-06-22:17,5,5,0.0254,0.0178,0.14,0.0035
2024-06-22:16,5,3,0.0249,0.0188,0.18,0.0033
2024-06-22:15,4,3,0.0277,0.0181,0.18,0.0036
2024-06-22:14,12,11,0.0288,0.0213,0.20,0.0035
2024-06-22:13,14,11,0.0192,0.0373,0.34,0.0033
2024-06-22:12,10,,0.0220,0.0322,0.27,0.0031
2024-06-22:11,13,9,0.0247,0.0281,0.28,0.0033
2024-06-22:10,14,10,0.0227,0.0307,0.28,0.0032
2024-06-22:09,13,10,0.0233,0.0315,0.29,0.0031
2024-06-22:08,14,9,0.0276,0.0279,0.26,0.0033
2024-06-22:07,8,8,0.0350,0.0212,0.24,0.0032
2024-06-22:06,9,7,0.0423,0.0158,0.18,0.0033
2024-06-22:05,7,5,0.0468,0.0137,0.18,0.0029
2024-06-22:04,6,6,0.0462,0.0184,0.18,0.0032
2024-06-22:03,8,6,0.0471,0.0171,0.20,0.0027
2024-06-22:02,8,,0.0479,0.0140,0.21,0.0032
2024-06-22:01,6,6,0.0454,0.0207,0.21,0.0030
2024-06-21:24,9,7,0.0509,0.0139,0.18,0.0032
2024-06-21:23,12,12,0.0525,0.0144,0.19,0.0032
2024-06-21:22,13,13,0.0516,0.0208,0.18,0.0034
2024-06-21:21,18,13,0.0502,0.0240,0.20,0.0039
2024-06-21:20,20,18,0.0577,0.0168,0.20,0.0042
2024-06-21:19,23,21,0.0642,0.0168,0.20,0.0043
2024-06-21:18,26,24,0.0698,0.0211,0.20,0.0039
2024-06-21:17,24,23,0.0791,0.0185,0.22,0.0044
2024-06-21:16,28,19,0.0791,0.0194,0.21,0.0046
2024-06-21:15,28,24,0.0781,0.0181,0.22,0.0046
2024-06-21:14,22,,0.0748,0.0167,0.23,0.0047
2024-06-21:13,27,19,0.0737,0.0140,0.22,0.0048
2024-06-21:12,,,,,,
2024-06-21:11,,,,,,
2024-06-21:10,26,23,0.0384,0.0286,0.30,0.0046
2024-06-21:09,20,18,0.0429,0.0221,0.27,0.0052
2024-06-21:08,23,20,0.0334,0.0238,0.30,0.0044
2024-06-21:07,26,21,0.0290,0.0241,0.31,0.0042
2024-06-21:06,25,21,0.0324,0.0184,0.24,0.0041
2024-06-21:05,26,24,0.0350,0.0166,0.28,0.0038
2024-06-21:04,23,19,0.0332,0.0184,0.32,0.0043
2024-06-21:03,22,20,0.0361,0.0164,0.24,0.0047
2024-06-21:02,21,18,0.0366,0.0172,0.26,0.0046
2024-06-21:01,19,17,0.0414,0.0157,0.26,0.0053
2024-06-20:24,18,17,0.0447,0.0143,0.22,0.0051
2024-06-20:23,20,16,0.0459,0.0149,0.24,0.0044
2024-06-20:22,23,20,0.0464,0.0179,0.26,0.0047
2024-06-20:21,25,22,0.0498,0.0196,0.27,0.0053
2024-06-20:20,24,20,0.0555,0.0213,0.28,0.0067
2024-06-20:19,23,21,0.0513,0.0267,0.27,0.0074
2024-06-20:18,23,19,0.0521,0.0248,0.24,0.0072
2024-06-20:17,22,17,0.0506,0.0265,0.26,0.0060
2024-06-20:16,21,17,0.0512,0.0240,0.22,0.0064
2024-06-20:15,20,16,0.0548,0.0222,0.22,0.0068
2024-06-20:14,16,13,0.0609,0.0170,0.22,0.0064
2024-06-20:13,19,15,0.0613,0.0193,0.24,0.0052
2024-06-20:12,28,19,0.0539,0.0270,0.26,0.0049
2024-06-20:11,29,21,0.0283,0.0434,0.35,0.0043
2024-06-20:10,29,25,0.0180,0.0459,0.28,0.0046
2024-06-20:09,37,27,0.0185,0.0466,0.47,0.0045
2024-06-20:08,40,30,0.0179,0.0502,0.64,0.0043
2024-06-20:07,32,25,0.0292,0.0351,0.78,0.0040
2024-06-20:06,27,22,0.0307,0.0261,0.39,0.0041
2024-06-20:05,21,19,0.0456,0.0178,0.30,0.0036
2024-06-20:04,21,19,0.0415,0.0189,0.29,0.0038
2024-06-20:03,22,18,0.0423,0.0202,0.29,0.0038
2024-06-20:02,18,17,0.0458,0.0200,0.24,0.0036
2024-06-20:01,19,16,0.0536,0.0181,0.27,0.0034
2024-06-19:24,16,14,0.0582,0.0175,0.28,0.0031
2024-06-19:23,18,15,0.0625,0.0166,0.24,0.0037
2024-06-19:22,20,19,0.0649,0.0222,0.27,0.0043
2024-06-19:21,21,17,0.0619,0.0268,0.31,0.0039
2024-06-19:20,23,19,0.0650,0.0294,0.24,0.0038
2024-06-19:19,25,22,0.0840,0.0247,0.31,0.0042
2024-06-19:18,28,25,0.1060,0.0145,0.31,0.0047
2024-06-19:17,34,25,0.1049,0.0153,0.32,0.0041
2024-06-19:16,39,29,0.1096,0.0161,0.30,0.0056
2024-06-19:15,37,29,0.1072,0.0203,0.33,0.0059
2024-06-19:14,38,30,0.1196,0.0215,0.35,0.0053
2024-06-19:13,37,31,0.0943,0.0414,0.38,0.0072
2024-06-19:12,35,27,0.0969,0.0190,0.30,0.0108
2024-06-19:11,31,25,0.0852,0.0207,0.33,0.0067
2024-06-19:10,32,24,0.0667,0.0280,0.40,0.0041
2024-06-19:09,35,28,0.0444,0.0362,0.42,0.0042
2024-06-19:08,45,33,0.0273,0.0414,0.55,0.0041
2024-06-19:07,49,41,0.0189,0.0459,0.74,0.0042
2024-06-19:06,49,42,0.0172,0.0436,0.85,0.0042
2024-06-19:05,47,42,0.0236,0.0360,0.81,0.0046
2024-06-19:04,40,35,0.0290,0.0311,0.77,0.0045
2024-06-19:03,37,32,0.0440,0.0241,0.49,0.0041
2024-06-19:02,38,33,0.0368,0.0302,0.56,0.0046
2024-06-19:01,37,33,0.0414,0.0295,0.58,0.0049
2024-06-18:24,36,32,0.0514,0.0288,0.53,0.0047
2024-06-18:23,33,28,0.0687,0.0246,0.51,0.0046
2024-06-18:22,32,27,0.0810,0.0224,0.46,0.0047
2024-06-18:21,32,26,0.0947,0.0208,0.45,0.0046
2024-06-18:20,29,24,0.0983,0.0220,0.39,0.0043
2024-06-18:19,32,25,0.1108,0.0156,0.36,0.0040
2024-06-18:18,33,29,0.1174,0.0152,0.35,0.0042
2024-06-18:17,31,29,0.1122,0.0227,0.34,0.0037
2024-06-18:16,26,21,0.1074,0.0153,0.27,0.0034
2024-06-18:15,25,18,0.1056,0.0142,0.30,0.0038
2024-06-18:14,23,19,0.1046,0.0134,0.29,0.0037
2024-06-18:13,24,19,0.1015,0.0127,0.31,0.0038
2024-06-18:12,23,15,0.0920,0.0147,0.30,0.0036
2024-06-18:11,23,16,0.0741,0.0167,0.30,0.0041
2024-06-18:10,21,16,0.0635,0.0176,0.31,0.0042
2024-06-18:09,25,18,0.0474,0.0217,0.34,0.0041
2024-06-18:08,35,29,0.0292,0.0333,0.58,0.0044
2024-06-18:07,33,25,0.0142,0.0351,0.74,0.0039
2024-06-18:06,27,24,0.0122,0.0296,0.55,0.0036
2024-06-18:05,25,23,0.0216,0.0228,0.36,0.0038
2024-06-18:04,27,22,0.0239,0.0228,0.38,0.0036
2024-06-18:03,26,19,0.0292,0.0218,0.33,0.0034
2024-06-18:02,25,20,0.0356,0.0212,0.34,0.0035
2024-06-18:01,23,22,0.0404,0.0214,0.31,0.0039
2024-06-17:24,22,18,0.0483,0.0219,0.29,0.0039
2024-06-17:23,22,17,0.0547,0.0221,0.26,0.0042
2024-06-17:22,28,24,0.0438,0.0259,0.33,0.0047
2024-06-17:21,28,23,0.0378,0.0275,0.36,0.0049
2024-06-17:20,24,20,0.0422,0.0322,0.36,0.0043
2024-06-17:19,21,17,0.0572,0.0219,0.30,0.0036
2024-06-17:18,22,20,0.0638,0.0189,0.26,0.0037
2024-06-17:17,21,15,0.0713,0.0182,0.24,0.0032
2024-06-17:16,22,16,0.0629,0.0252,0.26,0.0038
2024-06-17:15,26,23,0.0632,0.0282,0.26,0.0036
2024-06-17:14,22,17,0.0557,0.0293,0.27,0.0040
2024-06-17:13,15,15,0.0582,0.0217,0.25,0.0036
2024-06-17:12,16,12,0.0575,0.0175,0.25,0.0034
2024-06-17:11,19,14,0.0491,0.0199,0.26,0.0036
2024-06-17:10,20,17,0.0329,0.0289,0.31,0.0036
2024-06-17:09,20,15,0.0232,0.0314,0.32,0.0038
2024-06-17:08,26,20,0.0149,0.0341,0.44,0.0039
2024-06-17:07,18,15,0.0195,0.0314,0.76,0.0041
2024-06-17:06,19,15,0.0248,0.0249,0.52,0.0042
2024-06-17:05,18,17,0.0300,0.0184,0.35,0.0042
2024-06-17:04,20,17,0.0303,0.0188,0.43,0.0040
2024-06-17:03,19,18,0.0301,0.0193,0.60,0.0041
2024-06-17:02,18,17,0.0342,0.0187,0.39,0.0036
2024-06-17:01,18,16,0.0346,0.0200,0.32,0.0042
2024-06-16:24,20,18,0.0383,0.0208,0.31,0.0038
2024-06-16:23,20,20,0.0414,0.0198,0.29,0.0032
2024-06-16:22,17,17,0.0466,0.0231,0.28,0.0033
2024-06-16:21,18,16,0.0635,0.0164,0.27,0.0033
2024-06-16:20,17,15,0.0742,0.0138,0.25,0.0037
2024-06-16:19,16,15,0.0748,0.0139,0.28,0.0034
2024-06-16:18,15,15,0.0739,0.0121,0.26,0.0033
2024-06-16:17,15,10,0.0667,0.0112,0.22,0.0031
2024-06-16:16,12,,0.0626,0.0110,0.20,0.0030
2024-06-16:15,16,13,0.0618,0.0103,0.23,0.0027
2024-06-16:14,15,11,0.0623,0.0099,0.20,0.0026
2024-06-16:13,14,12,0.0618,0.0100,0.23,0.0030
2024-06-16:12,12,11,0.0609,0.0107,0.23,0.0030
2024-06-16:11,15,13,0.0594,0.0117,0.26,0.0027
2024-06-16:10,16,13,0.0435,0.0128,0.25,0.0029
2024-06-16:09,18,17,0.0351,0.0137,0.24,0.0029
2024-06-16:08,23,18,0.0353,0.0156,0.28,0.0027
2024-06-16:07,25,18,0.0306,0.0165,0.30,0.0033
2024-06-16:06,32,23,0.0274,0.0154,0.28,0.0029
2024-06-16:05,31,25,0.0255,0.0153,0.30,0.0028
2024-06-16:04,28,25,0.0331,0.0151,0.35,0.0033
2024-06-16:03,25,23,0.0367,0.0143,0.30,0.0034
2024-06-16:02,25,23,0.0420,0.0153,0.28,0.0032
2024-06-16:01,24,24,0.0418,0.0159,0.32,0.0029
2024-06-15:24,24,19,0.0475,0.0157,0.29,0.0033
2024-06-15:23,24,19,0.0538,0.0141,0.27,0.0034
2024-06-15:22,28,23,0.0579,0.0136,0.30,0.0035
2024-06-15:21,26,23,0.0576,0.0144,0.31,0.0040
