tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,7,4,0.0228,0.0179,0.15,0.0027
2024-06-30:23,4,3,0.0201,0.0230,0.17,0.0026
2024-06-30:22,6,2,0.0224,0.0220,0.19,0.0026
2024-06-30:21,8,8,0.0240,0.0207,0.21,0.0026
2024-06-30:20,16,10,0.0253,0.0209,0.29,0.0022
2024-06-30:19,16,11,0.0277,0.0196,0.29,0.0024
2024-06-30:18,13,7,0.0287,0.0195,0.33,0.0027
2024-06-30:17,8,7,0.0281,0.0183,0.24,0.0024
2024-06-30:16,5,4,0.0234,0.0183,0.24,0.0022
2024-06-30:15,9,3,0.0204,0.0187,0.24,0.0024
2024-06-30:14,6,5,0.0200,0.0185,0.22,0.0026
2024-06-30:13,6,6,0.0218,0.0187,0.26,0.0024
2024-06-30:12,4,4,0.0211,0.0179,0.21,0.0022
2024-06-30:11,3,,0.0190,0.0177,0.26,0.0024
2024-06-30:10,7,3,0.0196,0.0177,0.24,0.0023
2024-06-30:09,6,1,0.0212,0.0174,0.14,0.0022
2024-06-30:08,2,1,0.0202,0.0181,0.13,0.0025
2024-06-30:07,6,3,0.0209,0.0179,0.13,0.0028
2024-06-30:06,13,3,0.0233,0.0171,0.14,0.0027
2024-06-30:05,14,6,0.0260,0.0167,0.13,0.0023
2024-06-30:04,12,5,0.0250,0.0167,0.13,0.0026
2024-06-30:03,14,5,0.0241,0.0166,0.13,0.0025
2024-06-30:02,18,8,0.0243,0.0164,0.13,0.0026
2024-06-30:01,18,7,0.0246,0.0167,0.13,0.0027
2024-06-29:24,16,6,0.0245,0.0169,0.14,0.0024
2024-06-29:23,9,5,0.0243,0.0172,0.14,0.0026
2024-06-29:22,2,,0.0236,0.0172,0.14,0.0027
2024-06-29:21,5,4,0.0192,0.0208,0.18,0.0027
2024-06-29:20,5,5,0.0195,0.0238,0.18,0.0026
2024-06-29:19,6,6,0.0155,0.0270,0.21,0.0029
2024-06-29:18,8,6,0.0205,0.0268,0.22,0.0027
2024-06-29:17,6,5,0.0318,0.0261,0.26,0.0030
2024-06-29:16,8,7,0.0417,0.0264,0.31,0.0025
2024-06-29:15,13,9,0.0454,0.0267,0.28,0.0029
2024-06-29:14,18,13,0.0491,0.0256,0.26,0.0025
2024-06-29:13,14,9,0.0508,0.0258,0.25,0.0028
2024-06-29:12,11,9,0.0480,0.0271,0.24,0.0027
2024-06-29:11,10,8,0.0472,0.0245,0.24,0.0028
2024-06-29:10,6,,0.0458,0.0232,0.24,0.0025
2024-06-29:09,7,6,0.0436,0.0235,0.23,0.0028
2024-06-29:08,8,5,0.0491,0.0183,0.23,0.0028
2024-06-29:07,8,,0.0477,0.0177,0.21,0.0028
2024-06-29:06,10,9,0.0493,0.0161,0.19,0.0027
2024-06-29:05,9,8,0.0514,0.0152,0.18,0.0031
2024-06-29:04,9,8,0.0531,0.0148,0.18,0.0026
2024-06-29:03,7,,0.0476,0.0155,0.18,0.0027
2024-06-29:02,9,8,0.0502,0.0162,0.20,0.0027
2024-06-29:01,10,9,0.0495,0.0171,0.20,0.0024
2024-06-28:24,7,,0.0473,0.0188,0.21,0.0031
2024-06-28:23,9,7,0.0493,0.0188,0.20,0.0029
2024-06-28:22,10,7,0.0466,0.0206,0.22,0.0028
2024-06-28:21,9,7,0.0474,0.0218,0.23,0.0025
2024-06-28:20,9,9,0.0499,0.0239,0.23,0.0030
