tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,15,7,0.0152,0.0044,0.22,0.0022
2024-06-30:23,13,7,0.0122,0.0047,0.23,0.0024
2024-06-30:22,15,9,0.0141,0.0040,0.21,0.0020
2024-06-30:21,16,12,0.0164,0.0051,0.25,0.0021
2024-06-30:20,16,9,0.0171,0.0058,0.27,0.0021
2024-06-30:19,15,11,0.0212,0.0051,0.25,0.0022
2024-06-30:18,15,12,0.0234,0.0047,0.25,0.0023
2024-06-30:17,10,5,0.0235,0.0040,0.23,0.0023
2024-06-30:16,10,7,0.0227,0.0034,0.19,0.0023
2024-06-30:15,15,13,0.0238,0.0035,0.23,0.0023
2024-06-30:14,9,7,0.0261,0.0033,0.21,0.0023
2024-06-30:13,7,6,0.0242,0.0034,0.22,0.0022
2024-06-30:12,4,0,0.0217,0.0037,0.21,0.0024
2024-06-30:11,5,2,0.0176,0.0036,0.19,0.0018
2024-06-30:10,6,4,0.0181,0.0032,0.16,0.0023
2024-06-30:09,7,3,0.0192,0.0025,0.14,0.0020
2024-06-30:08,6,1,0.0193,0.0025,0.14,0.0023
2024-06-30:07,8,2,0.0183,0.0024,0.14,0.0022
2024-06-30:06,8,3,0.0198,0.0023,0.14,0.0022
2024-06-30:05,9,4,0.0199,0.0023,0.15,0.0020
2024-06-30:04,16,7,0.0178,0.0024,0.14,0.0019
2024-06-30:03,19,8,0.0183,0.0022,0.14,0.0023
2024-06-30:02,23,9,0.0176,0.0025,0.15,0.0021
2024-06-30:01,21,10,0.0181,0.0026,0.14,0.0018
2024-06-29:24,18,8,0.0208,0.0022,0.14,0.0020
2024-06-29:23,8,1,0.0195,0.0025,0.14,0.0025
2024-06-29:22,4,2,0.0134,0.0048,0.16,0.0023
2024-06-29:21,6,2,0.0134,0.0046,0.16,0.0023
2024-06-29:20,7,2,0.0148,0.0054,0.17,0.0025
2024-06-29:19,8,4,0.0169,0.0071,0.20,0.0022
2024-06-29:18,12,5,0.0203,0.0090,0.25,0.0024
2024-06-29:17,14,6,0.0250,0.0086,0.26,0.0024
2024-06-29:16,14,11,0.0290,0.0075,0.26,0.0023
2024-06-29:15,12,10,0.0293,0.0055,0.24,0.0022
2024-06-29:14,18,10,0.0316,0.0040,0.22,0.0023
2024-06-29:13,17,10,0.0367,0.0034,0.24,0.0020
2024-06-29:12,18,13,0.0376,0.0032,0.24,0.0022
2024-06-29:11,15,9,0.0368,0.0037,0.22,0.0021
2024-06-29:10,13,10,0.0362,0.0038,0.20,0.0028
2024-06-29:09,14,11,0.0320,0.0048,0.21,0.0031
2024-06-29:08,13,10,0.0310,0.0046,0.23,0.0025
2024-06-29:07,12,9,0.0225,0.0057,0.24,0.0022
2024-06-29:06,13,5,0.0194,0.0044,0.21,0.0023
2024-06-29:05,11,7,0.0222,0.0040,0.20,0.0023
2024-06-29:04,12,7,0.0214,0.0045,0.20,0.0022
2024-06-29:03,10,7,0.0225,0.0042,0.20,0.0023
2024-06-29:02,9,6,0.0274,0.0039,0.18,0.0020
2024-06-29:01,10,6,0.0280,0.0042,0.19,0.0023
2024-06-28:24,9,5,0.0270,0.0040,0.17,0.0023
2024-06-28:23,10,6,0.0343,0.0040,0.17,0.0021
2024-06-28:22,11,5,0.0391,0.0041,0.18,0.0024
2024-06-28:21,11,5,0.0423,0.0043,0.19,0.0030
2024-06-28:20,10,4,0.0470,0.0055,0.21,0.0027
2024-06-28:19,16,12,0.0541,0.0051,0.22,0.0032
2024-06-28:18,18,10,0.0569,0.0044,0.22,0.0032
2024-06-28:17,14,11,0.0550,0.0041,0.27,0.0031
2024-06-28:16,12,11,0.0581,0.0036,0.25,0.0029
2024-06-28:15,12,5,0.0541,0.0031,0.17,0.0027
2024-06-28:14,10,5,0.0493,0.0029,0.16,0.0024
2024-06-28:13,9,3,0.0448,0.0030,0.17,0.0025
2024-06-28:12,12,7,0.0413,0.0029,0.19,0.0024
2024-06-28:11,31,23,0.0382,0.0065,0.24,0.0027
2024-06-28:10,44,32,0.0279,0.0111,0.33,0.0028
2024-06-28:09,29,21,0.0181,0.0094,0.33,0.0028
2024-06-28:08,16,10,0.0155,0.0058,0.25,0.0023
2024-06-28:07,19,12,0.0097,0.0053,0.26,0.0022
2024-06-28:06,22,15,0.0099,0.0051,0.24,0.0024
2024-06-28:05,19,17,0.0089,0.0051,0.26,0.0022
2024-06-28:04,21,16,0.0097,0.0052,0.26,0.0023
2024-06-28:03,19,15,0.0129,0.0044,0.24,0.0023
2024-06-28:02,23,19,0.0124,0.0051,0.27,0.0021
2024-06-28:01,24,18,0.0159,0.0060,0.28,0.0026
2024-06-27:24,22,17,0.0201,0.0067,0.27,0.0023
2024-06-27:23,24,17,0.0264,0.0071,0.28,0.0023
2024-06-27:22,20,16,0.0252,0.0066,0.26,0.0025
2024-06-27:21,18,16,0.0284,0.0065,0.27,0.0023
2024-06-27:20,22,16,0.0410,0.0066,0.27,0.0025
2024-06-27:19,26,18,0.0438,0.0075,0.28,0.0028
2024-06-27:18,29,21,0.0451,0.0078,0.29,0.0031
2024-06-27:17,33,24,0.0333,0.0082,0.35,0.0029
2024-06-27:16,31,23,0.0395,0.0093,0.34,0.0034
2024-06-27:15,33,21,0.0451,0.0092,0.32,0.0034
