tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,6,1,0.0132,0.0123,0.31,0.0024
2024-06-30:23,6,2,0.0134,0.0153,0.33,0.0025
2024-06-30:22,5,2,0.0200,0.0099,0.31,0.0030
2024-06-30:21,5,2,0.0218,0.0104,0.33,0.0025
2024-06-30:20,5,1,0.0285,0.0060,0.27,0.0024
2024-06-30:19,2,1,0.0313,0.0048,0.24,0.0025
2024-06-30:18,0,,0.0324,0.0048,0.23,0.0024
2024-06-30:17,2,1,0.0313,0.0051,0.23,0.0024
2024-06-30:16,3,,0.0265,0.0063,0.24,0.0024
2024-06-30:15,1,,0.0240,0.0057,0.22,0.0025
2024-06-30:14,1,,0.0206,0.0055,0.22,0.0024
2024-06-30:13,0,,0.0219,0.0052,0.22,0.0025
2024-06-30:12,,,0.0210,0.0048,0.22,0.0025
2024-06-30:11,1,,0.0179,0.0042,0.20,0.0025
2024-06-30:10,2,,0.0174,0.0039,0.20,0.0024
2024-06-30:09,,,0.0180,0.0040,0.20,0.0024
2024-06-30:08,0,,0.0177,0.0041,0.20,0.0025
2024-06-30:07,3,,0.0189,0.0039,0.20,0.0024
2024-06-30:06,6,0,0.0212,0.0031,0.21,0.0024
2024-06-30:05,8,2,0.0233,0.0031,0.21,0.0024
2024-06-30:04,11,2,0.0231,0.0034,0.20,0.0024
2024-06-30:03,12,1,0.0210,0.0034,0.20,0.0024
2024-06-30:02,13,2,0.0223,0.0032,0.20,0.0025
2024-06-30:01,13,3,0.0226,0.0034,0.20,0.0025
2024-06-29:24,9,2,0.0220,0.0036,0.21,0.0024
2024-06-29:23,7,1,0.0219,0.0042,0.22,0.0024
2024-06-29:22,1,0,0.0198,0.0052,0.22,0.0025
2024-06-29:21,,,0.0173,0.0075,0.24,0.0024
2024-06-29:20,1,,0.0180,0.0096,0.27,0.0024
2024-06-29:19,2,,0.0145,0.0128,0.31,0.0024
2024-06-29:18,0,0,0.0160,0.0122,0.29,0.0025
2024-06-29:17,5,2,0.0225,0.0110,0.28,0.0024
2024-06-29:16,10,3,0.0277,0.0185,0.40,0.0024
2024-06-29:15,9,3,0.0375,0.0152,0.32,0.0024
2024-06-29:14,11,3,0.0447,0.0127,0.31,0.0024
2024-06-29:13,10,3,0.0535,0.0077,0.27,0.0025
2024-06-29:12,17,3,0.0495,0.0104,0.28,0.0025
