tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,8,0,0.0291,0.0048,0.35,0.0011
2024-06-30:23,9,,0.0298,0.0042,0.34,0.0011
2024-06-30:22,11,,0.0275,0.0048,0.33,0.0011
2024-06-30:21,8,,0.0220,0.0055,0.32,0.0011
2024-06-30:20,3,,0.0201,0.0052,0.31,0.0011
2024-06-30:19,2,,0.0190,0.0054,0.31,0.0011
2024-06-30:18,2,1,0.0202,0.0052,0.30,0.0011
2024-06-30:17,4,,0.0219,0.0053,0.31,0.0012
2024-06-30:16,5,,0.0258,0.0038,0.31,0.0012
2024-06-30:15,4,0,0.0255,0.0036,0.31,0.0012
2024-06-30:14,6,,0.0223,0.0036,0.31,0.0011
2024-06-30:13,8,,0.0206,0.0034,0.31,0.0011
2024-06-30:12,9,3,0.0184,0.0039,0.30,0.0012
2024-06-30:11,10,6,0.0165,0.0035,0.30,0.0012
2024-06-30:10,12,2,0.0151,0.0044,0.30,0.0011
2024-06-30:09,11,2,0.0155,0.0038,0.31,0.0011
2024-06-30:08,12,1,0.0141,0.0043,0.31,0.0011
2024-06-30:07,11,,0.0147,0.0037,0.30,0.0011
2024-06-30:06,10,0,0.0136,0.0057,0.30,0.0011
2024-06-30:05,10,3,0.0177,0.0041,0.30,0.0011
2024-06-30:04,13,1,0.0172,0.0036,0.30,0.0011
2024-06-30:03,10,,0.0178,0.0035,0.31,0.0011
2024-06-30:02,10,0,0.0157,0.0049,0.31,0.0011
2024-06-30:01,8,,0.0162,0.0038,0.30,0.0011
2024-06-29:24,8,,0.0167,0.0033,0.30,0.0011
2024-06-29:23,12,,0.0163,0.0047,0.31,0.0011
2024-06-29:22,16,,0.0185,0.0036,0.31,0.0011
2024-06-29:21,13,0,0.0186,0.0037,0.31,0.0011
2024-06-29:20,8,2,0.0203,0.0034,0.31,0.0010
2024-06-29:19,6,1,0.0245,0.0036,0.32,0.0010
2024-06-29:18,10,,0.0222,0.0060,0.32,0.0011
2024-06-29:17,9,,0.0211,0.0052,0.32,0.0011
2024-06-29:16,6,3,0.0268,0.0045,0.35,0.0011
2024-06-29:15,10,4,0.0356,0.0048,0.42,0.0010
2024-06-29:14,10,7,0.0418,0.0061,0.48,0.0010
2024-06-29:13,19,10,0.0368,0.0048,0.43,0.0011
2024-06-29:12,19,7,0.0316,0.0049,0.40,0.0011
2024-06-29:11,14,7,0.0295,0.0063,0.42,0.0010
2024-06-29:10,16,8,0.0309,0.0074,0.41,0.0010
2024-06-29:09,12,12,0.0374,0.0069,0.39,0.0011
2024-06-29:08,10,8,0.0263,0.0060,0.40,0.0010
2024-06-29:07,10,7,0.0276,0.0101,0.41,0.0011
2024-06-29:06,21,6,0.0280,0.0120,0.40,0.0011
2024-06-29:05,9,2,0.0412,0.0035,0.38,0.0010
2024-06-29:04,13,4,0.0534,0.0037,0.35,0.0011
2024-06-29:03,11,7,0.0466,0.0034,0.38,0.0010
2024-06-29:02,9,7,0.0459,0.0036,0.40,0.0010
2024-06-29:01,10,7,0.0443,0.0036,0.42,0.0010
2024-06-28:24,13,10,0.0453,0.0038,0.34,0.0010
2024-06-28:23,13,3,0.0422,0.0054,0.36,0.0010
2024-06-28:22,18,3,0.0314,0.0072,0.36,0.0011
2024-06-28:21,12,4,0.0468,0.0080,0.42,0.0012
2024-06-28:20,14,3,0.0515,0.0066,0.35,0.0012
2024-06-28:19,14,6,0.0625,0.0066,0.39,0.0013
2024-06-28:18,17,11,0.0651,0.0067,0.46,0.0014
2024-06-28:17,13,6,0.0643,0.0050,0.42,0.0013
2024-06-28:16,8,2,0.0557,0.0036,0.32,0.0012
2024-06-28:15,17,7,0.0618,0.0059,0.42,0.0015
2024-06-28:14,20,10,0.0596,0.0084,0.41,0.0017
2024-06-28:13,15,,0.0552,0.0043,0.43,0.0016
2024-06-28:12,18,,0.0492,0.0044,0.44,0.0016
2024-06-28:11,26,14,0.0422,0.0050,0.44,0.0015
2024-06-28:10,19,11,0.0359,0.0057,0.47,0.0014
2024-06-28:09,18,15,0.0249,0.0062,0.42,0.0012
2024-06-28:08,26,20,0.0197,0.0079,0.41,0.0012
