tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,23,13,0.0465,0.0042,0.41,0.0022
2024-04-30:23,26,18,0.0483,0.0053,0.48,0.0023
2024-04-30:22,31,20,0.0513,0.0056,0.55,0.0023
2024-04-30:21,29,21,0.0554,0.0053,0.64,0.0029
2024-04-30:20,28,17,0.0474,0.0125,0.64,0.0031
2024-04-30:19,25,20,0.0458,0.0154,0.64,0.0041
2024-04-30:18,28,17,0.0489,0.0108,0.64,0.0042
2024-04-30:17,29,18,0.0537,0.0089,0.69,0.0049
2024-04-30:16,24,11,0.0511,0.0094,0.75,0.0058
2024-04-30:15,16,9,0.0489,0.0068,0.47,0.0029
2024-04-30:14,15,8,0.0463,0.0040,0.39,0.0023
2024-04-30:13,19,9,0.0400,0.0073,0.39,0.0023
2024-04-30:12,20,9,0.0400,0.0092,0.40,0.0024
2024-04-30:11,25,13,0.0382,0.0098,0.40,0.0026
2024-04-30:10,29,13,0.0268,0.0140,0.41,0.0037
2024-04-30:09,31,14,0.0233,0.0131,0.42,0.0041
2024-04-30:08,27,17,0.0190,0.0122,0.41,0.0028
2024-04-30:07,27,15,0.0048,0.0203,0.40,0.0024
2024-04-30:06,25,14,0.0088,0.0186,0.40,0.0024
2024-04-30:05,22,12,0.0142,0.0184,0.38,0.0023
2024-04-30:04,21,12,0.0251,0.0115,0.38,0.0023
2024-04-30:03,21,10,0.0285,0.0065,0.39,0.0025
2024-04-30:02,18,6,0.0353,0.0047,0.38,0.0023
2024-04-30:01,17,7,0.0351,0.0080,0.39,0.0023
2024-04-29:24,15,7,0.0393,0.0057,0.38,0.0026
2024-04-29:23,14,6,0.0362,0.0103,0.40,0.0022
2024-04-29:22,10,5,0.0396,0.0087,0.40,0.0022
2024-04-29:21,13,7,0.0391,0.0093,0.41,0.0022
2024-04-29:20,13,5,0.0346,0.0126,0.42,0.0023
2024-04-29:19,13,5,0.0337,0.0135,0.44,0.0023
2024-04-29:18,11,6,0.0295,0.0173,0.44,0.0023
2024-04-29:17,11,8,0.0332,0.0129,0.43,0.0023
2024-04-29:16,11,7,0.0286,0.0161,0.43,0.0022
2024-04-29:15,15,7,0.0302,0.0145,0.41,0.0022
2024-04-29:14,10,8,0.0306,0.0135,0.42,0.0022
2024-04-29:13,12,8,0.0277,0.0171,0.43,0.0023
2024-04-29:12,13,12,0.0313,0.0134,0.43,0.0023
2024-04-29:11,21,16,0.0331,0.0119,0.44,0.0024
2024-04-29:10,24,22,0.0268,0.0176,0.47,0.0023
2024-04-29:09,30,25,0.0351,0.0115,0.50,0.0024
2024-04-29:08,38,23,0.0384,0.0092,0.49,0.0025
2024-04-29:07,40,24,0.0376,0.0103,0.49,0.0026
2024-04-29:06,38,24,0.0389,0.0082,0.46,0.0026
2024-04-29:05,38,24,0.0333,0.0074,0.42,0.0026
2024-04-29:04,48,25,0.0402,0.0062,0.41,0.0029
2024-04-29:03,51,22,0.0472,0.0063,0.40,0.0034
2024-04-29:02,42,23,0.0531,0.0056,0.39,0.0034
2024-04-29:01,31,18,0.0567,0.0052,0.39,0.0030
2024-04-28:24,31,20,0.0553,0.0057,0.42,0.0028
2024-04-28:23,32,23,0.0566,0.0065,0.43,0.0029
2024-04-28:22,33,20,0.0557,0.0082,0.43,0.0030
2024-04-28:21,31,19,0.0526,0.0103,0.43,0.0029
2024-04-28:20,28,13,0.0554,0.0144,0.42,0.0034
2024-04-28:19,31,16,0.0673,0.0120,0.42,0.0044
2024-04-28:18,34,18,0.0783,0.0104,0.45,0.0045
2024-04-28:17,37,19,0.0848,0.0091,0.46,0.0041
2024-04-28:16,40,19,0.0880,0.0085,0.49,0.0046
2024-04-28:15,43,19,0.0876,0.0088,0.53,0.0052
2024-04-28:14,41,20,0.0920,0.0085,0.77,0.0060
2024-04-28:13,40,24,0.0827,0.0071,0.81,0.0057
2024-04-28:12,48,30,0.0745,0.0080,0.82,0.0057
2024-04-28:11,52,33,0.0598,0.0103,0.69,0.0044
2024-04-28:10,57,41,0.0483,0.0088,0.63,0.0035
2024-04-28:09,54,37,0.0268,0.0180,0.64,0.0042
2024-04-28:08,45,35,0.0128,0.0151,0.59,0.0026
2024-04-28:07,46,35,0.0112,0.0108,0.57,0.0024
2024-04-28:06,47,35,0.0095,0.0093,0.55,0.0023
2024-04-28:05,48,37,0.0127,0.0091,0.53,0.0023
2024-04-28:04,50,36,0.0186,0.0088,0.55,0.0023
2024-04-28:03,45,34,0.0193,0.0092,0.54,0.0023
2024-04-28:02,45,31,0.0227,0.0096,0.55,0.0024
2024-04-28:01,39,27,0.0305,0.0110,0.52,0.0025
2024-04-27:24,38,28,0.0331,0.0122,0.55,0.0027
2024-04-27:23,46,32,0.0376,0.0142,0.57,0.0029
2024-04-27:22,50,33,0.0435,0.0151,0.59,0.0032
2024-04-27:21,51,28,0.0699,0.0137,0.55,0.0046
2024-04-27:20,50,26,0.0807,0.0123,0.54,0.0054
2024-04-27:19,43,22,0.0815,0.0144,0.53,0.0046
2024-04-27:18,39,16,0.0837,0.0119,0.52,0.0041
2024-04-27:17,34,13,0.0825,0.0086,0.47,0.0034
2024-04-27:16,26,11,0.0775,0.0071,0.38,0.0027
2024-04-27:15,29,8,0.0725,0.0058,0.35,0.0027
2024-04-27:14,27,11,0.0739,0.0062,0.38,0.0028
2024-04-27:13,28,16,0.0697,0.0066,0.44,0.0028
2024-04-27:12,36,21,0.0659,0.0065,0.51,0.0031
2024-04-27:11,37,24,0.0524,0.0092,0.57,0.0033
2024-04-27:10,27,21,0.0281,0.0136,0.56,0.0029
2024-04-27:09,33,19,0.0096,0.0153,0.52,0.0025
2024-04-27:08,38,19,0.0045,0.0151,0.55,0.0026
2024-04-27:07,33,20,0.0033,0.0146,0.48,0.0026
2024-04-27:06,30,18,0.0026,0.0112,0.40,0.0024
2024-04-27:05,29,21,0.0030,0.0105,0.38,0.0023
2024-04-27:04,28,22,0.0027,0.0126,0.40,0.0023
2024-04-27:03,30,24,0.0038,0.0128,0.40,0.0023
2024-04-27:02,31,21,0.0065,0.0105,0.41,0.0023
2024-04-27:01,26,17,0.0072,0.0128,0.43,0.0023
2024-04-26:24,24,14,0.0106,0.0165,0.43,0.0024
2024-04-26:23,20,14,0.0120,0.0189,0.45,0.0024
2024-04-26:22,19,12,0.0164,0.0219,0.43,0.0025
2024-04-26:21,28,15,0.0253,0.0221,0.46,0.0027
2024-04-26:20,26,14,0.0437,0.0192,0.42,0.0031
2024-04-26:19,30,21,0.0558,0.0168,0.43,0.0035
2024-04-26:18,50,37,0.0714,0.0149,0.50,0.0043
2024-04-26:17,79,44,0.1130,0.0214,0.98,0.0110
2024-04-26:16,60,30,0.1326,0.0258,2.50,0.0227
2024-04-26:15,38,21,0.0769,0.0100,1.02,0.0078
2024-04-26:14,36,21,0.0633,0.0087,0.64,0.0054
2024-04-26:13,39,21,0.0444,0.0143,0.57,0.0041
2024-04-26:12,38,21,0.0460,0.0115,0.56,0.0048
2024-04-26:11,39,23,0.0297,0.0163,0.52,0.0051
2024-04-26:10,41,27,0.0116,0.0248,0.56,0.0098
2024-04-26:09,35,23,0.0088,0.0206,0.50,0.0079
2024-04-26:08,33,22,0.0076,0.0160,0.46,0.0029
2024-04-26:07,26,17,0.0067,0.0136,0.41,0.0026
2024-04-26:06,28,18,0.0082,0.0143,0.41,0.0026
2024-04-26:05,24,22,0.0119,0.0115,0.42,0.0026
2024-04-26:04,22,,0.0127,0.0110,0.44,0.0024
2024-04-26:03,27,25,0.0163,0.0089,0.42,0.0024
2024-04-26:02,23,22,0.0143,0.0107,0.44,0.0023
2024-04-26:01,30,19,0.0171,0.0107,0.46,0.0024
2024-04-25:24,29,18,0.0191,0.0132,0.47,0.0026
2024-04-25:23,30,19,0.0215,0.0172,0.50,0.0028
2024-04-25:22,33,18,0.0260,0.0174,0.52,0.0032
2024-04-25:21,29,13,0.0379,0.0217,0.49,0.0045
2024-04-25:20,29,11,0.0548,0.0160,0.48,0.0059
2024-04-25:19,31,14,0.0633,0.0153,0.49,0.0054
2024-04-25:18,31,14,0.0752,0.0120,0.54,0.0047
2024-04-25:17,30,14,0.0911,0.0089,0.65,0.0055
2024-04-25:16,23,7,0.0856,0.0087,0.72,0.0064
2024-04-25:15,20,4,0.0684,0.0066,0.49,0.0045
2024-04-25:14,14,3,0.0615,0.0057,0.38,0.0033
2024-04-25:13,11,2,0.0556,0.0062,0.26,0.0023
2024-04-25:12,17,2,0.0447,0.0092,0.29,0.0026
2024-04-25:11,21,5,0.0409,0.0099,0.30,0.0031
2024-04-25:10,19,8,0.0336,0.0121,0.31,0.0040
2024-04-25:09,23,12,0.0182,0.0163,0.33,0.0031
2024-04-25:08,24,14,0.0080,0.0160,0.34,0.0030
2024-04-25:07,23,11,0.0032,0.0122,0.31,0.0024
2024-04-25:06,22,11,0.0034,0.0087,0.28,0.0023
2024-04-25:05,22,14,0.0034,0.0097,0.28,0.0023
2024-04-25:04,23,14,0.0052,0.0095,0.30,0.0023
2024-04-25:03,25,14,0.0077,0.0097,0.29,0.0023
2024-04-25:02,22,15,0.0122,0.0073,0.30,0.0023
2024-04-25:01,20,13,0.0136,0.0100,0.29,0.0023
2024-04-24:24,27,13,0.0103,0.0176,0.31,0.0023
2024-04-24:23,27,13,0.0168,0.0157,0.31,0.0023
2024-04-24:22,32,12,0.0198,0.0183,0.33,0.0023
2024-04-24:21,33,10,0.0187,0.0257,0.37,0.0023
2024-04-24:20,32,7,0.0317,0.0203,0.33,0.0023
2024-04-24:19,29,8,0.0451,0.0116,0.29,0.0023
2024-04-24:18,29,11,0.0502,0.0073,0.27,0.0023
2024-04-24:17,27,9,0.0471,0.0080,0.28,0.0023
2024-04-24:16,,,,,,
2024-04-24:15,,,,,,
2024-04-24:14,,,,,,
2024-04-24:13,,,,,,
2024-04-24:12,22,9,0.0399,0.0076,0.32,0.0024
2024-04-24:11,17,9,0.0272,0.0108,0.35,0.0026
2024-04-24:10,18,10,0.0161,0.0105,0.34,0.0023
2024-04-24:09,19,8,0.0105,0.0139,0.34,0.0023
2024-04-24:08,16,8,0.0173,0.0058,0.30,0.0023
2024-04-24:07,13,6,0.0117,0.0080,0.29,0.0023
2024-04-24:06,11,6,0.0151,0.0085,0.28,0.0024
2024-04-24:05,14,6,0.0219,0.0054,0.28,0.0028
2024-04-24:04,13,8,0.0225,0.0045,0.28,0.0024
2024-04-24:03,15,8,0.0201,0.0073,0.30,0.0024
2024-04-24:02,17,8,0.0208,0.0051,0.32,0.0024
2024-04-24:01,17,8,0.0211,0.0068,0.32,0.0027
2024-04-23:24,17,9,0.0232,0.0070,0.33,0.0024
2024-04-23:23,21,10,0.0228,0.0091,0.34,0.0027
2024-04-23:22,30,12,0.0235,0.0090,0.35,0.0025
2024-04-23:21,41,15,0.0290,0.0052,0.34,0.0026
2024-04-23:20,46,18,0.0307,0.0061,0.35,0.0030
2024-04-23:19,,,,,,
2024-04-23:18,,,,,,
2024-04-23:17,29,11,0.0504,0.0062,0.47,0.0024
2024-04-23:16,27,14,0.0534,0.0051,0.46,0.0025
2024-04-23:15,30,16,0.0561,0.0049,0.46,0.0024
2024-04-23:14,30,14,0.0565,0.0050,0.47,0.0024
2024-04-23:13,30,15,0.0571,0.0046,0.48,0.0024
2024-04-23:12,28,18,0.0572,0.0043,0.47,0.0025
2024-04-23:11,31,16,0.0549,0.0044,0.47,0.0024
2024-04-23:10,28,20,0.0505,0.0052,0.47,0.0025
2024-04-23:09,22,15,0.0376,0.0090,0.48,0.0029
2024-04-23:08,23,14,0.0278,0.0133,0.47,0.0027
2024-04-23:07,26,15,0.0180,0.0188,0.46,0.0030
2024-04-23:06,21,13,0.0235,0.0110,0.44,0.0032
2024-04-23:05,23,10,0.0166,0.0116,0.44,0.0028
2024-04-23:04,24,14,0.0157,0.0096,0.45,0.0029
2024-04-23:03,27,17,0.0142,0.0114,0.46,0.0027
2024-04-23:02,33,15,0.0099,0.0133,0.48,0.0025
2024-04-23:01,29,14,0.0090,0.0119,0.49,0.0025
2024-04-22:24,30,14,0.0113,0.0137,0.51,0.0025
2024-04-22:23,32,16,0.0149,0.0142,0.52,0.0031
2024-04-22:22,29,16,0.0108,0.0183,0.55,0.0025
2024-04-22:21,32,13,0.0153,0.0143,0.52,0.0022
2024-04-22:20,30,10,0.0317,0.0075,0.47,0.0023
2024-04-22:19,28,12,0.0345,0.0062,0.46,0.0023
2024-04-22:18,26,13,0.0372,0.0052,0.45,0.0022
