tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,8,7,0.0294,0.0084,0.28,0.0019
2024-02-29:23,11,9,0.0300,0.0100,0.29,0.0019
2024-02-29:22,13,10,0.0305,0.0105,0.28,0.0019
2024-02-29:21,12,9,0.0283,0.0131,0.29,0.0019
2024-02-29:20,7,7,0.0286,0.0143,0.30,0.0019
2024-02-29:19,7,5,0.0295,0.0153,0.33,0.0019
2024-02-29:18,10,3,0.0324,0.0142,0.30,0.0019
2024-02-29:17,4,4,0.0335,0.0134,0.30,0.0020
2024-02-29:16,7,5,0.0386,0.0098,0.27,0.0019
2024-02-29:15,9,7,0.0403,0.0087,0.28,0.0020
2024-02-29:14,12,9,0.0377,0.0100,0.32,0.0021
2024-02-29:13,16,11,0.0314,0.0150,0.26,0.0020
2024-02-29:12,29,19,0.0146,0.0269,,0.0022
2024-02-29:11,32,19,0.0158,0.0266,0.18,0.0023
2024-02-29:10,40,23,0.0112,0.0282,0.37,0.0024
2024-02-29:09,36,23,0.0155,0.0198,0.36,0.0022
2024-02-29:08,31,19,0.0132,0.0182,0.35,0.0021
2024-02-29:07,30,17,0.0139,0.0178,0.32,0.0022
2024-02-29:06,30,17,0.0144,0.0186,0.30,0.0023
2024-02-29:05,26,17,0.0147,0.0187,0.31,0.0025
2024-02-29:04,24,17,0.0145,0.0170,0.31,0.0024
2024-02-29:03,25,15,0.0181,0.0174,0.30,0.0026
2024-02-29:02,21,12,0.0179,0.0180,0.31,0.0026
2024-02-29:01,22,12,0.0191,0.0189,0.33,0.0025
2024-02-28:24,20,9,0.0284,0.0134,0.28,0.0024
2024-02-28:23,17,8,0.0309,0.0133,0.28,0.0023
2024-02-28:22,20,8,0.0350,0.0124,0.29,0.0023
2024-02-28:21,15,8,0.0405,0.0116,0.27,0.0023
2024-02-28:20,25,9,0.0388,0.0144,0.27,0.0025
2024-02-28:19,27,10,0.0407,0.0157,0.28,0.0027
2024-02-28:18,29,8,0.0405,0.0187,0.31,0.0037
2024-02-28:17,18,7,0.0486,0.0079,0.24,0.0020
2024-02-28:16,24,11,0.0517,0.0081,0.25,0.0020
2024-02-28:15,30,11,0.0511,0.0099,0.27,0.0020
2024-02-28:14,23,12,0.0484,0.0100,0.26,0.0020
2024-02-28:13,26,10,0.0441,0.0116,0.26,0.0020
2024-02-28:12,31,13,0.0312,0.0210,0.31,0.0024
2024-02-28:11,36,19,0.0264,0.0219,0.34,0.0028
2024-02-28:10,40,20,0.0165,0.0281,0.38,0.0032
2024-02-28:09,47,23,0.0066,0.0318,0.47,0.0043
2024-02-28:08,35,15,0.0048,0.0296,0.47,0.0031
2024-02-28:07,27,15,0.0060,0.0277,0.33,0.0033
2024-02-28:06,23,11,0.0089,0.0227,0.31,0.0023
2024-02-28:05,22,12,0.0098,0.0210,0.33,0.0022
2024-02-28:04,21,11,0.0196,0.0130,0.32,0.0018
2024-02-28:03,21,9,0.0124,0.0191,0.31,0.0018
