tm,pm10,pm25,o3,no2,co,so2,,,,,,
2024-02-29:24,좋음,14,좋음,10,좋음,0.0267,좋음,0.0185,좋음,0.37,좋음,0.0025
2024-02-29:23,좋음,14,좋음,13,좋음,0.0227,좋음,0.0231,좋음,0.43,좋음,0.0021
2024-02-29:22,좋음,14,좋음,13,좋음,0.0225,좋음,0.0229,좋음,0.45,좋음,0.0022
2024-02-29:21,좋음,13,좋음,13,좋음,0.0212,좋음,0.0245,좋음,0.48,좋음,0.0023
2024-02-29:20,좋음,11,좋음,8,좋음,0.0258,좋음,0.0223,좋음,0.46,좋음,0.0021
2024-02-29:19,좋음,6,좋음,5,좋음,0.0242,좋음,0.0273,좋음,0.49,좋음,0.0024
2024-02-29:18,좋음,3,좋음,2,좋음,0.0256,좋음,0.0263,좋음,0.42,좋음,0.0024
2024-02-29:17,좋음,3,,,좋음,0.0258,좋음,0.0264,좋음,0.37,좋음,0.0024
2024-02-29:16,좋음,7,좋음,4,좋음,0.0300,좋음,0.0225,좋음,0.35,좋음,0.0025
2024-02-29:15,좋음,8,좋음,5,보통,0.0346,좋음,0.0194,좋음,0.34,좋음,0.0025
2024-02-29:14,좋음,12,좋음,8,보통,0.0363,좋음,0.0160,좋음,0.37,좋음,0.0027
2024-02-29:13,좋음,22,좋음,14,좋음,0.0255,좋음,0.0247,좋음,0.37,좋음,0.0027
2024-02-29:12,좋음,28,보통,16,좋음,0.0150,좋음,0.0299,좋음,0.41,좋음,0.0027
2024-02-29:11,보통,44,보통,21,좋음,0.0173,좋음,0.0282,좋음,0.39,좋음,0.0030
2024-02-29:10,보통,58,보통,25,좋음,0.0049,보통,0.0413,좋음,0.52,좋음,0.0031
2024-02-29:09,보통,46,보통,21,좋음,0.0039,보통,0.0420,좋음,0.51,좋음,0.0033
2024-02-29:08,보통,35,보통,20,좋음,0.0035,보통,0.0403,좋음,0.48,좋음,0.0028
2024-02-29:07,좋음,29,보통,18,좋음,0.0047,보통,0.0368,좋음,0.41,좋음,0.0028
2024-02-29:06,좋음,25,보통,16,좋음,0.0154,좋음,0.0221,좋음,0.36,좋음,0.0029
2024-02-29:05,좋음,26,보통,17,좋음,0.0173,좋음,0.0222,좋음,0.38,좋음,0.0029
2024-02-29:04,좋음,26,보통,16,좋음,0.0130,좋음,0.0266,좋음,0.43,좋음,0.0032
2024-02-29:03,보통,31,보통,18,좋음,0.0196,좋음,0.0216,좋음,0.38,좋음,0.0031
2024-02-29:02,좋음,26,좋음,14,좋음,0.0209,좋음,0.0243,좋음,0.40,좋음,0.0036
2024-02-29:01,좋음,30,보통,17,좋음,0.0177,좋음,0.0299,좋음,0.41,좋음,0.0038
2024-02-28:24,좋음,27,보통,17,좋음,0.0227,좋음,0.0265,좋음,0.41,좋음,0.0040
2024-02-28:23,좋음,26,좋음,13,보통,0.0322,좋음,0.0225,좋음,0.36,좋음,0.0054
2024-02-28:22,좋음,25,좋음,12,보통,0.0327,좋음,0.0237,좋음,0.37,좋음,0.0054
2024-02-28:21,좋음,27,좋음,13,보통,0.0326,좋음,0.0238,좋음,0.36,좋음,0.0060
2024-02-28:20,보통,31,좋음,15,보통,0.0355,좋음,0.0238,좋음,0.37,좋음,0.0048
2024-02-28:19,좋음,28,보통,16,보통,0.0338,좋음,0.0268,좋음,0.36,좋음,0.0044
2024-02-28:18,좋음,16,좋음,10,보통,0.0470,좋음,0.0111,좋음,0.30,좋음,0.0024
2024-02-28:17,좋음,18,좋음,8,보통,0.0488,좋음,0.0088,좋음,0.28,좋음,0.0023
2024-02-28:16,좋음,19,좋음,8,보통,0.0484,좋음,0.0093,좋음,0.28,좋음,0.0024
2024-02-28:15,좋음,21,좋음,15,보통,0.0493,좋음,0.0079,좋음,0.27,좋음,0.0022
2024-02-28:14,좋음,28,보통,16,보통,0.0481,좋음,0.0099,좋음,0.28,좋음,0.0023
2024-02-28:13,좋음,28,보통,19,보통,0.0439,좋음,0.0096,좋음,0.30,좋음,0.0025
2024-02-28:12,보통,32,보통,18,보통,0.0348,좋음,0.0131,좋음,0.31,좋음,0.0025
2024-02-28:11,보통,37,보통,16,보통,0.0317,좋음,0.0147,좋음,0.33,좋음,0.0026
2024-02-28:10,보통,45,보통,17,좋음,0.0152,좋음,0.0298,좋음,0.47,좋음,0.0026
2024-02-28:09,보통,40,좋음,12,좋음,0.0081,보통,0.0342,좋음,0.55,좋음,0.0028
2024-02-28:08,보통,43,좋음,15,좋음,0.0043,보통,0.0360,좋음,0.54,좋음,0.0024
2024-02-28:07,보통,41,보통,16,좋음,0.0046,보통,0.0329,좋음,0.43,좋음,0.0025
2024-02-28:06,보통,31,좋음,14,좋음,0.0064,좋음,0.0296,좋음,0.40,좋음,0.0021
2024-02-28:05,좋음,28,좋음,14,좋음,0.0096,좋음,0.0259,좋음,0.39,좋음,0.0023
2024-02-28:04,좋음,25,좋음,12,좋음,0.0150,좋음,0.0221,좋음,0.37,좋음,0.0023
2024-02-28:03,좋음,26,좋음,12,좋음,0.0169,좋음,0.0206,좋음,0.40,좋음,0.0027
2024-02-28:02,좋음,24,좋음,12,좋음,0.0155,좋음,0.0243,좋음,0.41,좋음,0.0025
2024-02-28:01,좋음,26,좋음,14,좋음,0.0165,좋음,0.0248,좋음,0.42,좋음,0.0027
2024-02-27:24,보통,32,좋음,15,좋음,0.0189,좋음,0.0247,좋음,0.43,좋음,0.0025
2024-02-27:23,보통,35,좋음,13,좋음,0.0178,좋음,0.0283,좋음,0.45,좋음,0.0026
2024-02-27:22,보통,32,좋음,14,좋음,0.0224,좋음,0.0268,좋음,0.43,좋음,0.0028
2024-02-27:21,보통,33,보통,16,좋음,0.0234,좋음,0.0268,좋음,0.42,좋음,0.0030
2024-02-27:20,보통,33,보통,17,보통,0.0332,좋음,0.0152,좋음,0.36,좋음,0.0024
2024-02-27:19,좋음,28,좋음,9,보통,0.0320,좋음,0.0131,좋음,0.34,좋음,0.0021
2024-02-27:18,,,,,,,,,,,,
2024-02-27:17,보통,32,좋음,14,보통,0.0445,좋음,0.0088,좋음,0.30,좋음,0.0023
2024-02-27:16,보통,34,보통,16,보통,0.0457,좋음,0.0076,좋음,0.29,좋음,0.0022
2024-02-27:15,좋음,24,좋음,9,보통,0.0464,좋음,0.0073,좋음,0.29,좋음,0.0023
2024-02-27:14,좋음,27,좋음,11,보통,0.0448,좋음,0.0084,좋음,0.30,좋음,0.0025
2024-02-27:13,좋음,25,좋음,13,보통,0.0443,좋음,0.0088,좋음,0.30,좋음,0.0022
2024-02-27:12,좋음,27,보통,17,보통,0.0443,좋음,0.0078,좋음,0.30,좋음,0.0024
2024-02-27:11,좋음,24,좋음,13,보통,0.0434,좋음,0.0086,좋음,0.30,좋음,0.0024
2024-02-27:10,좋음,25,좋음,11,좋음,0.0270,좋음,0.0234,좋음,0.38,좋음,0.0025
2024-02-27:09,보통,33,좋음,9,좋음,0.0094,보통,0.0379,좋음,0.49,좋음,0.0026
2024-02-27:08,좋음,28,좋음,11,좋음,0.0033,보통,0.0429,좋음,0.60,좋음,0.0025
2024-02-27:07,좋음,17,좋음,12,좋음,0.0027,보통,0.0378,좋음,0.41,좋음,0.0021
2024-02-27:06,좋음,15,좋음,9,좋음,0.0109,좋음,0.0283,좋음,0.36,좋음,0.0021
2024-02-27:05,좋음,12,좋음,8,좋음,0.0166,좋음,0.0224,좋음,0.35,좋음,0.0022
2024-02-27:04,좋음,12,좋음,8,좋음,0.0199,좋음,0.0194,좋음,0.36,좋음,0.0024
2024-02-27:03,좋음,11,좋음,6,좋음,0.0208,좋음,0.0189,좋음,0.36,좋음,0.0023
2024-02-27:02,좋음,10,좋음,6,좋음,0.0243,좋음,0.0185,좋음,0.35,좋음,0.0022
2024-02-27:01,좋음,12,좋음,6,보통,0.0311,좋음,0.0160,좋음,0.35,좋음,0.0024
2024-02-26:24,좋음,13,좋음,8,보통,0.0340,좋음,0.0133,좋음,0.33,좋음,0.0023
2024-02-26:23,좋음,14,좋음,9,보통,0.0370,좋음,0.0118,좋음,0.35,좋음,0.0023
2024-02-26:22,좋음,13,좋음,8,보통,0.0356,좋음,0.0140,좋음,0.36,좋음,0.0023
2024-02-26:21,좋음,13,좋음,9,보통,0.0379,좋음,0.0130,좋음,0.33,좋음,0.0024
2024-02-26:20,좋음,14,좋음,6,보통,0.0387,좋음,0.0127,좋음,0.32,좋음,0.0028
2024-02-26:19,좋음,13,좋음,8,보통,0.0385,좋음,0.0133,좋음,0.33,좋음,0.0025
2024-02-26:18,좋음,16,좋음,8,보통,0.0393,좋음,0.0128,좋음,0.33,좋음,0.0028
2024-02-26:17,좋음,9,좋음,6,보통,0.0402,좋음,0.0117,좋음,0.30,좋음,0.0024
