tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,9,8,0.0436,0.0100,0.31,0.0024
2024-04-30:23,9,8,0.0428,0.0108,0.31,0.0024
2024-04-30:22,14,12,0.0388,0.0131,0.34,0.0026
2024-04-30:21,20,14,0.0421,0.0138,0.36,0.0027
2024-04-30:20,34,23,0.0446,0.0159,0.36,0.0026
2024-04-30:19,32,20,0.0409,0.0242,0.39,0.0027
2024-04-30:18,33,25,0.0418,0.0221,0.35,0.0028
2024-04-30:17,20,16,0.0420,0.0143,0.32,0.0025
2024-04-30:16,20,10,0.0425,0.0111,0.30,0.0025
2024-04-30:15,13,12,0.0420,0.0106,0.30,0.0024
2024-04-30:14,17,12,0.0420,0.0117,0.32,0.0023
2024-04-30:13,22,18,0.0408,0.0114,0.33,0.0023
2024-04-30:12,,,,,,
2024-04-30:11,,,,,,
2024-04-30:10,18,13,0.0314,0.0162,0.35,0.0027
2024-04-30:09,23,14,0.0298,0.0151,0.35,0.0029
2024-04-30:08,25,15,0.0223,0.0192,0.36,0.0027
2024-04-30:07,22,15,0.0209,0.0196,0.35,0.0024
2024-04-30:06,19,11,0.0253,0.0165,0.32,0.0025
2024-04-30:05,18,14,0.0295,0.0129,0.31,0.0025
2024-04-30:04,19,14,0.0311,0.0116,0.31,0.0024
2024-04-30:03,19,11,0.0316,0.0113,0.32,0.0023
2024-04-30:02,17,11,0.0314,0.0124,0.32,0.0024
2024-04-30:01,15,8,0.0364,0.0113,0.32,0.0021
2024-04-29:24,18,10,0.0347,0.0127,0.34,0.0024
2024-04-29:23,17,11,0.0345,0.0148,0.36,0.0025
2024-04-29:22,15,11,0.0333,0.0159,0.38,0.0026
2024-04-29:21,17,11,0.0368,0.0159,0.39,0.0024
2024-04-29:20,17,12,0.0382,0.0164,0.40,0.0022
2024-04-29:19,15,10,0.0403,0.0157,0.40,0.0025
2024-04-29:18,14,11,0.0412,0.0157,0.42,0.0024
2024-04-29:17,12,11,0.0422,0.0146,0.39,0.0023
2024-04-29:16,16,15,0.0408,0.0152,0.40,0.0023
2024-04-29:15,14,11,0.0411,0.0152,0.41,0.0025
2024-04-29:14,17,13,0.0392,0.0162,0.40,0.0026
2024-04-29:13,20,15,0.0391,0.0146,0.38,0.0024
2024-04-29:12,22,17,0.0402,0.0139,0.36,0.0024
2024-04-29:11,28,21,0.0370,0.0163,0.36,0.0026
2024-04-29:10,33,25,0.0323,0.0210,0.41,0.0022
2024-04-29:09,40,28,0.0294,0.0226,0.47,0.0026
2024-04-29:08,45,28,0.0334,0.0170,0.47,0.0027
2024-04-29:07,45,28,0.0403,0.0131,0.44,0.0026
2024-04-29:06,47,29,0.0431,0.0107,0.40,0.0027
2024-04-29:05,47,27,0.0454,0.0104,0.42,0.0031
2024-04-29:04,45,24,0.0463,0.0105,0.40,0.0031
2024-04-29:03,42,23,0.0491,0.0103,0.36,0.0031
2024-04-29:02,42,25,0.0515,0.0102,0.36,0.0033
2024-04-29:01,48,26,0.0470,0.0128,0.40,0.0041
2024-04-28:24,54,25,0.0450,0.0152,0.42,0.0053
2024-04-28:23,51,25,0.0475,0.0163,0.42,0.0058
2024-04-28:22,42,25,0.0512,0.0167,0.43,0.0049
2024-04-28:21,35,24,0.0535,0.0161,0.43,0.0040
2024-04-28:20,28,22,0.0481,0.0186,0.42,0.0037
2024-04-28:19,25,19,0.0491,0.0169,0.37,0.0037
2024-04-28:18,32,15,0.0566,0.0139,0.35,0.0040
2024-04-28:17,31,19,0.0652,0.0120,0.35,0.0041
2024-04-28:16,38,22,0.0736,0.0128,0.37,0.0044
2024-04-28:15,43,24,0.0800,0.0138,0.40,0.0050
2024-04-28:14,49,25,0.0820,0.0141,0.42,0.0048
2024-04-28:13,62,35,0.0826,0.0155,0.52,0.0058
2024-04-28:12,68,38,0.0668,0.0163,0.51,0.0073
2024-04-28:11,63,36,0.0596,0.0152,0.48,0.0036
2024-04-28:10,59,41,0.0433,0.0176,0.49,0.0037
2024-04-28:09,51,34,0.0387,0.0176,0.47,0.0030
2024-04-28:08,50,34,0.0388,0.0154,0.45,0.0031
2024-04-28:07,51,35,0.0273,0.0212,0.48,0.0029
2024-04-28:06,57,39,0.0296,0.0175,0.52,0.0031
2024-04-28:05,56,36,0.0253,0.0184,0.50,0.0031
2024-04-28:04,53,34,0.0255,0.0195,0.52,0.0030
2024-04-28:03,50,31,0.0350,0.0189,0.50,0.0034
2024-04-28:02,49,30,0.0349,0.0203,0.52,0.0038
2024-04-28:01,50,31,0.0384,0.0229,0.51,0.0045
2024-04-27:24,50,30,0.0424,0.0226,0.51,0.0041
2024-04-27:23,48,27,0.0472,0.0255,0.53,0.0043
2024-04-27:22,56,30,0.0528,0.0244,0.54,0.0043
2024-04-27:21,52,26,0.0666,0.0210,0.53,0.0039
2024-04-27:20,56,26,0.0822,0.0140,0.42,0.0038
2024-04-27:19,63,31,0.0830,0.0179,0.44,0.0038
2024-04-27:18,53,29,0.0815,0.0179,0.43,0.0036
2024-04-27:17,38,21,0.0703,0.0124,0.37,0.0029
2024-04-27:16,35,18,0.0676,0.0110,0.37,0.0028
2024-04-27:15,36,16,0.0675,0.0106,0.36,0.0027
2024-04-27:14,39,19,0.0673,0.0123,0.40,0.0031
2024-04-27:13,52,27,0.0721,0.0129,0.42,0.0032
2024-04-27:12,54,25,0.0745,0.0147,0.47,0.0036
2024-04-27:11,54,31,0.0584,0.0166,0.54,0.0041
2024-04-27:10,64,36,0.0360,0.0191,0.52,0.0032
2024-04-27:09,50,34,0.0170,0.0229,0.54,0.0029
2024-04-27:08,42,28,0.0148,0.0212,0.48,0.0029
2024-04-27:07,45,33,0.0147,0.0230,0.45,0.0028
2024-04-27:06,50,36,0.0128,0.0228,0.46,0.0032
2024-04-27:05,52,38,0.0141,0.0229,0.48,0.0033
2024-04-27:04,48,33,0.0085,0.0281,0.50,0.0033
