tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,15,11,0.0236,0.0167,0.37,0.0022
2024-02-29:23,12,9,0.0221,0.0217,0.37,0.0024
2024-02-29:22,9,7,0.0322,0.0141,0.30,0.0023
2024-02-29:21,8,6,0.0350,0.0121,0.30,0.0025
2024-02-29:20,8,8,0.0301,0.0161,0.32,0.0025
2024-02-29:19,9,9,0.0278,0.0186,0.32,0.0024
2024-02-29:18,7,6,0.0254,0.0204,0.34,0.0025
2024-02-29:17,4,,0.0294,0.0186,0.33,0.0026
2024-02-29:16,12,6,0.0293,0.0196,0.34,0.0027
2024-02-29:15,16,13,0.0232,0.0259,0.34,0.0026
2024-02-29:14,21,17,0.0200,0.0277,0.38,0.0027
2024-02-29:13,31,23,0.0147,0.0306,0.43,0.0030
2024-02-29:12,42,27,0.0064,0.0369,0.48,0.0033
2024-02-29:11,49,31,0.0086,0.0327,0.50,0.0036
2024-02-29:10,49,31,0.0072,0.0314,0.49,0.0031
2024-02-29:09,37,22,0.0098,0.0288,0.46,0.0033
2024-02-29:08,44,32,0.0054,0.0298,0.44,0.0030
2024-02-29:07,33,23,0.0047,0.0279,0.43,0.0028
2024-02-29:06,28,19,0.0038,0.0285,0.39,0.0026
2024-02-29:05,27,18,0.0069,0.0253,0.38,0.0026
2024-02-29:04,28,19,0.0091,0.0241,0.36,0.0027
2024-02-29:03,30,20,0.0047,0.0316,0.39,0.0026
2024-02-29:02,26,16,0.0052,0.0338,0.37,0.0028
2024-02-29:01,22,14,0.0159,0.0231,0.35,0.0025
2024-02-28:24,21,15,0.0203,0.0204,0.36,0.0025
2024-02-28:23,25,16,0.0238,0.0182,0.37,0.0024
2024-02-28:22,21,14,0.0232,0.0218,0.36,0.0026
2024-02-28:21,24,15,0.0189,0.0287,0.39,0.0029
2024-02-28:20,18,12,0.0370,0.0131,0.33,0.0024
2024-02-28:19,16,10,0.0427,0.0108,0.31,0.0025
2024-02-28:18,11,8,0.0450,0.0091,0.29,0.0025
2024-02-28:17,17,11,0.0466,0.0086,0.27,0.0025
2024-02-28:16,23,13,0.0453,0.0103,0.29,0.0023
2024-02-28:15,22,13,0.0446,0.0102,0.29,0.0029
2024-02-28:14,29,20,0.0432,0.0105,0.29,0.0025
2024-02-28:13,33,20,0.0399,0.0111,0.30,0.0029
2024-02-28:12,42,24,0.0304,0.0165,0.35,0.0027
2024-02-28:11,,,,,,
2024-02-28:10,,,,,,
2024-02-28:09,30,14,0.0087,0.0247,0.42,0.0026
2024-02-28:08,28,16,0.0038,0.0262,0.40,0.0023
2024-02-28:07,25,15,0.0129,0.0166,0.36,0.0021
2024-02-28:06,24,15,0.0118,0.0190,0.35,0.0021
2024-02-28:05,26,13,0.0074,0.0228,0.35,0.0024
2024-02-28:04,27,13,0.0119,0.0202,0.38,0.0024
2024-02-28:03,23,13,0.0157,0.0198,0.36,0.0026
2024-02-28:02,23,10,0.0280,0.0101,0.33,0.0023
2024-02-28:01,21,11,0.0303,0.0100,0.34,0.0023
2024-02-27:24,26,13,0.0200,0.0187,0.42,0.0038
2024-02-27:23,25,12,0.0254,0.0171,0.36,0.0034
2024-02-27:22,20,9,0.0384,0.0080,0.32,0.0025
2024-02-27:21,19,9,0.0418,0.0068,0.27,0.0023
2024-02-27:20,22,9,0.0419,0.0065,0.26,0.0022
2024-02-27:19,27,11,0.0405,0.0092,0.31,0.0023
2024-02-27:18,28,13,0.0438,0.0066,0.27,0.0023
2024-02-27:17,26,12,0.0437,0.0072,0.28,0.0024
2024-02-27:16,29,14,0.0430,0.0076,0.29,0.0022
2024-02-27:15,32,16,0.0429,0.0076,0.29,0.0022
2024-02-27:14,22,11,0.0442,0.0067,0.29,0.0022
2024-02-27:13,22,13,0.0441,0.0065,0.28,0.0023
2024-02-27:12,23,14,0.0437,0.0067,0.28,0.0021
2024-02-27:11,23,12,0.0446,0.0058,0.28,0.0022
2024-02-27:10,25,15,0.0230,0.0198,0.34,0.0030
2024-02-27:09,22,14,0.0117,0.0271,0.39,0.0026
2024-02-27:08,17,12,0.0092,0.0285,0.43,0.0025
2024-02-27:07,17,10,0.0092,0.0272,0.33,0.0023
2024-02-27:06,10,9,0.0188,0.0166,0.30,0.0023
2024-02-27:05,8,4,0.0351,0.0077,0.28,0.0019
2024-02-27:04,9,6,0.0375,0.0067,0.27,0.0020
2024-02-27:03,10,7,0.0373,0.0072,0.28,0.0021
2024-02-27:02,8,7,0.0398,0.0065,0.27,0.0022
2024-02-27:01,8,6,0.0423,0.0062,0.27,0.0020
2024-02-26:24,10,5,0.0422,0.0066,0.26,0.0022
2024-02-26:23,11,5,0.0420,0.0065,0.27,0.0020
2024-02-26:22,7,4,0.0419,0.0072,0.27,0.0022
2024-02-26:21,8,5,0.0413,0.0077,0.26,0.0025
2024-02-26:20,10,5,0.0413,0.0077,0.26,0.0025
2024-02-26:19,8,7,0.0406,0.0080,0.28,0.0026
