tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,8,1,0.0195,0.0050,0.16,0.0028
2024-06-30:23,6,2,0.0206,0.0046,0.15,0.0025
2024-06-30:22,4,2,0.0221,0.0050,0.18,0.0028
2024-06-30:21,6,3,0.0273,0.0043,0.18,0.0027
2024-06-30:20,12,5,0.0215,0.0083,0.29,0.0027
2024-06-30:19,9,5,0.0265,0.0041,0.17,0.0028
2024-06-30:18,9,4,0.0276,0.0036,0.17,0.0026
2024-06-30:17,9,4,0.0283,0.0035,0.16,0.0026
2024-06-30:16,6,1,0.0283,0.0035,0.15,0.0025
2024-06-30:15,3,,0.0273,0.0034,0.15,0.0029
2024-06-30:14,7,2,0.0267,0.0041,0.17,0.0027
2024-06-30:13,5,,0.0266,0.0035,0.15,0.0025
2024-06-30:12,2,,0.0254,0.0035,0.15,0.0027
2024-06-30:11,1,,0.0261,0.0037,0.16,0.0029
2024-06-30:10,5,2,0.0247,0.0038,0.15,0.0026
2024-06-30:09,3,1,0.0258,0.0035,0.14,0.0027
2024-06-30:08,5,3,0.0277,0.0031,0.14,0.0025
2024-06-30:07,4,0,0.0286,0.0030,0.15,0.0028
2024-06-30:06,4,1,0.0296,0.0030,0.14,0.0028
2024-06-30:05,5,2,0.0289,0.0028,0.14,0.0030
2024-06-30:04,10,4,0.0261,0.0033,0.14,0.0027
2024-06-30:03,14,6,0.0243,0.0037,0.13,0.0027
2024-06-30:02,19,6,0.0208,0.0054,0.15,0.0028
2024-06-30:01,20,8,0.0191,0.0068,0.17,0.0030
2024-06-29:24,17,7,0.0251,0.0042,0.15,0.0028
2024-06-29:23,12,6,0.0299,0.0032,0.14,0.0029
2024-06-29:22,4,1,0.0256,0.0045,0.18,0.0029
2024-06-29:21,3,2,0.0235,0.0067,0.23,0.0027
2024-06-29:20,3,,0.0268,0.0065,0.25,0.0027
2024-06-29:19,3,1,0.0301,0.0071,0.26,0.0031
2024-06-29:18,4,1,0.0335,0.0073,0.25,0.0030
2024-06-29:17,4,1,0.0371,0.0065,0.24,0.0027
2024-06-29:16,8,3,0.0367,0.0075,0.24,0.0027
2024-06-29:15,5,3,0.0389,0.0052,0.21,0.0027
2024-06-29:14,12,8,0.0388,0.0054,0.21,0.0028
2024-06-29:13,19,14,0.0362,0.0063,0.24,0.0032
2024-06-29:12,19,18,0.0334,0.0084,0.27,0.0031
2024-06-29:11,18,13,0.0353,0.0073,0.26,0.0029
2024-06-29:10,16,10,0.0334,0.0086,0.24,0.0030
2024-06-29:09,13,11,0.0274,0.0086,0.24,0.0029
2024-06-29:08,15,10,0.0270,0.0079,0.23,0.0029
2024-06-29:07,15,10,0.0174,0.0078,0.27,0.0028
2024-06-29:06,14,11,0.0131,0.0077,0.28,0.0029
2024-06-29:05,14,11,0.0168,0.0087,0.26,0.0029
2024-06-29:04,13,10,0.0142,0.0087,0.31,0.0033
2024-06-29:03,14,11,0.0152,0.0092,0.35,0.0031
2024-06-29:02,13,10,0.0223,0.0094,0.31,0.0034
2024-06-29:01,16,11,0.0282,0.0105,0.33,0.0036
2024-06-28:24,17,10,0.0306,0.0123,0.44,0.0045
2024-06-28:23,15,10,0.0369,0.0141,0.50,0.0052
2024-06-28:22,10,5,0.0470,0.0125,0.41,0.0044
