tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,42,34,0.0406,0.0058,0.43,0.0022
2024-04-30:23,49,29,0.0411,0.0058,0.43,0.0022
2024-04-30:22,46,35,0.0458,0.0060,0.44,0.0023
2024-04-30:21,51,38,0.0478,0.0057,0.43,0.0023
2024-04-30:20,44,33,0.0512,0.0054,0.42,0.0023
2024-04-30:19,37,26,0.0562,0.0049,0.41,0.0024
2024-04-30:18,42,27,0.0596,0.0049,0.39,0.0024
2024-04-30:17,37,23,0.0620,0.0045,0.38,0.0024
2024-04-30:16,28,18,0.0593,0.0041,0.35,0.0024
2024-04-30:15,24,12,0.0536,0.0041,0.35,0.0023
2024-04-30:14,21,12,0.0478,0.0038,0.36,0.0023
2024-04-30:13,17,11,0.0416,0.0037,0.35,0.0023
2024-04-30:12,14,5,0.0422,0.0037,0.34,0.0023
2024-04-30:11,7,7,0.0402,0.0041,0.35,0.0023
2024-04-30:10,8,,0.0329,0.0052,0.37,0.0022
2024-04-30:09,23,14,0.0277,0.0080,0.40,0.0023
2024-04-30:08,22,13,0.0216,0.0098,0.40,0.0023
2024-04-30:07,19,12,0.0213,0.0069,0.39,0.0022
2024-04-30:06,19,12,0.0259,0.0049,0.38,0.0022
2024-04-30:05,22,13,0.0293,0.0043,0.37,0.0021
2024-04-30:04,23,11,0.0332,0.0042,0.37,0.0022
2024-04-30:03,17,10,0.0355,0.0045,0.37,0.0023
2024-04-30:02,16,11,0.0384,0.0037,0.37,0.0022
2024-04-30:01,18,8,0.0400,0.0035,0.37,0.0022
2024-04-29:24,12,6,0.0443,0.0039,0.37,0.0022
2024-04-29:23,12,7,0.0445,0.0042,0.38,0.0023
2024-04-29:22,10,8,0.0486,0.0045,0.39,0.0022
2024-04-29:21,11,10,0.0482,0.0054,0.38,0.0022
2024-04-29:20,12,6,0.0472,0.0062,0.41,0.0022
2024-04-29:19,6,6,0.0445,0.0083,0.42,0.0022
2024-04-29:18,9,7,0.0462,0.0085,0.41,0.0022
2024-04-29:17,13,,0.0493,0.0063,0.38,0.0022
2024-04-29:16,12,8,0.0464,0.0087,0.41,0.0022
2024-04-29:15,15,10,0.0458,0.0082,0.39,0.0022
2024-04-29:14,14,13,0.0437,0.0085,0.41,0.0022
2024-04-29:13,17,15,0.0429,0.0078,0.41,0.0021
2024-04-29:12,25,15,,,,
2024-04-29:11,,,,,,
2024-04-29:10,,,0.0375,0.0085,0.45,0.0022
2024-04-29:09,,,0.0344,0.0085,0.46,0.0023
2024-04-29:08,,,0.0363,0.0069,0.44,0.0023
2024-04-29:07,,,0.0356,0.0073,0.42,0.0022
2024-04-29:06,,,0.0425,0.0070,0.42,0.0024
2024-04-29:05,,,0.0480,0.0064,0.41,0.0025
2024-04-29:04,,,0.0556,0.0058,0.40,0.0027
2024-04-29:03,,,0.0631,0.0053,0.40,0.0031
2024-04-29:02,,,0.0687,0.0050,0.41,0.0031
2024-04-29:01,,,0.0723,0.0055,0.44,0.0031
2024-04-28:24,,,0.0781,0.0060,0.44,0.0033
2024-04-28:23,,,0.0768,0.0071,0.48,0.0036
2024-04-28:22,,,0.0779,0.0081,0.54,0.0041
2024-04-28:21,,,0.0776,0.0088,0.58,0.0037
2024-04-28:20,,,0.0847,0.0080,0.54,0.0036
2024-04-28:19,,,0.0819,0.0087,0.51,0.0034
2024-04-28:18,,,0.0846,0.0075,0.51,0.0036
2024-04-28:17,,,0.0896,0.0057,0.56,0.0040
2024-04-28:16,,,0.0803,0.0055,0.39,0.0026
2024-04-28:15,,,0.0798,0.0052,0.36,0.0025
2024-04-28:14,,,0.0800,0.0057,0.39,0.0026
2024-04-28:13,,,0.0747,0.0061,0.40,0.0027
