tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,6,5,0.0299,0.0048,0.29,0.0020
2024-02-29:23,6,,0.0286,0.0062,0.30,0.0021
2024-02-29:22,11,8,0.0265,0.0109,0.31,0.0022
2024-02-29:21,11,10,0.0233,0.0163,0.32,0.0026
2024-02-29:20,9,7,0.0294,0.0150,0.31,0.0024
2024-02-29:19,8,8,0.0331,0.0136,0.31,0.0024
2024-02-29:18,6,,0.0346,0.0129,0.31,0.0023
2024-02-29:17,7,6,0.0393,0.0089,0.29,0.0023
2024-02-29:16,9,6,0.0406,0.0078,0.28,0.0025
2024-02-29:15,11,8,0.0359,0.0106,0.31,0.0023
2024-02-29:14,12,9,0.0368,0.0095,0.30,0.0025
2024-02-29:13,22,14,0.0384,0.0080,0.28,0.0023
2024-02-29:12,35,22,0.0224,0.0163,0.34,0.0024
2024-02-29:11,33,19,0.0092,0.0225,0.40,0.0025
2024-02-29:10,30,16,0.0081,0.0194,0.41,0.0026
2024-02-29:09,21,12,0.0079,0.0165,0.40,0.0024
2024-02-29:08,22,16,0.0054,0.0167,0.32,0.0021
2024-02-29:07,22,18,0.0049,0.0190,0.36,0.0022
2024-02-29:06,18,13,0.0118,0.0106,0.32,0.0021
2024-02-29:05,19,15,0.0136,0.0098,0.30,0.0022
2024-02-29:04,17,11,0.0160,0.0076,0.31,0.0020
2024-02-29:03,21,14,0.0174,0.0080,0.32,0.0021
2024-02-29:02,22,15,0.0190,0.0086,0.31,0.0023
2024-02-29:01,22,15,0.0192,0.0100,0.33,0.0022
2024-02-28:24,21,13,0.0186,0.0123,0.32,0.0025
2024-02-28:23,18,11,0.0217,0.0117,0.33,0.0025
2024-02-28:22,19,11,0.0224,0.0136,0.33,0.0022
2024-02-28:21,25,13,0.0258,0.0128,0.34,0.0027
2024-02-28:20,29,17,0.0253,0.0172,0.37,0.0025
2024-02-28:19,24,14,0.0335,0.0189,0.32,0.0024
2024-02-28:18,23,16,0.0449,0.0101,0.30,0.0028
2024-02-28:17,25,16,0.0483,0.0071,0.28,0.0029
2024-02-28:16,33,25,0.0485,0.0048,0.28,0.0026
2024-02-28:15,41,27,0.0467,0.0049,0.29,0.0026
2024-02-28:14,34,30,0.0453,0.0048,0.28,0.0020
2024-02-28:13,,,,,,
2024-02-28:12,,,,,,
2024-02-28:11,32,16,0.0293,0.0088,0.32,0.0023
2024-02-28:10,26,14,0.0165,0.0109,0.34,0.0021
2024-02-28:09,26,15,0.0089,0.0124,0.34,0.0023
2024-02-28:08,22,10,0.0046,0.0166,0.37,0.0021
2024-02-28:07,20,11,0.0052,0.0161,0.30,0.0022
2024-02-28:06,20,13,0.0066,0.0148,0.30,0.0019
2024-02-28:05,21,11,0.0134,0.0079,0.31,0.0022
2024-02-28:04,21,10,0.0169,0.0054,0.30,0.0020
2024-02-28:03,22,13,0.0197,0.0053,0.29,0.0018
2024-02-28:02,21,13,0.0176,0.0066,0.31,0.0023
2024-02-28:01,21,12,0.0197,0.0072,0.31,0.0020
2024-02-27:24,24,9,0.0198,0.0088,0.31,0.0022
2024-02-27:23,25,12,0.0215,0.0103,0.32,0.0025
2024-02-27:22,30,13,0.0190,0.0142,0.34,0.0022
2024-02-27:21,31,15,0.0211,0.0148,0.33,0.0024
2024-02-27:20,35,15,0.0244,0.0168,0.32,0.0024
2024-02-27:19,37,19,0.0318,0.0161,0.32,0.0026
2024-02-27:18,34,18,0.0445,0.0080,0.29,0.0024
2024-02-27:17,35,21,0.0461,0.0063,0.29,0.0025
2024-02-27:16,33,16,0.0472,0.0059,0.27,0.0023
2024-02-27:15,29,15,0.0468,0.0055,0.28,0.0025
2024-02-27:14,27,15,0.0451,0.0067,0.29,0.0023
2024-02-27:13,35,21,0.0423,0.0079,0.29,0.0027
2024-02-27:12,29,20,0.0428,0.0060,0.29,0.0023
2024-02-27:11,19,14,0.0370,0.0061,0.29,0.0024
2024-02-27:10,13,8,0.0211,0.0100,0.33,0.0023
2024-02-27:09,15,6,0.0125,0.0096,0.33,0.0022
2024-02-27:08,13,8,0.0071,0.0127,0.33,0.0019
2024-02-27:07,11,9,0.0085,0.0125,0.32,0.0019
2024-02-27:06,7,,0.0121,0.0083,0.32,0.0022
2024-02-27:05,8,6,0.0136,0.0082,0.30,0.0020
2024-02-27:04,9,8,0.0142,0.0073,0.28,0.0020
2024-02-27:03,8,6,0.0171,0.0059,0.30,0.0019
2024-02-27:02,8,6,0.0181,0.0067,0.29,0.0021
2024-02-27:01,12,8,0.0188,0.0082,0.29,0.0023
2024-02-26:24,15,11,0.0189,0.0102,0.28,0.0022
2024-02-26:23,12,8,0.0171,0.0183,0.32,0.0022
2024-02-26:22,13,8,0.0248,0.0106,0.32,0.0025
2024-02-26:21,13,9,0.0298,0.0109,0.29,0.0026
2024-02-26:20,16,10,0.0316,0.0104,0.30,0.0028
2024-02-26:19,15,11,0.0342,0.0114,0.30,0.0025
2024-02-26:18,17,12,0.0394,0.0088,0.29,0.0023
2024-02-26:17,19,17,0.0426,0.0069,0.28,0.0024
2024-02-26:16,15,10,0.0436,0.0060,0.30,0.0024
2024-02-26:15,3,3,0.0436,0.0060,0.29,0.0024
2024-02-26:14,18,14,0.0431,0.0063,0.28,0.0025
2024-02-26:13,18,18,0.0407,0.0058,0.29,0.0022
2024-02-26:12,20,15,0.0375,0.0052,0.28,0.0024
2024-02-26:11,11,6,0.0268,0.0065,0.31,0.0024
2024-02-26:10,12,5,0.0107,0.0111,0.37,0.0022
2024-02-26:09,9,6,0.0092,0.0098,0.33,0.0018
