tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,,,0.0509,0.0062,0.38,0.0025
2024-04-30:23,,,0.0558,0.0069,0.44,0.0026
2024-04-30:22,,,0.0538,0.0062,0.44,0.0026
2024-04-30:21,,,0.0550,0.0071,0.44,0.0027
2024-04-30:20,,,0.0563,0.0086,0.48,0.0027
2024-04-30:19,,,0.0585,0.0119,0.51,0.0028
2024-04-30:18,,,0.0605,0.0117,0.51,0.0029
2024-04-30:17,,,0.0702,0.0102,0.55,0.0031
2024-04-30:16,,,0.0740,0.0096,0.60,0.0036
2024-04-30:15,,,0.0753,0.0106,0.61,0.0039
2024-04-30:14,,,,,,
2024-04-30:13,,,,,,
2024-04-30:12,,,,,,
2024-04-30:11,21,12,0.0406,0.0118,0.38,0.0026
2024-04-30:10,32,14,0.0308,0.0164,0.45,0.0028
2024-04-30:09,19,9,0.0269,0.0158,0.40,0.0026
2024-04-30:08,16,10,0.0275,0.0070,0.37,0.0025
2024-04-30:07,16,9,0.0245,0.0097,0.38,0.0025
2024-04-30:06,17,8,0.0291,0.0095,0.36,0.0026
2024-04-30:05,15,9,0.0337,0.0057,0.36,0.0025
2024-04-30:04,12,6,0.0389,0.0044,0.35,0.0025
2024-04-30:03,13,6,0.0385,0.0050,0.36,0.0024
2024-04-30:02,8,6,0.0449,0.0044,0.35,0.0024
2024-04-30:01,7,7,0.0444,0.0050,0.35,0.0024
2024-04-29:24,6,4,0.0451,0.0055,0.36,0.0024
2024-04-29:23,3,,0.0413,0.0101,0.38,0.0026
2024-04-29:22,5,1,0.0427,0.0101,0.39,0.0024
2024-04-29:21,5,2,0.0472,0.0065,0.40,0.0024
2024-04-29:20,1,0,0.0462,0.0071,0.41,0.0024
2024-04-29:19,4,0,0.0413,0.0106,0.42,0.0024
2024-04-29:18,8,4,0.0411,0.0105,0.41,0.0025
2024-04-29:17,3,,0.0368,0.0123,0.41,0.0024
2024-04-29:16,5,4,0.0376,0.0112,0.40,0.0025
2024-04-29:15,5,3,0.0332,0.0152,0.44,0.0025
2024-04-29:14,4,2,0.0389,0.0097,0.42,0.0025
2024-04-29:13,3,2,0.0390,0.0093,0.44,0.0025
2024-04-29:12,4,0,0.0390,0.0098,0.45,0.0025
2024-04-29:11,6,,0.0411,0.0091,0.46,0.0025
2024-04-29:10,7,,0.0406,0.0099,0.47,0.0025
2024-04-29:09,13,8,0.0388,0.0132,0.47,0.0025
2024-04-29:08,14,12,0.0382,0.0129,0.48,0.0025
2024-04-29:07,22,14,0.0361,0.0155,0.42,0.0025
2024-04-29:06,25,13,0.0368,0.0148,0.41,0.0027
2024-04-29:05,26,15,0.0465,0.0068,0.41,0.0029
