tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,15,11,0.0470,0.0100,0.31,0.0038
2024-04-30:23,21,13,0.0430,0.0130,0.31,0.0036
2024-04-30:22,28,24,0.0480,0.0130,0.32,0.0032
2024-04-30:21,35,25,0.0560,0.0120,0.33,0.0033
2024-04-30:20,32,22,0.0520,0.0150,0.34,0.0033
2024-04-30:19,29,22,0.0510,0.0170,0.33,0.0034
2024-04-30:18,27,21,0.0490,0.0180,0.30,0.0034
2024-04-30:17,24,13,0.0500,0.0140,0.30,0.0032
2024-04-30:16,19,11,0.0500,0.0080,0.28,0.0030
2024-04-30:15,23,13,0.0450,0.0080,0.28,0.0033
2024-04-30:14,32,15,0.0450,0.0100,0.29,0.0031
2024-04-30:13,23,14,0.0430,0.0100,0.30,0.0031
2024-04-30:12,34,16,0.0380,0.0150,0.34,0.0032
2024-04-30:11,28,12,0.0360,0.0150,0.35,0.0031
2024-04-30:10,31,15,0.0290,0.0170,0.35,0.0030
2024-04-30:09,28,17,0.0320,0.0140,0.32,0.0031
2024-04-30:08,33,17,0.0290,0.0150,0.34,0.0031
2024-04-30:07,38,24,0.0200,0.0180,0.34,0.0030
2024-04-30:06,38,26,0.0260,0.0120,0.34,0.0030
2024-04-30:05,36,28,0.0360,0.0070,0.32,0.0030
2024-04-30:04,29,20,0.0400,0.0060,0.31,0.0030
2024-04-30:03,24,19,0.0420,0.0060,0.30,0.0030
2024-04-30:02,25,24,0.0430,0.0060,0.30,0.0029
2024-04-30:01,26,16,0.0430,0.0060,0.30,0.0030
2024-04-29:24,23,16,0.0420,0.0070,0.30,0.0034
2024-04-29:23,22,20,0.0430,0.0070,0.29,0.0033
2024-04-29:22,19,18,0.0440,0.0080,0.31,0.0030
2024-04-29:21,25,17,0.0430,0.0090,0.33,0.0030
2024-04-29:20,19,18,0.0450,0.0090,0.37,0.0031
2024-04-29:19,20,14,0.0440,0.0110,0.38,0.0031
2024-04-29:18,15,9,0.0430,0.0130,0.38,0.0029
2024-04-29:17,7,,0.0480,0.0110,0.35,0.0029
2024-04-29:16,19,10,0.0310,0.0200,0.37,0.0030
2024-04-29:15,15,11,0.0310,0.0180,0.35,0.0031
2024-04-29:14,14,12,0.0330,0.0170,0.36,0.0032
2024-04-29:13,15,9,0.0280,0.0190,0.36,0.0029
2024-04-29:12,19,17,0.0320,0.0160,0.36,0.0030
2024-04-29:11,14,11,0.0340,0.0140,0.39,0.0030
2024-04-29:10,17,,0.0270,0.0190,0.47,0.0030
2024-04-29:09,31,29,0.0320,0.0170,0.46,0.0030
2024-04-29:08,41,31,0.0360,0.0150,0.40,0.0030
2024-04-29:07,38,27,0.0310,0.0160,0.38,0.0031
2024-04-29:06,41,27,0.0370,0.0120,0.35,0.0031
2024-04-29:05,44,29,0.0540,0.0070,0.34,0.0034
2024-04-29:04,48,19,0.0580,0.0060,0.33,0.0037
2024-04-29:03,56,33,0.0470,0.0100,0.35,0.0044
2024-04-29:02,52,34,0.0460,0.0110,0.35,0.0043
2024-04-29:01,55,28,0.0510,0.0120,0.35,0.0042
2024-04-28:24,57,28,0.0550,0.0120,0.35,0.0043
2024-04-28:23,49,30,0.0510,0.0180,0.42,0.0041
2024-04-28:22,40,34,0.0560,0.0170,0.42,0.0039
2024-04-28:21,28,17,0.0650,0.0110,0.36,0.0038
2024-04-28:20,24,16,0.0700,0.0100,0.33,0.0039
2024-04-28:19,25,16,0.0740,0.0130,0.34,0.0042
2024-04-28:18,33,21,0.0830,0.0110,0.34,0.0040
2024-04-28:17,37,23,0.0950,0.0090,0.38,0.0042
2024-04-28:16,46,24,0.1020,0.0100,0.41,0.0044
2024-04-28:15,56,32,0.0960,0.0140,0.44,0.0049
2024-04-28:14,55,35,0.0900,0.0170,0.44,0.0048
2024-04-28:13,62,44,0.0780,0.0220,0.48,0.0049
2024-04-28:12,61,36,0.0950,0.0150,0.53,0.0049
2024-04-28:11,57,35,0.0930,0.0120,0.52,0.0046
2024-04-28:10,65,43,0.0690,0.0200,0.58,0.0046
