
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
155,2010-07-22,,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,창원기상대(155),35.1702,128.5728,34.97,39.100,1.700,10.000,1.300
155,2004-12-16,2010-07-22,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1671,128.5751,36.8,37.900,1.700,10.000,0.500
155,1985-07-01,2004-12-16,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1903,128.5652,11.25,4.900,1.500,17.600,0.600
162,1968-01-01,,통영,경상남도 통영시 망일1길 67통영자동기상관측소(정량동),부산지방기상청(159),34.8454,128.4356,31.24,33.200,1.500,18.000,1.300
192,2005-11-23,,진주,경상남도 진주시 남강로 43진주자동기상관측소(평거동),창원기상대(155),35.1638,128.040,29.35,31.600,1.800,10.000,1.300
192,1969-03-01,2005-11-23,진주,경상남도 진주시 남강로 43진주자동기상관측소(평거동),,35.2084,128.1191,21.32,22.640,1.500,10.000,0.600
253,2008-02-13,,김해시,경상남도 김해시 분성로396번길 55부원동 121번지 (부원동),부산지방기상청(159),35.2298,128.8908,54.59,54.600,1.700,10.000,0.500
255,2010-07-22,,북창원,경상남도 창원시성산구 외동반림로93 외동배수지 ,창원기상대(155),35.2266,128.6726,50.95,50.300,1.800,10.000,0.700
255,2008-12-26,2010-07-22,북창원,경상남도 창원시성산구 외동반림로93 외동배수지 ,,35.2264,128.6725,46.77,48.120,1.800,10.000,0.600
257,2008-12-26,,양산시,경상남도 양산시동면 강변로54 수질정화공원 ,울산기상대(152),35.3074,129.0201,6.29,16.100,1.800,10.000,0.600
263,2010-06-21,,의령군,경상남도 의령군의합대로 44-54의령종합환경관리사업소  ,창원기상대(155),35.3226,128.2881,14.1,14.900,2.000,10.000,0.600
264,2010-06-21,,함양군,경상남도 함양군 함양읍 하림강변길 188-1함양군자동기상관측소,창원기상대(155),35.5114,127.7454,152.07,152.500,1.800,10.000,0.600
284,2011-03-04,,거창,경상남도 거창군 거창읍 수남로 2117거창자동기상관측소,울산기상대(152),35.6674,127.9099,228.45,227.300,1.500,10.000,1.300
284,1972-01-24,2011-03-04,거창,경상남도 거창군 거창읍 수남로 2117거창자동기상관측소,거창기상대(284),35.6712,127.911,221.4,222.600,1.500,10.000,0.500
285,1973-01-01,,합천,경상남도 합천군 합천읍 동서로 164합천자동기상관측소,울산기상대(152),35.5651,128.1699,26.72,33.200,1.500,10.000,0.500
288,1973-01-01,,밀양,경상남도 밀양시점필재로 5밀양자동기상관측소  ,울산기상대(152),35.4915,128.7441,8.31,12.500,2.000,10.000,1.300
289,1972-03-30,,산청,경상남도 산청군 산청읍 꽃봉산로133번길 3산청자동기상관측소,창원기상대(155),35.413,127.8791,138.22,138.800,1.600,10.000,0.600
294,1972-01-24,,거제,경상남도 거제시 장평2로2길 47거제자동기상관측소(장평동),부산지방기상청(159),34.8882,128.6046,44.83,46.700,1.700,10.000,0.600
295,1972-01-24,,남해,경상남도 남해군이동면 남해대로2423 남해자동기상관측소 ,부산지방기상청(159),34.8166,127.9264,45.71,47.010,1.800,10.000,0.800
