지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
284,거창,2024-01-01 01:00,-1.1,,0,0,95
284,거창,2024-01-01 02:00,-1.7,,0,0,98
284,거창,2024-01-01 03:00,-2.2,,0,0,99
284,거창,2024-01-01 04:00,-3.1,,0,0,99
284,거창,2024-01-01 05:00,-3.8,,0,0,99
284,거창,2024-01-01 06:00,-4.1,,0,0,99
284,거창,2024-01-01 07:00,-3.4,,.7,230,99
284,거창,2024-01-01 08:00,-3.1,,0,0,99
284,거창,2024-01-01 09:00,-2.5,,0,0,99
284,거창,2024-01-01 10:00,-2.5,,.1,0,99
284,거창,2024-01-01 11:00,-1.2,,.1,0,99
284,거창,2024-01-01 12:00,3.3,,.1,0,99
284,거창,2024-01-01 13:00,7.2,,.4,0,58
284,거창,2024-01-01 14:00,7.4,,.9,140,53
284,거창,2024-01-01 15:00,7.5,,.4,0,53
284,거창,2024-01-01 16:00,8.5,,.5,140,51
284,거창,2024-01-01 17:00,6.4,,.3,0,63
284,거창,2024-01-01 18:00,4.6,,1.6,250,73
284,거창,2024-01-01 19:00,4.2,,1.7,250,75
284,거창,2024-01-01 20:00,3,,.4,0,81
284,거창,2024-01-01 21:00,3.5,,.3,0,80
284,거창,2024-01-01 22:00,2.8,,.4,0,84
284,거창,2024-01-01 23:00,2.7,,0,0,86
284,거창,2024-01-02 00:00,2.4,,0,0,86
284,거창,2024-01-02 01:00,2.5,,.3,0,87
284,거창,2024-01-02 02:00,2.1,,.2,0,90
284,거창,2024-01-02 03:00,2.2,,.2,0,90
284,거창,2024-01-02 04:00,2,,.3,0,91
284,거창,2024-01-02 05:00,2,,.1,0,90
284,거창,2024-01-02 06:00,1.6,,0,0,93
284,거창,2024-01-02 07:00,1.4,,.6,250,90
284,거창,2024-01-02 08:00,1.2,,.4,0,93
284,거창,2024-01-02 09:00,2.2,,.4,0,90
284,거창,2024-01-02 10:00,3.8,,.1,0,80
284,거창,2024-01-02 11:00,6.2,,.8,320,61
284,거창,2024-01-02 12:00,7.5,,1.7,270,55
284,거창,2024-01-02 13:00,8.4,,2.2,270,51
284,거창,2024-01-02 14:00,8.2,,1.7,270,49
284,거창,2024-01-02 15:00,7.6,,3,290,52
284,거창,2024-01-02 16:00,6.5,,2.7,290,56
284,거창,2024-01-02 17:00,5.4,,2.1,290,59
284,거창,2024-01-02 18:00,4.9,,2.1,290,62
284,거창,2024-01-02 19:00,4.1,,.2,0,66
284,거창,2024-01-02 20:00,3.2,,.1,0,72
284,거창,2024-01-02 21:00,2.8,,.4,0,76
284,거창,2024-01-02 22:00,2.5,,0,0,77
284,거창,2024-01-02 23:00,2.1,,.1,0,79
284,거창,2024-01-03 00:00,2.1,,0,0,82
284,거창,2024-01-03 01:00,1.9,,.3,0,83
284,거창,2024-01-03 02:00,2,,0,0,83
284,거창,2024-01-03 03:00,1.7,0,.7,270,89
284,거창,2024-01-03 04:00,.4,,.9,180,98
284,거창,2024-01-03 05:00,-.1,,0,0,99
284,거창,2024-01-03 06:00,-.1,2.4,0,0,99
284,거창,2024-01-03 07:00,-.1,,0,0,99
284,거창,2024-01-03 08:00,0,,0,0,99
284,거창,2024-01-03 09:00,.2,.4,.1,0,99
284,거창,2024-01-03 10:00,.9,,.2,0,99
284,거창,2024-01-03 11:00,2.4,,.5,340,95
284,거창,2024-01-03 12:00,4,,.9,320,68
284,거창,2024-01-03 13:00,5.2,,2.3,320,56
284,거창,2024-01-03 14:00,4.5,,3.8,320,56
284,거창,2024-01-03 15:00,4.8,,3.6,320,53
284,거창,2024-01-03 16:00,4.8,,1.7,290,58
284,거창,2024-01-03 17:00,3.6,,2.2,270,69
284,거창,2024-01-03 18:00,2.9,,2.5,250,65
284,거창,2024-01-03 19:00,2.6,,2.1,290,69
284,거창,2024-01-03 20:00,3.2,,3.4,270,64
284,거창,2024-01-03 21:00,2.5,0,.6,340,66
284,거창,2024-01-03 22:00,2.2,,2.6,340,66
284,거창,2024-01-03 23:00,1.1,,.7,320,62
284,거창,2024-01-04 00:00,-.7,,.9,290,74
284,거창,2024-01-04 01:00,-1.5,,2.7,270,77
284,거창,2024-01-04 02:00,-2.5,,2.1,270,82
284,거창,2024-01-04 03:00,-3.3,,1.2,230,84
284,거창,2024-01-04 04:00,-4.1,,.2,0,88
284,거창,2024-01-04 05:00,-4.4,,.3,0,90
284,거창,2024-01-04 06:00,-5.3,,0,0,93
284,거창,2024-01-04 07:00,-5.3,,.7,320,93
284,거창,2024-01-04 08:00,-5.9,,.4,0,94
284,거창,2024-01-04 09:00,-3.2,,0,0,85
284,거창,2024-01-04 10:00,-.9,,.2,0,75
284,거창,2024-01-04 11:00,2.1,,.2,0,58
284,거창,2024-01-04 12:00,4.4,,.4,0,39
284,거창,2024-01-04 13:00,5.7,,1.1,20,37
284,거창,2024-01-04 14:00,7.3,,.5,90,32
284,거창,2024-01-04 15:00,8.7,,2.5,230,30
284,거창,2024-01-04 16:00,7.6,,3.3,200,39
284,거창,2024-01-04 17:00,5.8,,2.5,200,45
284,거창,2024-01-04 18:00,4.6,,3.1,230,50
284,거창,2024-01-04 19:00,3.4,,2.1,270,57
284,거창,2024-01-04 20:00,1,,.1,0,70
284,거창,2024-01-04 21:00,-.5,,.4,0,78
284,거창,2024-01-04 22:00,-2.4,,.2,0,85
284,거창,2024-01-04 23:00,-2.9,,.3,0,87
284,거창,2024-01-05 00:00,-3.4,,.3,0,89
284,거창,2024-01-05 01:00,-3.4,,.1,0,92
284,거창,2024-01-05 02:00,-4.6,,0,0,94
284,거창,2024-01-05 03:00,-5.2,,.4,0,93
284,거창,2024-01-05 04:00,-5.3,,0,0,95
284,거창,2024-01-05 05:00,-5.8,,.2,0,95
284,거창,2024-01-05 06:00,-6.4,,0,0,95
284,거창,2024-01-05 07:00,-5.9,,.1,0,96
284,거창,2024-01-05 08:00,-5.8,,.1,0,96
284,거창,2024-01-05 09:00,-3.7,,.1,0,93
284,거창,2024-01-05 10:00,-.4,,.5,90,86
284,거창,2024-01-05 11:00,5.2,,1.4,70,68
284,거창,2024-01-05 12:00,10.3,,2.9,230,49
284,거창,2024-01-05 13:00,10,,2.3,250,52
284,거창,2024-01-05 14:00,9.7,,3,230,52
284,거창,2024-01-05 15:00,10.5,,2.1,200,52
284,거창,2024-01-05 16:00,9.1,,1.6,230,56
284,거창,2024-01-05 17:00,8.6,,1.4,200,57
284,거창,2024-01-05 18:00,7.2,,.5,160,63
284,거창,2024-01-05 19:00,6.9,,1.8,250,65
284,거창,2024-01-05 20:00,5,,1.9,250,73
284,거창,2024-01-05 21:00,3.8,,.7,320,78
284,거창,2024-01-05 22:00,2.7,,.3,0,85
284,거창,2024-01-05 23:00,1.7,,.2,0,87
284,거창,2024-01-06 00:00,.6,,0,0,90
284,거창,2024-01-06 01:00,0,,.5,20,89
284,거창,2024-01-06 02:00,-.4,,.9,20,92
284,거창,2024-01-06 03:00,-1,,.5,50,92
284,거창,2024-01-06 04:00,-1.3,,.6,340,94
284,거창,2024-01-06 05:00,-2.5,,0,0,96
284,거창,2024-01-06 06:00,-3.1,,.1,0,95
284,거창,2024-01-06 07:00,-3.7,,0,0,96
284,거창,2024-01-06 08:00,-4.5,,.3,0,95
284,거창,2024-01-06 09:00,-1.5,,.2,0,89
284,거창,2024-01-06 10:00,2.2,,0,0,80
284,거창,2024-01-06 11:00,5.1,,.5,90,35
284,거창,2024-01-06 12:00,6.2,,.1,0,27
284,거창,2024-01-06 13:00,7.8,,.5,230,24
284,거창,2024-01-06 14:00,8.2,,.9,90,22
284,거창,2024-01-06 15:00,7.8,,2.7,320,23
284,거창,2024-01-06 16:00,6.9,,2.1,340,25
284,거창,2024-01-06 17:00,5.1,,1.1,270,30
284,거창,2024-01-06 18:00,2,,2.7,250,46
284,거창,2024-01-06 19:00,1.6,,2,250,48
284,거창,2024-01-06 20:00,2.2,,3.3,270,49
284,거창,2024-01-06 21:00,.9,,3.6,270,58
284,거창,2024-01-06 22:00,.8,,2.7,230,62
284,거창,2024-01-06 23:00,.3,,2.5,230,67
284,거창,2024-01-07 00:00,1,0,1.8,250,69
