지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
918,고성,2024-07-05 01:00,24.4,185.8,4.8,0,97
918,고성,2024-07-05 02:00,24.2,203,3.3,0,97
918,고성,2024-07-05 03:00,24,209.9,2.6,0,97
918,고성,2024-07-05 04:00,24.5,184.9,1.1,0,95
918,고성,2024-07-05 05:00,24.7,190.2,2.2,0,94
918,고성,2024-07-05 06:00,24.5,175.6,3.2,.5,95
918,고성,2024-07-05 07:00,24.6,201.4,3.9,6,96
918,고성,2024-07-05 08:00,26,216.6,4.1,0,91
918,고성,2024-07-05 09:00,26.7,191.7,4.7,0,88
918,고성,2024-07-05 10:00,27.6,213.5,5,0,84
918,고성,2024-07-05 11:00,27.8,209.9,4.6,0,82
918,고성,2024-07-05 12:00,28.3,186.4,4.7,0,80
918,고성,2024-07-05 13:00,29.4,215.6,5.9,0,75
918,고성,2024-07-05 14:00,29.7,190.8,5,0,71
918,고성,2024-07-05 15:00,28.7,167,5,0,79
918,고성,2024-07-05 16:00,28.5,165.9,5.3,0,79
918,고성,2024-07-05 17:00,27.8,189.7,5,0,82
918,고성,2024-07-05 18:00,27.4,169,4.3,0,82
918,고성,2024-07-05 19:00,26.2,182.5,4.2,0,87
918,고성,2024-07-05 20:00,25.4,161.4,2.8,0,89
918,고성,2024-07-05 21:00,25,171.8,2.8,0,90
918,고성,2024-07-05 22:00,24.4,155,3.2,0,93
918,고성,2024-07-05 23:00,24.2,172.1,1.4,0,94
918,고성,2024-07-06 00:00,23.8,205.8,3,0,96
