지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
295,남해,2024-01-01 01:00,2.9,,1.4,250,78
295,남해,2024-01-01 02:00,2.9,,1.6,250,80
295,남해,2024-01-01 03:00,2.3,,1.3,270,83
295,남해,2024-01-01 04:00,2.1,,1.4,270,86
295,남해,2024-01-01 05:00,2.1,,1.3,250,86
295,남해,2024-01-01 06:00,1.5,,1.2,270,89
295,남해,2024-01-01 07:00,1,,1.3,290,89
295,남해,2024-01-01 08:00,2,,1.6,290,90
295,남해,2024-01-01 09:00,3.5,,.5,50,82
295,남해,2024-01-01 10:00,4.3,,.4,0,77
295,남해,2024-01-01 11:00,6,,1.2,320,66
295,남해,2024-01-01 12:00,7.5,,1.8,360,60
295,남해,2024-01-01 13:00,8.8,,1.5,20,56
295,남해,2024-01-01 14:00,9.6,,1.4,20,53
295,남해,2024-01-01 15:00,9.3,,1,360,52
295,남해,2024-01-01 16:00,9.7,,.5,50,50
295,남해,2024-01-01 17:00,7.9,,.6,140,65
295,남해,2024-01-01 18:00,5.9,,2,270,67
295,남해,2024-01-01 19:00,5.6,,1.1,250,69
295,남해,2024-01-01 20:00,6.4,,1.2,270,68
295,남해,2024-01-01 21:00,5.8,,.4,0,70
295,남해,2024-01-01 22:00,6.1,,1.5,270,70
295,남해,2024-01-01 23:00,6.3,,.8,250,69
295,남해,2024-01-02 00:00,5.7,,.3,0,71
295,남해,2024-01-02 01:00,6,,.3,0,75
295,남해,2024-01-02 02:00,6.1,,.5,290,74
295,남해,2024-01-02 03:00,5.5,.1,.1,0,83
295,남해,2024-01-02 04:00,5.2,,.3,0,87
295,남해,2024-01-02 05:00,5.4,,.4,0,91
295,남해,2024-01-02 06:00,5.5,0,1,270,80
295,남해,2024-01-02 07:00,6.5,,2.5,290,66
295,남해,2024-01-02 08:00,4.9,,.8,270,70
295,남해,2024-01-02 09:00,7.6,,1.8,290,55
295,남해,2024-01-02 10:00,8.6,,2.8,320,53
295,남해,2024-01-02 11:00,9.3,,2.9,290,50
295,남해,2024-01-02 12:00,10.2,,1.9,320,48
295,남해,2024-01-02 13:00,10.4,,3.3,290,48
295,남해,2024-01-02 14:00,10.4,,3.3,320,48
295,남해,2024-01-02 15:00,10.3,,3.2,270,49
295,남해,2024-01-02 16:00,9.7,,2.4,290,50
295,남해,2024-01-02 17:00,8.7,,3.4,270,53
295,남해,2024-01-02 18:00,7.9,,2,290,56
295,남해,2024-01-02 19:00,7.9,,2.4,270,56
295,남해,2024-01-02 20:00,7.7,,1.6,270,57
295,남해,2024-01-02 21:00,7.4,,1.7,270,57
295,남해,2024-01-02 22:00,7.2,,2.4,270,59
295,남해,2024-01-02 23:00,6.7,,1.5,270,60
295,남해,2024-01-03 00:00,7.2,,2.1,290,58
295,남해,2024-01-03 01:00,7,,2.1,290,59
295,남해,2024-01-03 02:00,6.6,,2.1,250,62
295,남해,2024-01-03 03:00,6.3,,2.2,320,62
295,남해,2024-01-03 04:00,6.2,,2.9,320,63
295,남해,2024-01-03 05:00,5.9,,2.9,290,66
295,남해,2024-01-03 06:00,5.6,,1.4,320,68
295,남해,2024-01-03 07:00,4.3,,1.1,270,83
295,남해,2024-01-03 08:00,4.3,,1.1,340,83
295,남해,2024-01-03 09:00,4.2,.2,.7,20,86
295,남해,2024-01-03 10:00,4.7,,1.2,20,84
295,남해,2024-01-03 11:00,5.6,,1.5,20,83
295,남해,2024-01-03 12:00,5.3,,1.4,50,79
295,남해,2024-01-03 13:00,7.2,,1.3,50,70
295,남해,2024-01-03 14:00,9.1,,2.6,320,45
295,남해,2024-01-03 15:00,8.2,,3.6,320,47
295,남해,2024-01-03 16:00,7.2,,4.5,320,49
295,남해,2024-01-03 17:00,6.8,,1.7,360,52
295,남해,2024-01-03 18:00,6.4,,3.6,320,53
295,남해,2024-01-03 19:00,5.5,,1.1,270,56
295,남해,2024-01-03 20:00,5.7,,3.1,290,53
295,남해,2024-01-03 21:00,5.4,,2.3,290,56
295,남해,2024-01-03 22:00,5,,2.4,290,57
295,남해,2024-01-03 23:00,4.6,,2.3,290,56
295,남해,2024-01-04 00:00,4.2,,3.1,290,59
295,남해,2024-01-04 01:00,3.9,,2.3,270,61
295,남해,2024-01-04 02:00,3.6,,2.8,290,55
295,남해,2024-01-04 03:00,2.6,,2.2,290,60
295,남해,2024-01-04 04:00,1,,1,250,66
295,남해,2024-01-04 05:00,.4,,.8,270,68
295,남해,2024-01-04 06:00,.5,,.9,250,66
295,남해,2024-01-04 07:00,-.8,,.4,0,77
295,남해,2024-01-04 08:00,-.3,,1,250,73
295,남해,2024-01-04 09:00,1.6,,.6,250,69
295,남해,2024-01-04 10:00,3.1,,1.1,70,65
295,남해,2024-01-04 11:00,4.3,,.9,360,57
295,남해,2024-01-04 12:00,5.4,,1.1,50,53
295,남해,2024-01-04 13:00,6.7,,1.3,20,49
295,남해,2024-01-04 14:00,7.7,,1.1,70,47
295,남해,2024-01-04 15:00,9,,1.1,90,41
295,남해,2024-01-04 16:00,8.8,,2,270,42
295,남해,2024-01-04 17:00,6.6,,1.3,230,54
295,남해,2024-01-04 18:00,6.2,,1.5,230,57
295,남해,2024-01-04 19:00,5.3,,.9,290,62
295,남해,2024-01-04 20:00,5,,.7,270,62
295,남해,2024-01-04 21:00,5.2,,.7,270,63
295,남해,2024-01-04 22:00,3.3,,.5,270,71
295,남해,2024-01-04 23:00,5.1,,.9,290,68
295,남해,2024-01-05 00:00,5,,1.2,20,69
295,남해,2024-01-05 01:00,6.4,,1.4,290,68
295,남해,2024-01-05 02:00,5.8,,.8,90,73
295,남해,2024-01-05 03:00,4.2,,.6,360,80
295,남해,2024-01-05 04:00,2.7,,.4,0,86
295,남해,2024-01-05 05:00,2.9,,.3,0,91
