지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
916,단성,2024-07-05 01:00,25.8,162.3,2.9,0,88
916,단성,2024-07-05 02:00,25.9,165.7,2.4,0,87
916,단성,2024-07-05 03:00,25.8,166.5,.7,0,86
916,단성,2024-07-05 04:00,26,133.2,1.2,0,85
916,단성,2024-07-05 05:00,25.4,0,.1,0,88
916,단성,2024-07-05 06:00,25.1,0,0,3,93
916,단성,2024-07-05 07:00,25.4,188.9,.7,0,90
916,단성,2024-07-05 08:00,26.6,0,.2,.5,85
916,단성,2024-07-05 09:00,26.9,319.3,2.8,0,85
916,단성,2024-07-05 10:00,28.1,323.9,1.9,0,73
916,단성,2024-07-05 11:00,29.3,339,1.5,0,65
916,단성,2024-07-05 12:00,29.8,306.2,1.6,0,60
916,단성,2024-07-05 13:00,31.4,93.4,.7,0,58
916,단성,2024-07-05 14:00,32.9,227,2.6,0,54
916,단성,2024-07-05 15:00,32.1,264.1,.9,0,52
916,단성,2024-07-05 16:00,32.2,315.8,2,0,52
916,단성,2024-07-05 17:00,31.9,325.2,2.7,0,55
916,단성,2024-07-05 18:00,30.1,292.5,1.9,0,66
916,단성,2024-07-05 19:00,28.7,310.6,.6,0,75
916,단성,2024-07-05 20:00,27.2,357.3,.7,0,81
916,단성,2024-07-05 21:00,26.2,322.4,.5,0,84
916,단성,2024-07-05 22:00,25.7,325.4,.8,0,86
916,단성,2024-07-05 23:00,25.1,0,.4,0,90
916,단성,2024-07-06 00:00,24.8,0,.3,0,91
