지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
917,사천,2024-07-05 01:00,25.1,216.7,2.6,0,87
917,사천,2024-07-05 02:00,25.2,210.8,2.7,0,86
917,사천,2024-07-05 03:00,25.1,237.8,2.6,0,86
917,사천,2024-07-05 04:00,25.2,234.7,2.4,0,86
917,사천,2024-07-05 05:00,24.9,202.2,2.6,0,89
917,사천,2024-07-05 06:00,24,215.6,2.6,5.5,95
917,사천,2024-07-05 07:00,24,214.2,2.5,2,93
917,사천,2024-07-05 08:00,25.2,210,2.7,0,88
917,사천,2024-07-05 09:00,26.3,226.8,3,0,83
917,사천,2024-07-05 10:00,27.7,236.8,3.2,0,77
917,사천,2024-07-05 11:00,27.8,241,4,0,73
917,사천,2024-07-05 12:00,28.6,236.4,4,0,69
917,사천,2024-07-05 13:00,30,239,4,0,65
917,사천,2024-07-05 14:00,30.9,243.4,3.9,0,61
917,사천,2024-07-05 15:00,31.3,242.5,2.9,0,58
917,사천,2024-07-05 16:00,31.4,235.4,2.9,0,58
917,사천,2024-07-05 17:00,30.9,234.5,2.8,0,62
917,사천,2024-07-05 18:00,30,231.4,2.7,0,67
917,사천,2024-07-05 19:00,28.5,206.7,1.3,0,74
917,사천,2024-07-05 20:00,27.7,234.3,1.9,0,76
917,사천,2024-07-05 21:00,26.7,224.8,1.8,0,79
917,사천,2024-07-05 22:00,26.4,214.6,1.8,0,79
917,사천,2024-07-05 23:00,25.9,220.3,1.2,0,81
917,사천,2024-07-06 00:00,25.6,231.4,1.7,0,83
