지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
257,양산시,2024-01-01 01:00,2.1,,1.1,200,89
257,양산시,2024-01-01 02:00,1.7,,.7,200,86
257,양산시,2024-01-01 03:00,4.7,,1.8,70,74
257,양산시,2024-01-01 04:00,5.1,,2.5,70,69
257,양산시,2024-01-01 05:00,5,,2.8,50,68
257,양산시,2024-01-01 06:00,5,,1.8,70,70
257,양산시,2024-01-01 07:00,4.9,,2.2,70,68
257,양산시,2024-01-01 08:00,5.1,,2.3,50,68
257,양산시,2024-01-01 09:00,6.3,,1.9,70,65
257,양산시,2024-01-01 10:00,8,,2.8,70,57
257,양산시,2024-01-01 11:00,9.9,,2.7,50,52
257,양산시,2024-01-01 12:00,10.9,,2.3,50,48
257,양산시,2024-01-01 13:00,11.1,,2.7,50,43
257,양산시,2024-01-01 14:00,12.6,,2.3,50,40
257,양산시,2024-01-01 15:00,11,,1.1,360,42
257,양산시,2024-01-01 16:00,10.6,,1.3,110,48
257,양산시,2024-01-01 17:00,9.6,,.8,180,52
257,양산시,2024-01-01 18:00,8,,1.8,110,59
257,양산시,2024-01-01 19:00,7.9,,.5,230,61
257,양산시,2024-01-01 20:00,6.5,,1.2,70,67
257,양산시,2024-01-01 21:00,6.5,,2.4,50,67
257,양산시,2024-01-01 22:00,5.3,,.1,0,73
257,양산시,2024-01-01 23:00,5.6,,2.1,50,71
257,양산시,2024-01-02 00:00,4.5,,.5,20,78
257,양산시,2024-01-02 01:00,5.1,,1.4,20,75
257,양산시,2024-01-02 02:00,5,,.2,0,75
257,양산시,2024-01-02 03:00,5,,.1,0,77
257,양산시,2024-01-02 04:00,5.6,,.6,200,75
257,양산시,2024-01-02 05:00,5.1,,.4,0,80
257,양산시,2024-01-02 06:00,5.4,,.8,250,81
257,양산시,2024-01-02 07:00,5.2,,.8,200,81
257,양산시,2024-01-02 08:00,5.5,,1.7,230,80
257,양산시,2024-01-02 09:00,6.7,,1.4,200,72
257,양산시,2024-01-02 10:00,9.1,,1,200,60
257,양산시,2024-01-02 11:00,10.3,,2.9,270,54
257,양산시,2024-01-02 12:00,10.7,,1.3,290,48
257,양산시,2024-01-02 13:00,11.3,,2.3,320,45
257,양산시,2024-01-02 14:00,11.6,,2.3,290,44
257,양산시,2024-01-02 15:00,11.4,,3.3,340,45
257,양산시,2024-01-02 16:00,11.5,,2.6,320,43
257,양산시,2024-01-02 17:00,10.8,,1.4,290,45
257,양산시,2024-01-02 18:00,9.3,,1.3,270,51
257,양산시,2024-01-02 19:00,7.3,,1.2,230,61
257,양산시,2024-01-02 20:00,6.9,,.7,110,62
257,양산시,2024-01-02 21:00,6.8,,.9,160,67
257,양산시,2024-01-02 22:00,6.4,,1.3,230,68
257,양산시,2024-01-02 23:00,6.3,,1.2,160,65
257,양산시,2024-01-03 00:00,5.9,,.8,180,69
257,양산시,2024-01-03 01:00,5.5,,.9,180,71
257,양산시,2024-01-03 02:00,5.1,,0,0,76
257,양산시,2024-01-03 03:00,5.3,,.5,230,74
257,양산시,2024-01-03 04:00,5.6,,.4,0,74
257,양산시,2024-01-03 05:00,6,,1.1,270,65
257,양산시,2024-01-03 06:00,6,,2.3,320,66
257,양산시,2024-01-03 07:00,6.1,,2.4,320,66
257,양산시,2024-01-03 08:00,5.8,,3.2,320,67
257,양산시,2024-01-03 09:00,4.8,,3,290,77
257,양산시,2024-01-03 10:00,5.2,,.7,250,75
257,양산시,2024-01-03 11:00,5.7,,2.8,290,71
257,양산시,2024-01-03 12:00,7.6,,1.7,250,54
257,양산시,2024-01-03 13:00,7,,4.2,320,49
257,양산시,2024-01-03 14:00,8.8,,4.4,290,43
257,양산시,2024-01-03 15:00,8.8,,3.2,320,41
257,양산시,2024-01-03 16:00,8.6,,2.4,320,42
257,양산시,2024-01-03 17:00,7.3,,2.2,360,46
257,양산시,2024-01-03 18:00,7,,3,250,46
257,양산시,2024-01-03 19:00,6.2,,1.8,270,49
257,양산시,2024-01-03 20:00,6,,2.4,270,53
257,양산시,2024-01-03 21:00,6.1,,2.1,320,52
257,양산시,2024-01-03 22:00,5.4,,1.9,290,58
257,양산시,2024-01-03 23:00,4.5,,2.3,290,61
257,양산시,2024-01-04 00:00,4.7,,2.3,290,59
257,양산시,2024-01-04 01:00,2.7,,1.4,140,67
257,양산시,2024-01-04 02:00,2.6,,1.8,250,64
257,양산시,2024-01-04 03:00,3.6,,2,270,53
257,양산시,2024-01-04 04:00,2,,1.2,180,56
257,양산시,2024-01-04 05:00,2,,1.9,200,58
257,양산시,2024-01-04 06:00,1.6,,1.5,180,55
257,양산시,2024-01-04 07:00,1.8,,2.3,180,49
257,양산시,2024-01-04 08:00,1.1,,1.3,180,50
257,양산시,2024-01-04 09:00,2.4,,2.4,200,51
257,양산시,2024-01-04 10:00,4.9,,1.8,230,43
257,양산시,2024-01-04 11:00,6.3,,1.3,200,35
257,양산시,2024-01-04 12:00,7.9,,2.1,250,34
257,양산시,2024-01-04 13:00,8.9,,1.8,230,30
257,양산시,2024-01-04 14:00,9.7,,1.2,250,26
257,양산시,2024-01-04 15:00,10.1,,2.8,250,21
257,양산시,2024-01-04 16:00,9.8,,2.3,230,26
257,양산시,2024-01-04 17:00,8.8,,3.1,230,26
257,양산시,2024-01-04 18:00,6.8,,2,200,35
257,양산시,2024-01-04 19:00,4.4,,1.7,230,45
257,양산시,2024-01-04 20:00,2.6,,1.7,200,55
257,양산시,2024-01-04 21:00,2.4,,2.2,200,54
257,양산시,2024-01-04 22:00,1.7,,2.4,200,58
257,양산시,2024-01-04 23:00,1.3,,2.2,200,61
257,양산시,2024-01-05 00:00,1,,2.3,200,64
257,양산시,2024-01-05 01:00,.7,,1.9,200,70
257,양산시,2024-01-05 02:00,-.2,,1.7,200,73
257,양산시,2024-01-05 03:00,-.1,,1.5,200,80
257,양산시,2024-01-05 04:00,.3,,1.8,230,77
257,양산시,2024-01-05 05:00,1.8,,1.3,180,78
257,양산시,2024-01-05 06:00,2,,1.5,230,76
257,양산시,2024-01-05 07:00,1.2,,1.6,230,82
257,양산시,2024-01-05 08:00,1.7,,1.1,270,84
257,양산시,2024-01-05 09:00,3.1,,1.3,200,78
257,양산시,2024-01-05 10:00,6,,2.1,200,68
257,양산시,2024-01-05 11:00,10.2,,2.1,230,51
257,양산시,2024-01-05 12:00,11.5,,4.5,270,48
257,양산시,2024-01-05 13:00,11.9,,4.5,270,46
257,양산시,2024-01-05 14:00,12.9,,4.5,270,44
257,양산시,2024-01-05 15:00,13.1,,2.4,320,42
257,양산시,2024-01-05 16:00,13.1,,2.2,290,42
257,양산시,2024-01-05 17:00,12.1,,2.2,320,45
257,양산시,2024-01-05 18:00,8.7,,1.2,200,61
257,양산시,2024-01-05 19:00,6.9,,1,180,65
257,양산시,2024-01-05 20:00,6.2,,1.2,200,70
257,양산시,2024-01-05 21:00,5.1,,1.5,230,73
257,양산시,2024-01-05 22:00,3.3,,.4,0,83
257,양산시,2024-01-05 23:00,3.2,,.7,230,83
257,양산시,2024-01-06 00:00,3,,.7,230,85
257,양산시,2024-01-06 01:00,2.2,,.7,250,91
257,양산시,2024-01-06 02:00,1.8,,.8,230,91
257,양산시,2024-01-06 03:00,1.9,,1.9,200,93
257,양산시,2024-01-06 04:00,.7,,.3,0,94
257,양산시,2024-01-06 05:00,.5,,.8,230,95
257,양산시,2024-01-06 06:00,.4,,.7,250,97
257,양산시,2024-01-06 07:00,.1,,.6,230,98
257,양산시,2024-01-06 08:00,-.2,,.7,180,98
257,양산시,2024-01-06 09:00,1.5,,.9,230,98
257,양산시,2024-01-06 10:00,5.4,,1.3,200,82
257,양산시,2024-01-06 11:00,9.1,,1.6,230,35
