지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
263,의령군,2024-01-01 01:00,-.5,,.9,110,98
263,의령군,2024-01-01 02:00,-1.5,,.1,0,99
263,의령군,2024-01-01 03:00,-2.1,,1.2,320,100
263,의령군,2024-01-01 04:00,-2.1,,.6,140,100
263,의령군,2024-01-01 05:00,-2.4,,.3,0,100
263,의령군,2024-01-01 06:00,-3.2,,.2,0,100
263,의령군,2024-01-01 07:00,-3.4,,0,0,100
263,의령군,2024-01-01 08:00,-3.4,,.7,20,100
263,의령군,2024-01-01 09:00,-1.7,,0,0,100
263,의령군,2024-01-01 10:00,3.3,,1.1,110,97
263,의령군,2024-01-01 11:00,6,,1.8,110,76
263,의령군,2024-01-01 12:00,9,,1.6,160,62
263,의령군,2024-01-01 13:00,10.1,,1.2,140,56
263,의령군,2024-01-01 14:00,11.4,,1.5,140,50
263,의령군,2024-01-01 15:00,10.6,,1.3,110,51
263,의령군,2024-01-01 16:00,10.3,,.4,0,51
263,의령군,2024-01-01 17:00,9.6,,0,0,56
263,의령군,2024-01-01 18:00,8.1,,.5,320,67
263,의령군,2024-01-01 19:00,5.8,,.5,320,75
263,의령군,2024-01-01 20:00,3.6,,1.7,320,82
263,의령군,2024-01-01 21:00,4.1,,.2,0,83
263,의령군,2024-01-01 22:00,4.4,,.4,0,83
263,의령군,2024-01-01 23:00,3.7,,.2,0,86
263,의령군,2024-01-02 00:00,3.3,,.6,70,88
263,의령군,2024-01-02 01:00,3.1,,.5,50,91
263,의령군,2024-01-02 02:00,3.3,,.8,270,91
263,의령군,2024-01-02 03:00,3.3,,.6,20,91
263,의령군,2024-01-02 04:00,3.4,,1.1,70,95
263,의령군,2024-01-02 05:00,2.7,,.6,290,95
263,의령군,2024-01-02 06:00,2.9,,.4,0,97
263,의령군,2024-01-02 07:00,3,,.1,0,97
263,의령군,2024-01-02 08:00,2,,.4,0,98
263,의령군,2024-01-02 09:00,3.1,,.6,270,99
263,의령군,2024-01-02 10:00,6.9,,1.1,140,79
263,의령군,2024-01-02 11:00,9.7,,1.7,140,57
263,의령군,2024-01-02 12:00,11.7,,1.8,140,51
263,의령군,2024-01-02 13:00,12,,4.6,270,54
263,의령군,2024-01-02 14:00,12.4,,4.6,270,53
263,의령군,2024-01-02 15:00,12.1,,2.6,290,47
263,의령군,2024-01-02 16:00,11.1,,4,290,50
263,의령군,2024-01-02 17:00,9.2,,3.5,290,55
263,의령군,2024-01-02 18:00,7.1,,2.1,340,63
263,의령군,2024-01-02 19:00,4.9,,.7,340,75
263,의령군,2024-01-02 20:00,4.7,,1,160,79
263,의령군,2024-01-02 21:00,3.9,,.5,340,79
263,의령군,2024-01-02 22:00,3.4,,.6,50,84
263,의령군,2024-01-02 23:00,2.5,,.6,320,88
263,의령군,2024-01-03 00:00,3,,.1,0,88
263,의령군,2024-01-03 01:00,3,,.1,0,90
263,의령군,2024-01-03 02:00,2.8,,1.1,360,90
263,의령군,2024-01-03 03:00,3.1,,1.2,90,91
263,의령군,2024-01-03 04:00,3.2,,1.5,50,90
263,의령군,2024-01-03 05:00,3.1,,.5,110,91
263,의령군,2024-01-03 06:00,3.9,,2.5,360,84
263,의령군,2024-01-03 07:00,3.7,,1,50,91
263,의령군,2024-01-03 08:00,3.1,,2.4,70,97
263,의령군,2024-01-03 09:00,3.1,.5,1.5,70,98
263,의령군,2024-01-03 10:00,4.2,,1.4,90,95
263,의령군,2024-01-03 11:00,5.4,,1.8,70,89
263,의령군,2024-01-03 12:00,6.2,,1.5,140,81
263,의령군,2024-01-03 13:00,6.9,,1.1,20,68
263,의령군,2024-01-03 14:00,9.1,,2.7,20,54
263,의령군,2024-01-03 15:00,9.5,,5.3,270,51
