瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%)
192,柳林,2024-01-01 01:00,-1.5,,0,0,91
192,柳林,2024-01-01 02:00,-1.9,,0,0,92
192,柳林,2024-01-01 03:00,-2.2,,0,0,93
192,柳林,2024-01-01 04:00,-2.7,,0,0,93
192,柳林,2024-01-01 05:00,-2.8,,0,0,93
192,柳林,2024-01-01 06:00,-3,,.2,0,93
192,柳林,2024-01-01 07:00,-3.1,,.3,0,94
192,柳林,2024-01-01 08:00,-3.3,,.5,50,94
192,柳林,2024-01-01 09:00,-1,,0,0,92
192,柳林,2024-01-01 10:00,3.3,,0,0,86
192,柳林,2024-01-01 11:00,5.8,,.8,180,68
192,柳林,2024-01-01 12:00,8.1,,1.6,70,56
192,柳林,2024-01-01 13:00,9.5,,1.9,90,49
192,柳林,2024-01-01 14:00,10.5,,1.2,50,44
192,柳林,2024-01-01 15:00,10.5,,.8,250,44
192,柳林,2024-01-01 16:00,10.3,,.9,320,46
192,柳林,2024-01-01 17:00,8.6,,0,0,55
192,柳林,2024-01-01 18:00,7,,0,0,63
192,柳林,2024-01-01 19:00,5.3,,.4,0,73
192,柳林,2024-01-01 20:00,5.9,,.3,0,72
192,柳林,2024-01-01 21:00,5,,0,0,73
192,柳林,2024-01-01 22:00,4.5,,0,0,77
192,柳林,2024-01-01 23:00,3.2,,0,0,82
192,柳林,2024-01-02 00:00,3,,0,0,82
192,柳林,2024-01-02 01:00,4,,.5,340,80
192,柳林,2024-01-02 02:00,4.3,,.6,320,84
192,柳林,2024-01-02 03:00,4.4,0,.9,340,80
192,柳林,2024-01-02 04:00,3.4,,.2,0,90
192,柳林,2024-01-02 05:00,3.7,,.4,0,90
192,柳林,2024-01-02 06:00,3.2,0,0,0,89
192,柳林,2024-01-02 07:00,3,,0,0,86
192,柳林,2024-01-02 08:00,1,,0,0,93
192,柳林,2024-01-02 09:00,3.5,,1.1,320,90
192,柳林,2024-01-02 10:00,5.5,,1,290,79
192,柳林,2024-01-02 11:00,8.1,,.7,320,65
192,柳林,2024-01-02 12:00,9.2,,1,320,54
192,柳林,2024-01-02 13:00,10.2,,1,320,49
192,柳林,2024-01-02 14:00,11.2,,1.3,320,46
192,柳林,2024-01-02 15:00,11,,.8,230,46
192,柳林,2024-01-02 16:00,11.1,,.6,290,44
192,柳林,2024-01-02 17:00,9.1,,1.5,360,49
192,柳林,2024-01-02 18:00,7.4,,.4,0,55
192,柳林,2024-01-02 19:00,5.7,,0,0,68
192,柳林,2024-01-02 20:00,4.7,,.3,0,73
192,柳林,2024-01-02 21:00,3.7,,0,0,76
192,柳林,2024-01-02 22:00,2.9,,0,0,80
192,柳林,2024-01-02 23:00,2.6,,0,0,81
192,柳林,2024-01-03 00:00,2.7,,.2,0,81
192,柳林,2024-01-03 01:00,2.9,,0,0,82
192,柳林,2024-01-03 02:00,2.7,,0,0,81
192,柳林,2024-01-03 03:00,2.8,,.6,200,82
192,柳林,2024-01-03 04:00,3.5,,.2,0,80
192,柳林,2024-01-03 05:00,2.9,,.2,0,82
192,柳林,2024-01-03 06:00,3.7,,.3,0,78
192,柳林,2024-01-03 07:00,2.9,,.2,0,87
192,柳林,2024-01-03 08:00,2.5,,0,0,91
192,柳林,2024-01-03 09:00,2.9,.9,0,0,92
192,柳林,2024-01-03 10:00,3.9,,.1,0,88
192,柳林,2024-01-03 11:00,5,,.9,250,85
192,柳林,2024-01-03 12:00,6.7,,.8,270,74
192,柳林,2024-01-03 13:00,8.4,,3,360,46
192,柳林,2024-01-03 14:00,9.1,,2,340,43
192,柳林,2024-01-03 15:00,9.1,,2.5,360,42
192,柳林,2024-01-03 16:00,8,,2.4,360,44
192,柳林,2024-01-03 17:00,6.7,,2.1,360,47
192,柳林,2024-01-03 18:00,5.7,,1.3,290,52
192,柳林,2024-01-03 19:00,1.9,,.4,0,68
192,柳林,2024-01-03 20:00,.9,,.1,0,76
192,柳林,2024-01-03 21:00,1.4,,.3,0,76
192,柳林,2024-01-03 22:00,.4,,.1,0,80
192,柳林,2024-01-03 23:00,-.5,,.2,0,81
192,柳林,2024-01-04 00:00,-1.4,,.2,0,83
192,柳林,2024-01-04 01:00,-1.5,,.2,0,86
192,柳林,2024-01-04 02:00,-1.2,,.7,320,82
192,柳林,2024-01-04 03:00,-1.8,,1,360,87
192,柳林,2024-01-04 04:00,-3.1,,.2,0,89
192,柳林,2024-01-04 05:00,-3.8,,0,0,90
192,柳林,2024-01-04 06:00,-4.2,,.2,0,91
192,柳林,2024-01-04 07:00,-4.5,,.1,0,91
192,柳林,2024-01-04 08:00,-4.8,,.4,0,90
192,柳林,2024-01-04 09:00,-2.3,,.2,0,88
192,柳林,2024-01-04 10:00,1.7,,.3,0,73
192,柳林,2024-01-04 11:00,3.9,,1.4,270,52
192,柳林,2024-01-04 12:00,5.7,,1.5,290,44
192,柳林,2024-01-04 13:00,7.4,,1.1,340,39
192,柳林,2024-01-04 14:00,8.6,,1,250,37
192,柳林,2024-01-04 15:00,9.3,,1.2,160,38
192,柳林,2024-01-04 16:00,8.7,,1.2,180,40
192,柳林,2024-01-04 17:00,7.1,,.6,140,44
192,柳林,2024-01-04 18:00,4.1,,.4,0,61
192,柳林,2024-01-04 19:00,5.1,,1.1,160,59
192,柳林,2024-01-04 20:00,1.9,,.5,360,77
192,柳林,2024-01-04 21:00,-1,,0,0,81
192,柳林,2024-01-04 22:00,-2,,.1,0,86
192,柳林,2024-01-04 23:00,-2.8,,0,0,88
192,柳林,2024-01-05 00:00,-3.3,,0,0,88
192,柳林,2024-01-05 01:00,-3.7,,.2,0,90
192,柳林,2024-01-05 02:00,-4.1,,0,0,91
192,柳林,2024-01-05 03:00,-4.2,,0,0,91
192,柳林,2024-01-05 04:00,-4.9,,0,0,90
192,柳林,2024-01-05 05:00,-5,,0,0,91
192,柳林,2024-01-05 06:00,-5,,0,0,91
192,柳林,2024-01-05 07:00,-5.5,,.1,0,91
192,柳林,2024-01-05 08:00,-5.1,,0,0,91
192,柳林,2024-01-05 09:00,-2.8,,0,0,90
192,柳林,2024-01-05 10:00,.8,,.4,0,82
192,柳林,2024-01-05 11:00,5.3,,.3,0,68
192,柳林,2024-01-05 12:00,7.8,,.8,290,63
192,柳林,2024-01-05 13:00,12.3,,3.3,250,47
192,柳林,2024-01-05 14:00,12.9,,3.5,270,44
192,柳林,2024-01-05 15:00,12.7,,2.9,250,45
192,柳林,2024-01-05 16:00,12.3,,2.8,270,48
192,柳林,2024-01-05 17:00,11.3,,2.5,270,50
192,柳林,2024-01-05 18:00,7.7,,.3,0,62
192,柳林,2024-01-05 19:00,5.5,,.1,0,72
192,柳林,2024-01-05 20:00,4,,.2,0,77
192,柳林,2024-01-05 21:00,3,,.1,0,82
192,柳林,2024-01-05 22:00,1.9,,.2,0,88
192,柳林,2024-01-05 23:00,2.4,,.9,320,90
192,柳林,2024-01-06 00:00,-.1,,.1,0,89
192,柳林,2024-01-06 01:00,-.8,,.2,0,92
192,柳林,2024-01-06 02:00,-1.6,,0,0,92
192,柳林,2024-01-06 03:00,-1.8,,0,0,93
192,柳林,2024-01-06 04:00,-2.3,,0,0,94
192,柳林,2024-01-06 05:00,-2.8,,0,0,93
192,柳林,2024-01-06 06:00,-3,,0,0,93
192,柳林,2024-01-06 07:00,-3.5,,.1,0,93
192,柳林,2024-01-06 08:00,-3.7,,0,0,93
192,柳林,2024-01-06 09:00,-1,,0,0,94
192,柳林,2024-01-06 10:00,2.8,,0,0,89
192,柳林,2024-01-06 11:00,7,,.5,200,49
192,柳林,2024-01-06 12:00,9.3,,1.2,200,30
192,柳林,2024-01-06 13:00,10.4,,1.5,270,23
192,柳林,2024-01-06 14:00,11.3,,1.4,250,19
192,柳林,2024-01-06 15:00,11.1,,1.3,340,19
192,柳林,2024-01-06 16:00,9.8,,1.6,340,22
192,柳林,2024-01-06 17:00,8.8,,.9,340,24
192,柳林,2024-01-06 18:00,3.7,,.1,0,47
192,柳林,2024-01-06 19:00,1.6,,.2,0,50
192,柳林,2024-01-06 20:00,.2,,.2,0,57
192,柳林,2024-01-06 21:00,.7,,1.2,290,59
192,柳林,2024-01-06 22:00,-1.8,,.1,0,66
192,柳林,2024-01-06 23:00,-2.6,,.1,0,68
192,柳林,2024-01-07 00:00,-3.1,,.1,0,71
192,柳林,2024-01-07 01:00,-2.3,,.4,0,70
192,柳林,2024-01-07 02:00,-1.5,,.4,0,71
192,柳林,2024-01-07 03:00,-.9,,.2,0,69
192,柳林,2024-01-07 04:00,-2.3,,.1,0,74
192,柳林,2024-01-07 05:00,-2.8,,.5,20,77
192,柳林,2024-01-07 06:00,-3.6,,.1,0,81
192,柳林,2024-01-07 07:00,-3.3,,.1,0,84
