지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
162,통영,2024-01-01 01:00,2.8,,.9,50,81
162,통영,2024-01-01 02:00,2.6,,1.3,50,83
162,통영,2024-01-01 03:00,2.1,,2.3,50,84
162,통영,2024-01-01 04:00,2.1,,1,50,86
162,통영,2024-01-01 05:00,1.9,,.8,20,86
162,통영,2024-01-01 06:00,1.6,,1.2,50,88
162,통영,2024-01-01 07:00,1.7,,1.7,50,88
162,통영,2024-01-01 08:00,1.6,,.9,20,88
162,통영,2024-01-01 09:00,4,,2.8,50,79
162,통영,2024-01-01 10:00,6.2,,4.4,50,66
162,통영,2024-01-01 11:00,7.9,,4.9,50,59
162,통영,2024-01-01 12:00,9.2,,5.1,50,54
162,통영,2024-01-01 13:00,10.4,,3.7,50,50
162,통영,2024-01-01 14:00,10.9,,2.6,20,50
162,통영,2024-01-01 15:00,11,,2.4,360,50
162,통영,2024-01-01 16:00,9.5,,1.8,50,53
162,통영,2024-01-01 17:00,8.7,,1.2,50,56
162,통영,2024-01-01 18:00,7.5,,.2,0,61
162,통영,2024-01-01 19:00,6.9,,.9,90,66
162,통영,2024-01-01 20:00,5.6,,1.7,50,73
162,통영,2024-01-01 21:00,5.8,,1.2,50,74
162,통영,2024-01-01 22:00,6,,1.7,70,74
162,통영,2024-01-01 23:00,5.2,,2.4,20,77
162,통영,2024-01-02 00:00,5.2,,2.3,360,81
162,통영,2024-01-02 01:00,6,,1.1,360,79
162,통영,2024-01-02 02:00,6,,2.1,20,78
162,통영,2024-01-02 03:00,6.1,,2.2,50,77
162,통영,2024-01-02 04:00,6.2,,1.4,50,78
162,통영,2024-01-02 05:00,5.9,,2.1,20,80
162,통영,2024-01-02 06:00,5.7,0,1.4,20,84
162,통영,2024-01-02 07:00,5.8,,.3,0,85
162,통영,2024-01-02 08:00,5.6,,.3,0,83
162,통영,2024-01-02 09:00,6.2,.1,.4,0,83
162,통영,2024-01-02 10:00,8.7,,1.6,360,70
162,통영,2024-01-02 11:00,9.3,,3.4,340,63
162,통영,2024-01-02 12:00,9.7,,3.5,320,51
162,통영,2024-01-02 13:00,10.7,,3.1,320,48
162,통영,2024-01-02 14:00,11.7,,3.3,270,44
162,통영,2024-01-02 15:00,10.8,,3.5,320,47
162,통영,2024-01-02 16:00,10.5,,2.6,290,47
162,통영,2024-01-02 17:00,9.2,,3.4,320,52
162,통영,2024-01-02 18:00,8.4,,3.2,320,55
162,통영,2024-01-02 19:00,8.3,,2.8,320,58
162,통영,2024-01-02 20:00,8,,2.3,320,57
162,통영,2024-01-02 21:00,7.6,,1.9,360,60
162,통영,2024-01-02 22:00,7.2,,2.5,360,60
162,통영,2024-01-02 23:00,6.7,,1.3,360,60
162,통영,2024-01-03 00:00,6.1,,2.3,50,65
162,통영,2024-01-03 01:00,6,,1.7,20,65
162,통영,2024-01-03 02:00,5.8,,1,360,65
162,통영,2024-01-03 03:00,6,,1.7,20,66
162,통영,2024-01-03 04:00,5.5,,2.1,20,65
162,통영,2024-01-03 05:00,5.3,,2.4,20,66
