지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
932,하동,2024-07-05 01:00,25.7,165.7,1.3,0,90
932,하동,2024-07-05 02:00,26.4,199.4,1,0,85
932,하동,2024-07-05 03:00,26.4,183.5,2.2,0,84
932,하동,2024-07-05 04:00,26.3,241.1,1.5,0,85
932,하동,2024-07-05 05:00,26.1,178.6,2.6,0,87
932,하동,2024-07-05 06:00,25.1,180.5,1.8,3.5,93
932,하동,2024-07-05 07:00,25.6,206.6,2.1,0,88
932,하동,2024-07-05 08:00,26.2,223,1.6,0,84
932,하동,2024-07-05 09:00,26.6,265.2,1.9,0,83
932,하동,2024-07-05 10:00,28.1,254.6,2.1,0,74
932,하동,2024-07-05 11:00,29.4,272.9,2.2,0,68
932,하동,2024-07-05 12:00,30.2,259.9,3.8,0,62
932,하동,2024-07-05 13:00,31,252.9,2.3,0,60
932,하동,2024-07-05 14:00,31.5,265.1,2.3,0,58
932,하동,2024-07-05 15:00,32.5,262.7,2.7,0,56
932,하동,2024-07-05 16:00,32.6,260.2,2.5,0,55
932,하동,2024-07-05 17:00,31.6,254.9,2.3,0,61
932,하동,2024-07-05 18:00,31.5,246.9,2,0,64
932,하동,2024-07-05 19:00,29.9,247.5,2.2,0,71
932,하동,2024-07-05 20:00,28.9,0,.4,0,77
932,하동,2024-07-05 21:00,28.3,229.9,1.6,0,77
932,하동,2024-07-05 22:00,27.7,236,2.3,0,80
932,하동,2024-07-05 23:00,26.6,31.2,.5,0,86
932,하동,2024-07-06 00:00,26.2,0,0,0,87
