지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
920,함안,2024-07-05 01:00,25.9,208.2,2.3,0,87
920,함안,2024-07-05 02:00,25.9,164.8,1.1,0,87
920,함안,2024-07-05 03:00,26.1,191.5,1.5,0,85
920,함안,2024-07-05 04:00,25.9,212.9,1.7,0,86
920,함안,2024-07-05 05:00,26.4,207.7,2.7,0,84
920,함안,2024-07-05 06:00,25.8,228.9,2.9,.5,91
920,함안,2024-07-05 07:00,25.6,231.3,2.4,.5,87
920,함안,2024-07-05 08:00,26.3,221,2.9,0,87
920,함안,2024-07-05 09:00,27.6,235.8,3.8,0,81
920,함안,2024-07-05 10:00,28.6,228,3.3,0,74
920,함안,2024-07-05 11:00,28.6,242,3.6,0,75
920,함안,2024-07-05 12:00,29.9,229.9,3.2,0,70
920,함안,2024-07-05 13:00,30,221.1,3.8,0,70
920,함안,2024-07-05 14:00,30.8,249.3,2.8,0,65
920,함안,2024-07-05 15:00,31.4,243.3,2.8,0,60
920,함안,2024-07-05 16:00,31.4,234.8,3.3,0,62
920,함안,2024-07-05 17:00,31.9,234.3,2.2,0,63
920,함안,2024-07-05 18:00,30.9,228.9,3,0,63
920,함안,2024-07-05 19:00,29.8,238.7,2.7,0,68
920,함안,2024-07-05 20:00,28.8,196.1,1.4,0,77
920,함안,2024-07-05 21:00,27.8,224.1,.9,0,82
920,함안,2024-07-05 22:00,27.5,159.4,1.7,0,82
920,함안,2024-07-05 23:00,27.2,211.3,1.4,0,82
920,함안,2024-07-06 00:00,26.8,223.2,2.4,0,83
